一不是响马并贼寇,0,一不是响马与贼寇，
lsxp-HenPingWang-WenZhaoGuan.xml_0,恨平王无道乱楚宫（兀），,10359692.084557788,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,10367851.390197909,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,10371997.986930933,0.0
lsxp-JiangShenEr-SanJiaDian.xml_1,尊一声过往的宾朋听从头：,10381357.373736566,0.125
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,10382705.553263506,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,10383001.637510752,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,10389343.648807226,0.25
lsxp-CiShiJian-HuaiHeYing-1.xml_7,（啊）生死二字（喏）且由他。,10390631.778537992,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,10403653.958949396,0.0
lsxp-ZiGuDao-HuangHeLou.xml_4,今日主公把宴上，,10404190.98260449,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,10418097.779550686,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,10422165.028189627,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,10449403.845266113,0.125
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,10451123.60109151,0.125
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,10478462.869080886,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,10488356.312874103,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,10494176.702674393,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_11,鸡鸣犬吠五更（呃）天，,10520786.430532202,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,10545465.752750741,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,10553486.941067403,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,10564544.221969338,0.125
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,10583443.957361136,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,10681303.532713866,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,10703792.924185133,0.0
lsxp-DaHeYi-SiLangTanMu.xml_27,听罢言来才知情，,10706161.167080797,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_28,越思越想好伤惨，,10719652.773671133,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,10735379.75383852,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,10755707.232600287,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_5,眼睁（呐）睁有何人去（呀）把纸烧。,10776448.708572706,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_27,鸡鸣犬吠五更（哪）天，,10791416.12994098,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,10797205.800929291,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,10816415.741071029,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_6,一连几天我的眉不（呃）展，,10826832.15421277,0.25
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,10852889.130252238,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,10861603.488994224,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,10866626.571510356,0.125
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,10870607.137341933,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_14,朝臣待漏五更寒。,10899365.728585253,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_8,你今舍了亲生子，,10900791.299007246,0.0
lsxp-WeiCengKai-QiYuanBao.xml_1,尊一声太爷听端详。,10910723.342344217,0.125
lsxp-ZouYingLong-DaYanSong.xml_1,在朝房来了我这保国忠。,10920382.876030624,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,10924659.582995009,0.0
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,10937625.063069563,0.0
daxp-QiaoLouShang-HuangShanLei.xml_10,我不免引寒机伴奴坐等，,10948405.400726903,0.125
lsxp-WoZhuYe-ZhuiHanXin.xml_9,我也曾约法定过三章。,10951685.135112112,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,10980293.259796008,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,10999711.190874035,0.125
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,10999711.190874035,0.125
lseh-XinZhongYou-WenZhaoGuan.xml_2,背地里只把东皋公怨，,11068088.292959772,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,11077628.55212319,0.0
lsxp-DaHeYi-SiLangTanMu.xml_11,我父令公官极品，,11097130.10233004,0.0
lseh-YangYanZhao-PengBei.xml_4,我本当将此事对他来论，,11127152.782194708,0.0
sdxp-WoHeNi-SiLangTanMu.xml_7,萧天佐摆天门两国交战，,11144218.337179761,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,11155579.62385342,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,11155585.19861352,0.125
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,11156712.953891627,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,11160860.4263685,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,11162135.386148375,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_2,实指望到吴国借兵回转，,11180832.315069947,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,11195052.123539167,0.125
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,11200878.515881214,0.125
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,11205179.341152715,0.0
lsxp-ZiGuDao-HuangHeLou.xml_0,自古道吉人有天相，,11225233.938599411,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,11234099.012735737,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,11246301.829701953,0.125
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,11254147.203434603,0.25
lsxp-DaHeYi-SiLangTanMu.xml_9,家住后山磁州郡，,11262598.589175379,0.0
lsxp-WoBenShi-KongChengJi-2.xml_8,闲无（呃）事在敌楼（呃）我亮一亮琴（呢）音，,11273951.376453916,0.125
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,11284937.496524919,0.125
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,11285423.582380686,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_9,来年必定降麒麟。,11311791.675759176,0.0
lsxp-ZheYiFeng-DingJunShan.xml_8,三军与（呀）爷归营号，,11377606.769463828,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,11383237.634444894,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_18,观此贼睡卧真（呐）潇洒，,11390907.405375153,0.125
lseh-YiLunMing-WenZhaoGuan-1.xml_30,朝臣待漏（哇）五更寒，,11402376.930042524,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,11413795.152944712,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,11421567.816049831,0.0
lsxp-WoBenShi-KongChengJi-1.xml_8,闲无哇事在敌楼哇我亮（呃）一亮琴哪音，,11454594.648049535,0.125
lseh-YiLunMing-WenZhaoGuan-1.xml_18,背地里只把东皋公怨，,11461831.970067887,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,11504335.595992647,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,11547509.124099268,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,11557989.368360128,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_2,实指（惹）望到吴国借兵回转，,11565653.95996355,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_2,怀王也曾把旨降，,11579434.807192845,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,11588926.977878662,0.0
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,11593466.690101,0.0
lseh-XiRiLi-BaoLianDeng.xml_11,留得美名万古存，,11606210.348975163,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,11611635.7342324,0.0
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,11619198.02045766,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,11622609.312406085,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_2,我先前只望他宽宏量（呃）大，,11652114.98859067,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_2,我先前只望他宽宏量（呃）大，,11652114.98859067,0.0
lsxp-DaHeYi-SiLangTanMu.xml_5,弟兄们分别十五春，,11654453.057536738,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,11664393.403724093,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,11702026.563159967,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,11728987.134341566,0.125
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,11735099.474194223,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,11759360.235446833,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,11790749.08809795,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,11793721.806364024,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,11801083.196183622,0.25
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,11809506.373920226,0.0
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,11814650.820381464,0.125
lsxp-ZheYiFeng-DingJunShan.xml_9,到明天午时三刻要成功劳。,11842088.140926326,0.0
lseh-ZenNengGou-BaDaChui.xml_1,前后话对文龙细说衷情。,11843967.856189903,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_14,撩袍端带我把金殿上，,11848861.668635728,0.0
sdxp-WoHeNi-SiLangTanMu.xml_10,怎奈我身在番难以过关。,11858818.2582426,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,11864349.009377578,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,11880924.322199013,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,11897910.98856508,0.125
lseh-JinZhongXiang-ShangTianTai.xml_2,文凭着邓先生策划有准，,11898686.259730177,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,11947354.8342,0.125
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,12009271.644128228,0.25
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,12011296.674622292,0.375
lsxp-JiangShenEr-SanJiaDian.xml_6,舍不得太爷的恩情厚，,12024735.580315886,0.125
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,12038098.267643541,0.125
lsxp-YiShiWu-YuCangJian.xml_4,恨平王无道纲常乱，,12051865.658117238,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,12082873.087267838,0.0
lsxp-JiangShenEr-SanJiaDian.xml_10,娘生儿连心肉，,12090778.574436372,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,12106395.671812428,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,12108654.574447498,0.125
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,12113908.20948511,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,12120021.19583129,0.125
lsxp-CiShiJian-HuaiHeYing-1.xml_4,左手拉住了李左车，,12194659.155235326,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_5,右手再把栾布拉。,12200406.229369473,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_3,满门的家着血染红。,12201882.726032604,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_1,胡言乱语怎瞒（呐）咱。,12233992.15984915,0.0
lseh-LaoZhangBu-WuPenJi.xml_2,休把我当作了妖魔论，,12235494.302064184,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,12241943.810050713,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,12249284.590831678,0.125
lsxp-LiangGuoJiao-ShiJieTing-2.xml_1,各为其（呀）主统貔貅。,12255609.16102376,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_2,悔不该心猿并意马，,12270229.520461572,0.375
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,12295702.720265139,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,12296432.214504324,0.125
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,12305573.659813786,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,12317685.542447204,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,12319290.344507746,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,12328344.485441625,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,12359740.16226433,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,12364575.476038074,0.125
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,12374109.85482606,0.125
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,12374109.85482606,0.125
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,12374628.187740812,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,12384160.352084786,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,12384414.143682094,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,12412654.90141825,0.0
sdxp-DangNianHan-SanJiZhang.xml_7,要退、要退、偏要退！,12423571.853560867,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,12426869.411479065,0.125
sdxp-SuLongWei-WuJiaPo.xml_9,衙里衙外我打点，,12456801.211159341,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,12473644.013623675,0.0
sdxp-WoHeNi-SiLangTanMu.xml_1,我和你好夫妻恩德不浅，,12489495.862311678,0.125
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,12496842.136778606,0.0
lseh-ZiNaRi-HongYangDong.xml_9,因此上臣的病重（呃）加十分、千岁爷呀！,12524589.46822824,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_0,张公道三十五六（哇）子有靠，,12547517.453420017,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,12577626.716335114,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,12607308.134645913,0.0
sdxp-WoHeNi-SiLangTanMu.xml_3,杨廷辉有一日愁眉得展，,12631600.356456216,0.125
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,12642675.321850656,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,12650388.006088778,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,12650388.006088778,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,12678133.360862656,0.125
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,12699892.501013706,0.125
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,12711433.997593189,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,12729727.162645794,0.125
lseh-JinZhongXiang-ShangTianTai.xml_1,寡人喜的是五谷丰登。,12765042.70004885,0.125
lsxp-ZiGuDao-HuangHeLou.xml_2,曾记得当年赴河梁，,12769025.290983615,0.0
lseh-WeiKaiYan-RangXuZhou.xml_3,老朽年迈我也不能够担承。,12809081.73647024,0.125
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,12846803.445404872,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,12892741.558390843,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,12895623.049230417,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_1,胡言乱语怎瞒（呐）咱！,12908268.871327834,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_17,翻来覆去睡不（哇）安。,12909748.318306182,0.125
lseh-YiLunMing-WenZhaoGuan-1.xml_10,我好（哇）比哀哀长空雁，,12916273.369793512,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,12939114.845302543,0.0
lseh-WeiKaiYan-RangXuZhou.xml_2,二犬子（呃）皆年幼（哇）难当（呃）重任，,12949168.943003858,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,12968972.923140068,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,12979520.288288541,0.0
lsxp-WoBenShi-KongChengJi-1.xml_1,论阴阳如反掌保定乾坤。,12986530.255661592,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,12999227.137498492,0.125
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,13002346.029450506,0.0
lsxp-ZouYingLong-DaYanSong.xml_8,上面坐的是有道君，,13011425.834288403,0.125
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,13012805.256357444,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,13024764.175906362,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,13025807.257300988,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,13041773.4956911,0.0
lsxp-ZouYingLong-DaYanSong.xml_11,我本当金（哪）殿奏一本怎奈我官卑职小不能够参大臣。,13055912.449752701,0.25
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,13087509.626221724,0.125
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,13093177.575513989,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,13098741.75982072,0.0
lsxp-YiShiWu-YuCangJian.xml_2,日月轮流催晓（哇）箭，,13128315.744198024,0.0
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,13174003.748124462,0.0
lsxp-ZouYingLong-DaYanSong.xml_13,在品级台（呀）前臣见君。,13186966.415925,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,13187678.274442334,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,13189327.720528342,0.125
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,13210563.369662642,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,13219637.459633278,0.0
sdxp-SuLongWei-WuJiaPo.xml_12,百般调戏也枉然。,13225436.45301091,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,13237209.118720032,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,13238989.075396309,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,13250823.449431613,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_12,无奈何我只得双（呃）膝跪，,13253788.96029756,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,13275454.41585522,0.125
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,13280632.974548269,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,13284848.142118365,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,13302150.64762261,0.125
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,13323128.59026391,0.0
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,13332276.936457029,0.125
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,13341799.348998709,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_6,一连几天我的眉不（哇）展，,13358312.17053477,0.25
lsxp-WoZhuYe-ZhuiHanXin.xml_15,扬尘舞蹈见大王。,13367885.613618128,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,13382865.699847694,0.125
lseh-YiLunMing-WenZhaoGuan-1.xml_21,为何几日他不言。,13434011.610418124,0.125
sdxp-SuLongWei-WuJiaPo.xml_5,西凉川四十单八站，,13435057.945455052,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,13466404.76494598,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_1,翻来复去睡不安。,13468505.30079787,0.125
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,13471368.664802426,0.125
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,13518007.13687481,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,13555583.801936638,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,13563596.804902956,0.125
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,13571979.627139842,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_10,我好（呃）比哀哀长空雁，,13588958.344235089,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,13615770.393705456,0.0
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,13617753.426339881,0.125
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,13624231.308249338,0.0
sdxp-DangNianHan-SanJiZhang.xml_19,非是女儿言不逊，,13645241.015695907,0.25
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,13649892.326650325,0.125
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,13656743.058910942,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_3,大事还要问程婴。,13677454.738131557,0.0
lsxp-JiangShenEr-SanJiaDian.xml_5,因此上发配到登州。,13679586.627981205,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,13689872.447842987,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,13699113.96068917,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,13710649.720203219,0.125
lsxp-WoZhuYe-ZhuiHanXin.xml_5,后进咸阳扶保在朝纲。,13725235.532037951,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_6,三人同把那鬼门关上踏，,13737583.134010185,0.0
lseh-ZiNaRi-HongYangDong.xml_7,去了我左右膀难以飞行。,13740456.826269813,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_4,马行在来道内我难（呐）以回（呀）马，,13748559.278828152,0.125
lsxp-TingTaYan-ZhuoFangCao-1.xml_4,马行在来道内我难（呐）以回（呀）马，,13748559.278828152,0.125
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,13764062.46550075,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,13766182.144722411,0.25
sdxp-SuLongWei-WuJiaPo.xml_8,为军哪怕到官前。,13880780.071671924,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,13931000.824670412,0.125
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,13937616.719870673,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,13961889.986097738,0.125
lseh-YiLunMing-ZhuoFangSuDian.xml_5,杀猪（喏）沽酒款待与他，,13970697.839010907,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,13984231.400962403,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_5,靠山近水把营收。,13989885.54754045,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,14040375.36676135,0.375
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,14040594.123044789,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,14058142.449912675,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_0,此时间不可闹笑话，,14129844.746172447,0.125
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,14135912.121818513,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,14144360.434844421,0.0
lsxp-JiangShenEr-SanJiaDian.xml_15,叫一声解差把店役。,14177632.561821558,0.125
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,14183356.896113893,0.125
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,14185288.029610742,0.0
lseh-ZenNengGou-BaDaChui.xml_2,前也思（喏）后又想无有计定，,14239111.849572329,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,14280377.312123196,0.0
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,14284626.964477248,0.125
lseh-YiLunMing-WenZhaoGuan-2.xml_14,思来想去我的肝肠断，,14291967.05340875,0.0
lsxp-DaHeYi-SiLangTanMu.xml_25,家住哪州并哪郡？,14308420.113964818,0.125
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,14319154.819008235,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,14332147.077150974,0.0
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,14365185.2558718,0.125
