去了我左右膀难以飞行,0,去了我左右膀难以飞行。
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,7890069.8218165105,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,7903557.776344442,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,7922802.386327107,0.0
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,7941747.704658143,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,7946907.05101795,0.1
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,7953170.231090468,0.1
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,7953372.011594791,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,7980807.383104094,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,7981169.542419453,0.1
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,7985169.133393195,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,7998445.873813163,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,7999029.133956856,0.1
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,8008382.9589463025,0.1
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,8015898.845753071,0.0
lsxp-WoBenShi-KongChengJi-2.xml_6,周文王访姜尚周室大振，,8026464.625143477,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_0,恨平王无道乱楚宫（兀），,8027681.599052969,0.0
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,8035372.024744886,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,8043461.427843324,0.0
lsxp-ZouYingLong-DaYanSong.xml_0,忽听得万岁宣应龙，,8050685.676684764,0.0
lseh-XiRiLi-BaoLianDeng.xml_9,那叔齐逃出了后宰门，,8056357.151866079,0.1
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,8066685.185972153,0.0
sdxp-DangNianHan-SanJiZhang.xml_5,我的儿说话言不逊，,8069137.624841422,0.1
lsxp-LiangGuoJiao-ShiJieTing-2.xml_0,两国交锋龙虎斗，,8069737.618064754,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,8076728.497449738,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,8083542.817450891,0.1
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,8084881.037514678,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_11,反将我主贬汉王。,8085590.7992012305,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,8091699.517098878,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_2,朝欢暮乐无牵挂，,8092319.253441905,0.0
lsxp-YiShiWu-YuCangJian.xml_4,恨平王无道纲常乱，,8101906.615089789,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_10,屈死的怨鬼魂休要怨（呐）咱，,8128646.212576804,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_0,听他言听得我心（呐）惊胆怕，,8144183.748679613,0.1
lsxp-TingTaYan-ZhuoFangCao-2.xml_0,听他言吓得我心（呐）惊胆怕，,8144183.748679613,0.1
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,8157344.30738339,0.1
sdxp-SuLongWei-WuJiaPo.xml_10,管保大嫂就断与咱。,8160894.276948149,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_19,安眠好似并底之蛙，,8168746.910388012,0.0
lsxp-WeiCengKai-QiYuanBao.xml_1,尊一声太爷听端详。,8174569.591439554,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_15,扬尘舞蹈见大王。,8190352.48468793,0.0
lsxp-WeiCengKai-QiYuanBao.xml_9,望求太爷与我作主张（啊）。,8194198.877121197,0.1
lseh-YiLunMing-WenZhaoGuan-2.xml_13,我好（呃）比波浪中失舵的舟船（喏）。,8200566.346010363,0.1
sdxp-SuLongWei-WuJiaPo.xml_14,将银放在地平川。,8201429.211914097,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_1,拔剑斩蛇天下扬。,8204270.301987099,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,8206149.825666756,0.1
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,8209888.571456447,0.1
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,8228011.753511426,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,8239629.214476878,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,8246157.018616084,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,8248166.684867832,0.0
sdxp-WoHeNi-SiLangTanMu.xml_6,有一桩心腹事不敢明言。,8249308.02955672,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_3,却原（呐）来贼是个无（哇）义（呀）的冤家！,8255014.909930535,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_3,却愿（呐）来贼是个无（哇）义（呀）的冤家！,8255014.909930535,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_9,满腹的含冤我向谁言（哪）！,8260789.39996115,0.1
lseh-YiLunMing-WenZhaoGuan-2.xml_9,满腹的含冤我向谁言（喏）。,8260789.39996115,0.1
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,8265791.821462503,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_25,险些儿把事（喏）又（哇）作差。,8266847.036714246,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,8272613.709436141,0.1
lsxp-DaHeYi-SiLangTanMu.xml_11,我父令公官极品，,8281895.250826645,0.1
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,8297033.160046209,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,8309316.356757386,0.1
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,8316894.029655207,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,8322260.096550973,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,8324600.903712331,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,8325497.3791468805,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,8332132.557286941,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,8338062.003099155,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,8350286.043051274,0.1
lsxp-DaHeYi-SiLangTanMu.xml_9,家住后山磁州郡，,8355628.884482667,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,8355868.128367407,0.1
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,8362430.872238076,0.0
lsxp-DaHeYi-SiLangTanMu.xml_12,我母佘氏老太君。,8365059.470481073,0.1
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,8365194.212974954,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,8375592.180205615,0.0
lseh-XiRiLi-BaoLianDeng.xml_5,那伯夷尊父命也不能应承，,8392992.307956537,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,8402461.959763817,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,8402461.959763817,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_13,我好（哇）比波浪中失舵的舟船（哪）。,8405381.32373416,0.1
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,8406045.278134054,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,8411336.139109386,0.1
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,8415859.187233843,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_7,夜夜何曾得安眠。,8428479.137725433,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_7,夜夜何曾得安眠。,8428479.137725433,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_3,满门的家着血染红。,8437035.702831943,0.0
lsxp-DaHeYi-SiLangTanMu.xml_1,大喝一声（哪）如雷震，,8440320.329540666,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_8,一家人倶丧在宝剑之下，,8441138.693337644,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_8,俺伍员好一似丧家犬，,8458738.67936003,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_4,吕伯奢可算得义气（呀）大，,8462006.53471295,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_3,悔不该随他人到吕家。,8467231.56265594,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,8472286.966761934,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,8472400.57733769,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,8475195.545383265,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,8475619.524418464,0.1
lseh-NiangZiBu-SouGuJiuGu.xml_12,无奈何我只得双（呃）膝跪，,8505304.38727308,0.1
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,8510034.737241084,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,8515507.67458546,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,8521268.929664085,0.0
lsxp-WoBenShi-KongChengJi-1.xml_6,周文王访姜尚周室大振，,8530879.454668274,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,8537009.156880978,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_5,靠山近水把营收。,8558163.358416602,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,8560630.539920518,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,8578964.430269647,0.1
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,8582277.298048627,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,8585567.953637036,0.0
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,8585932.66022142,0.0
lsxp-DaHeYi-SiLangTanMu.xml_21,龙行虎步非凡等，,8588996.02561602,0.1
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,8590288.282107491,0.0
lseh-ZiNaRi-HongYangDong.xml_1,三更时梦（呃）见（呐）了年迈爹尊（呐）。,8592190.750444328,0.1
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,8598180.605290385,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,8641244.680566018,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_0,为国家哪何曾半日闲空，,8657084.537079789,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,8676150.066829922,0.1
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,8680069.431040643,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,8687667.18772295,0.0
lsxp-ZouYingLong-DaYanSong.xml_10,他本是我朝中上欺天子下压臣谋朝篡位卖国的奸贼他名叫严嵩，,8744131.579944283,0.1
lsxp-YiShiWu-YuCangJian.xml_6,他害我满门（呐）真悲惨，,8752055.356178816,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,8758013.629004054,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_8,你今舍了亲生子，,8759167.54742113,0.1
lseh-XuMaoGong-QinQiongFaPei.xml_1,文韬武略智谋高。,8769566.950465301,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_1,我也曾平服了塞北西东。,8801156.69752666,0.2
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,8810296.593582928,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,8812169.549731258,0.0
lseh-XiRiLi-BaoLianDeng.xml_3,传口诏命次子即位为君，,8813383.529001854,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,8823857.759178337,0.0
lseh-WeiKaiYan-RangXuZhou.xml_5,救生灵（呐）积阴（呐）功也免得我坐卧不宁。,8835818.735780241,0.1
lsxp-TingTaYan-ZhuoFangCao-2.xml_4,马行在来道内我难（呐）以回（呀）马，,8836784.105580738,0.4
lsxp-TingTaYan-ZhuoFangCao-1.xml_4,马行在来道内我难（呐）以回（呀）马，,8836784.105580738,0.4
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,8846031.557669085,0.2
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,8851823.561183358,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,8862852.623368356,0.0
lsxp-YiShiWu-YuCangJian.xml_2,日月轮流催晓（哇）箭，,8883421.546335222,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,8906771.33101216,0.1
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,8913796.014501711,0.0
sdxp-SuLongWei-WuJiaPo.xml_13,腰中取出银一锭，,8939034.017288484,0.0
lsxp-DaHeYi-SiLangTanMu.xml_24,你是番邦什么人？,8957391.297849113,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,8974690.152376221,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,8976265.786053555,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,8979500.715228116,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,8980629.898512442,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,8985530.48312828,0.0
lseh-YangYanZhao-PengBei.xml_1,在中途得一信甚是不明。,9000921.39332341,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_5,他将我隐藏在后花园。,9006388.256712804,0.1
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,9018853.716390798,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_15,悔不该弃县今抛却了乌（哇）纱，,9022544.392673621,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,9033785.454269813,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,9034159.176492164,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_1,满朝中文武臣泪双流。,9036772.087977339,0.0
sdxp-WoHeNi-SiLangTanMu.xml_5,非是我这几日愁眉不展，,9041580.323991088,0.1
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,9047153.75013615,0.1
lsxp-JiangShenEr-SanJiaDian.xml_14,眼见得红日坠落在西山后，,9060094.599869229,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_0,为国家那何曾半日闲空，,9064736.825957488,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,9072515.807112923,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_1,请先生到江边即刻登舟。,9077954.735772122,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,9088512.956771113,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,9119555.53028568,0.1
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,9133871.403725702,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,9135173.370151557,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,9150889.00181989,0.0
sdxp-WoHeNi-SiLangTanMu.xml_17,公主叫我盟誓愿，,9156704.55341938,0.1
lsxp-LiangGuoJiao-ShiJieTing-2.xml_1,各为其（呀）主统貔貅。,9172480.004219932,0.0
lseh-LaoZhangBu-WuPenJi.xml_5,抓一（呀）把沙土扬灰尘。,9172762.000765333,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,9176022.43261019,0.1
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,9177084.193669975,0.1
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,9180416.256421743,0.1
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,9185163.17879684,0.1
lseh-WeiGuoJia-HongYangDong-1.xml_1,我也曾平服了塞北西东。,9193313.288111927,0.2
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,9198977.47658987,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_1,我也曾平服了塞北西东。,9214584.076377012,0.2
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,9214721.026816858,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,9228968.90594502,0.0
lsxp-WoBenShi-KongChengJi-2.xml_2,先帝（呀）爷下南阳（呃）御驾三（呃）请，,9256876.531920234,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,9284778.771492327,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,9286335.006396314,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,9292035.014224196,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,9295621.39621994,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,9299327.031425992,0.0
lsxp-ZheYiFeng-DingJunShan.xml_9,到明天午时三刻要成功劳。,9299476.499391092,0.0
lsxp-ZouYingLong-DaYanSong.xml_13,在品级台（呀）前臣见君。,9299895.34666885,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,9320890.708065603,0.0
lsxp-ZheYiFeng-DingJunShan.xml_3,大小儿郎听根苗，,9332029.325070085,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,9340001.818413004,0.1
lsxp-YiShiWu-YuCangJian.xml_1,叹光明一去不回还（呐）；,9340432.498997835,0.1
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,9353668.806135384,0.1
sdxp-WoHeNi-SiLangTanMu.xml_10,怎奈我身在番难以过关。,9364970.946022393,0.3
lseh-XinZhongYou-WenZhaoGuan.xml_21,我不杀平王我的心怎甘。,9365718.642003668,0.1
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,9377841.349361382,0.1
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,9379877.147446837,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,9387358.36217634,0.1
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,9395625.725286799,0.0
lsxp-JiangShenEr-SanJiaDian.xml_5,因此上发配到登州。,9403826.369398728,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_8,哭一声爹娘不能相见，,9415299.421653578,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,9418991.846665746,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,9436755.300554445,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,9439708.182065578,0.0
lseh-WeiKaiYan-RangXuZhou.xml_2,二犬子（呃）皆年幼（哇）难当（呃）重任，,9446759.469064597,0.1
lsxp-ZheYiFeng-DingJunShan.xml_5,三通鼓刀出鞘四通（呃）鼓把兵交。,9463982.569984699,0.0
lseh-TanXiongDi-SangYuanJiZi.xml_0,叹兄兀弟遭不幸一旦丧命，,9477921.454011654,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_37,我不杀平王我的心怎甘（哪）。,9487608.70202854,0.1
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,9500057.975115199,0.0
lsxp-JiangShenEr-SanJiaDian.xml_3,二不是歹人（呐）把城偷。,9507536.655045742,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,9510987.825863674,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,9535878.376602175,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,9541479.195041856,0.2
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,9564579.580113547,0.0
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,9570204.851796718,0.0
lsxp-ZouYingLong-DaYanSong.xml_7,站立在殿角用目来观定，,9571512.116653342,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_9,我也曾约法定过三章。,9573819.55709611,0.1
lseh-YiLunMing-ZhuoFangSuDian.xml_5,杀猪（喏）沽酒款待与他，,9580343.33339782,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_10,千言万（哪）语她不肯，,9583058.82483263,0.0
sdxp-DangNianHan-SanJiZhang.xml_3,小奴才真个不孝顺，,9585967.157600023,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_6,一连几天我的眉不（哇）展，,9589226.522995405,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_17,翻来覆去睡不（哇）安。,9591520.704278974,0.1
lsxp-WoBenShi-KongChengJi-1.xml_2,先帝呀爷下南阳御呀驾三请，,9595383.777616322,0.0
lsxp-ZheYiFeng-DingJunShan.xml_4,头通（呃）鼓紧战袍，,9600532.653362578,0.0
lsxp-JianMaSu-ZhanMaSu.xml_3,失去了街亭差不差。,9604726.396342156,0.2
lsxp-WoBenShi-KongChengJi-2.xml_9,我面前却少个知（呃）音的人。,9616505.233149547,0.1
sdxp-SuLongWei-WuJiaPo.xml_5,西凉川四十单八站，,9630192.134687558,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,9639587.738481907,0.1
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,9643666.197956963,0.1
lsxp-ZouYingLong-DaYanSong.xml_8,上面坐的是有道君，,9651243.759227943,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_3,谁知昭关有阻拦。,9665042.629156346,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,9684242.897611117,0.1
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,9686591.206111303,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,9689916.086294036,0.0
lseh-XiRiLi-BaoLianDeng.xml_6,弟让兄来兄不能应（呐）允，,9708722.993227458,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,9714987.996412743,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,9719201.881989673,0.1
lsxp-JiangShenEr-SanJiaDian.xml_15,叫一声解差把店役。,9765028.145814167,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_3,谁知昭关有阻拦。,9793785.272873245,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_3,悔不该随他人到吕家，,9809679.371303238,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,9851762.31191555,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,9852448.277121933,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,9855080.206418982,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_7,（啊）生死二字（喏）且由他。,9892206.739108149,0.0
lsxp-WoBenShi-KongChengJi-2.xml_0,我本是卧龙岗散淡（呐）的人，,9893687.031774566,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_34,寻短（哪）哎见爹娘（兀）！,9901284.782804007,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,9906183.717293419,0.1
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,9910599.314096108,0.1
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,9910599.314096108,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,9917121.408221235,0.0
sdxp-SuLongWei-WuJiaPo.xml_22,一马双跨到西凉。,9942067.316359237,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,9949558.847197859,0.1
lsxp-YiShiWu-YuCangJian.xml_7,我与奸贼不共戴天！,9961637.82200631,0.1
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,9966433.797335073,0.0
sdxp-DangNianHan-SanJiZhang.xml_1,登台拜帅是韩信，,9979495.513047516,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_23,我岂肯放虎归山又（哇）把人抓。,9983995.00262382,0.1
sdxp-WoHeNi-SiLangTanMu.xml_9,我有心回宋营见母一面，,10005143.715627316,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,10013474.073096223,0.1
lsxp-ZouYingLong-DaYanSong.xml_3,偶遇见小小的顽童放悲声，,10014267.940321388,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_9,年迈的老丈命（呐）染黄沙。,10021316.119788041,0.0
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,10033096.132235907,0.0
lsxp-WeiCengKai-QiYuanBao.xml_2,家住在南阳太平庄，,10042139.464575661,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,10047380.524498204,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,10056200.030017195,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,10070927.463090872,0.0
lsxp-ZouYingLong-DaYanSong.xml_5,他言道严嵩老贼害他的举家一满门。,10071239.676020134,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,10073696.557740169,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_2,为千岁懒把朝房走，,10074244.85012241,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_1,翻来复去睡不安。,10077340.714083701,0.1
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,10077815.253247418,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,10078004.970083993,0.1
