官封到节度使皇王恩重,0,官封到节度使（喏）皇王恩重，
lsxp-TingTaYan-ZhuoFangCao-2.xml_4,马行在来道内我难（呐）以回（呀）马，,7623143.37010537,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_4,马行在来道内我难（呐）以回（呀）马，,7623143.37010537,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,7623982.76041959,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_1,陈伯愚年半百无有后苗。,7626557.074703709,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,7629834.368156768,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_2,我的（呀）父谏奏反把命（哪）送，,7629919.589369788,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,7636344.067717813,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,7646737.206567445,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_11,自有那神灵儿天地鉴察。,7660155.964976009,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,7671937.0799411,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,7671937.0799411,0.0
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,7686789.475584956,0.0
sdxp-WoHeNi-SiLangTanMu.xml_7,萧天佐摆天门两国交战，,7692167.224420221,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,7704788.254292894,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,7715079.338682332,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,7729180.8366698455,0.0
sdxp-SuLongWei-WuJiaPo.xml_12,百般调戏也枉然。,7739014.010714102,0.0
daeh-TanHongYan-HuoXiaoYu.xml_1,美满姻缘付东流。,7745670.230371356,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,7747705.580816876,0.0
lsxp-WeiCengKai-QiYuanBao.xml_4,奉母命京城往，,7750995.47661242,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,7756473.101208415,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,7772723.265780525,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,7828317.663889447,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,7838272.4346760195,0.0
daxp-DiTouLi-NvQiJie.xml_0,低头离了洪洞县，,7851025.411347096,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_12,越思越想好伤惨，,7854889.037573996,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,7861850.996841952,0.0
sdxp-SuLongWei-WuJiaPo.xml_10,管保大嫂就断与咱。,7863733.220136411,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_2,管带三（呐）军要宽厚，,7867093.419091423,0.0
sdxp-SuLongWei-WuJiaPo.xml_13,腰中取出银一锭，,7879122.533074604,0.0
lsxp-WoBenShi-KongChengJi-1.xml_9,我面前缺少个知呃音的人。,7880810.643701274,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,7888220.447309514,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_5,他将我隐藏在后花园。,7911344.404953914,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,7924156.8350502,0.0
lseh-ZiNaRi-HongYangDong.xml_2,我前番命孟良骸骨搬（呐）请，,7938593.834017552,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,7973365.541070777,0.0
sdxp-WoHeNi-SiLangTanMu.xml_1,我和你好夫妻恩德不浅，,7976354.928093691,0.1
lsxp-DaHeYi-SiLangTanMu.xml_1,大喝一声（哪）如雷震，,7985226.143740461,0.0
lsxp-WoBenShi-KongChengJi-1.xml_2,先帝呀爷下南阳御呀驾三请，,7996748.111284909,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,8003265.759240637,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,8026738.502980802,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,8040651.224417789,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,8041481.551601551,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,8045780.651138361,0.0
lsxp-ZiGuDao-HuangHeLou.xml_3,二将军保架过长江。,8052401.691317791,0.0
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,8063301.057599929,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,8069795.649229044,0.1
lseh-YiLunMing-WenZhaoGuan-2.xml_5,他将我隐藏在后花园。,8074104.927445456,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_9,满腹的含冤我向谁言（哪）！,8113142.720703646,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_9,满腹的含冤我向谁言（喏）。,8113142.720703646,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_1,文韬武略智谋高。,8135317.923301458,0.0
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,8140142.924922389,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_1,陈宫心（呐）中乱如麻，,8144981.744167503,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,8161328.511589317,0.1
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,8177913.751210294,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_0,此时间不可闹笑话，,8196077.687421572,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,8216676.931136144,0.0
lsxp-JiangShenEr-SanJiaDian.xml_1,尊一声过往的宾朋听从头：,8216906.601418608,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,8228889.862985429,0.0
lseh-ZiNaRi-HongYangDong.xml_7,去了我左右膀难以飞行。,8247140.166873802,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_28,越思越想好伤惨，,8250705.989490236,0.0
lseh-TanXiongDi-SangYuanJiZi.xml_1,丢下了年幼儿好不伤情。,8270498.932787539,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,8293344.66827112,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,8293858.086412044,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,8308606.071348057,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,8311716.972434739,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,8312755.005812388,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,8314710.481208555,0.1
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,8327452.230856098,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,8328511.035197823,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,8342721.515136741,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,8344117.968659023,0.0
lsxp-DaHeYi-SiLangTanMu.xml_17,弟兄对坐叙寒温。,8345793.353351107,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_1,愁人心（呐）中似箭穿。,8352187.687710397,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,8380833.195516253,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,8382015.541148582,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,8388769.03839799,0.0
lsxp-QingGongYan-FaDongWu.xml_0,庆功宴上把酒饮，,8389785.379032167,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_5,靠山近水把管收。,8390239.909415724,0.0
lsxp-ZiGuDao-HuangHeLou.xml_0,自古道吉人有天相，,8396907.478427777,0.0
sdxp-SuLongWei-WuJiaPo.xml_3,他三人与我有仇恨，,8405101.815068727,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,8437095.41831609,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,8446995.249916608,0.1
lsxp-CiShiJian-HuaiHeYing-1.xml_1,胡言乱语怎瞒（呐）咱。,8450326.5067939,0.0
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,8457322.05904576,0.0
sdxp-DangNianHan-SanJiZhang.xml_4,仙女嫁的又是何人？,8463037.896440571,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,8463995.19199678,0.2
lsxp-ZiCongQian-ZhuLianZhai.xml_4,山高路远少来问候，,8468637.370232562,0.0
lseh-ZiNaRi-HongYangDong.xml_0,自（喏）那日朝罢归身（呐）染重病，,8487108.031393087,0.1
lseh-YiLunMing-ZhuoFangCao-1.xml_14,悔不该把家属一（呀）旦撇下，,8499141.484056326,0.0
lsxp-ZouYingLong-DaYanSong.xml_11,我本当金（哪）殿奏一本怎奈我官卑职小不能够参大臣。,8504707.539999895,0.1
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,8541025.174074937,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_18,观此贼睡卧真（呐）潇洒，,8549219.606688417,0.0
lsxp-YiShiWu-YuCangJian.xml_4,恨平王无道纲常乱，,8554859.556112995,0.1
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,8560430.871741537,0.1
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,8567618.228826817,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,8570778.651140716,0.0
lsxp-ZiGuDao-HuangHeLou.xml_1,主公不必加愁肠。,8573796.339545099,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,8599642.73667156,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,8604584.881530542,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,8608837.995446116,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,8611795.600555724,0.0
lsxp-DaHeYi-SiLangTanMu.xml_24,你是番邦什么人？,8633495.692491647,0.0
sdxp-SuLongWei-WuJiaPo.xml_8,为军哪怕到官前。,8636646.890587747,0.2
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,8649446.891470771,0.0
lsxp-DaHeYi-SiLangTanMu.xml_11,我父令公官极品，,8677647.925918793,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_1,愁人心（哪）中似箭穿。,8688655.014508156,0.0
lsxp-QingGongYan-FaDongWu.xml_3,又谁知中途两离分。,8696394.621154144,0.0
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,8696487.883848127,0.1
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,8707311.95007011,0.1
daxp-XiShiNv-XiShi.xml_3,每日里浣纱去又傍清溪。,8723648.991705857,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,8726095.515992159,0.0
sdxp-SuLongWei-WuJiaPo.xml_17,买绫罗与绸缎、打首饰和簪环，,8728340.561396886,0.0
lseh-JinZhongXiang-ShangTianTai.xml_2,文凭着邓先生策划有准，,8735551.142679414,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,8736173.80231212,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,8781266.994964276,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,8801238.885611206,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,8804195.521320233,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,8821572.988743452,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,8847255.457955971,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,8856414.555500701,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,8876003.017597618,0.1
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,8879715.06430467,0.0
lsxp-DaHeYi-SiLangTanMu.xml_26,要见本帅为何情？,8896507.228214283,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,8899321.928421712,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,8900979.008902963,0.1
sdxp-DangNianHan-SanJiZhang.xml_15,未央宫斩的是韩信，,8901588.043986544,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,8903786.570748672,0.0
lsxp-DaHeYi-SiLangTanMu.xml_2,杨家将令鬼神惊。,8911229.937184446,0.0
lsxp-JianMaSu-ZhanMaSu.xml_2,大胆不听我的话，,8912441.042630294,0.0
lsxp-DaHeYi-SiLangTanMu.xml_27,听罢言来才知情，,8912939.540890016,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,8917667.63522916,0.0
sdxp-WoHeNi-SiLangTanMu.xml_14,见母一面即刻还。,8919200.121246371,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,8927356.213075917,0.0
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,8928080.000389881,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_4,左手拉住了李左车，,8934980.722006714,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,8941765.210383393,0.0
lsxp-WoBenShi-KongChengJi-2.xml_4,官封到武乡侯（呃）执掌帅印，,8949780.692593193,0.3
lseh-XinZhongYou-WenZhaoGuan.xml_9,不能（呃）哎见。,8964546.606542218,0.0
lsxp-WoBenShi-KongChengJi-2.xml_1,凭阴阳如反掌保定乾坤。,8967276.775230834,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,8970371.173350865,0.0
lseh-XiRiLi-BaoLianDeng.xml_13,二娇儿也难比那两个贤人。,9015110.419362294,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,9018270.676357746,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_8,一路上秋毫无犯军威壮，,9031011.007255075,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,9053861.662255807,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,9064562.548777128,0.0
sdxp-SuLongWei-WuJiaPo.xml_2,王丞相是我的主婚人（哪）。,9068576.115406184,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,9081726.858475555,0.0
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,9088916.908252586,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,9097123.829037955,0.0
sdxp-DangNianHan-SanJiZhang.xml_5,我的儿说话言不逊，,9112150.876068424,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,9118643.467120977,0.0
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,9123878.614024937,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,9126092.950232925,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,9131316.411004463,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,9132040.864069548,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,9133924.757234586,0.0
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,9136117.874079512,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,9155047.630229715,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,9165298.534655523,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_17,翻来覆去睡不（哇）安。,9174829.37243609,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,9189054.315430352,0.0
lsxp-DaHeYi-SiLangTanMu.xml_16,我是你四哥回宋营。,9209089.620546123,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,9223204.02018596,0.0
lsxp-WeiCengKai-QiYuanBao.xml_9,望求太爷与我作主张（啊）。,9230427.546695221,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,9243829.041863775,0.0
lsxp-DaHeYi-SiLangTanMu.xml_21,龙行虎步非凡等，,9248422.312985832,0.0
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,9264941.68029271,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,9271379.177263806,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,9277883.192152547,0.0
sdxp-WoHeNi-SiLangTanMu.xml_18,将身跪在地平川。,9280318.16136371,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,9315010.484443346,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,9323084.483433925,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,9329711.558939807,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_0,听他言听得我心（呐）惊胆怕，,9357342.552147705,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_0,听他言吓得我心（呐）惊胆怕，,9357342.552147705,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,9362260.780114481,0.0
lsxp-ZheYiFeng-DingJunShan.xml_4,头通（呃）鼓紧战袍，,9382857.79444587,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,9383444.590412725,0.1
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,9387956.221512798,0.0
lsxp-ZouYingLong-DaYanSong.xml_1,在朝房来了我这保国忠。,9401421.611210756,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,9404178.161974493,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,9415245.600210046,0.1
lsxp-WoBenShi-KongChengJi-1.xml_1,论阴阳如反掌保定乾坤。,9416225.857362714,0.0
lsxp-ZheYiFeng-DingJunShan.xml_2,站立在营门三军叫，,9427396.30046425,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_1,翻来复去睡不安。,9441463.986021357,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_3,却原（呐）来贼是个无（哇）义（呀）的冤家！,9445467.526394384,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_3,却愿（呐）来贼是个无（哇）义（呀）的冤家！,9445467.526394384,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,9447432.385694651,0.1
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,9450598.44130765,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,9453487.535468182,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,9464472.987667782,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_3,谁知昭关有阻拦。,9470472.121906934,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,9476627.796973411,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,9485043.117867684,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,9511501.999533365,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_2,背地里只把东皋公怨，,9524499.562394058,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,9531500.659611696,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_1,父纳子（呃）妻礼难容，,9560525.001934825,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_3,谁知昭关有阻拦。,9561387.68620741,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,9581549.543133533,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,9582289.28421494,0.1
lseh-XinZhongYou-WenZhaoGuan.xml_11,鸡鸣犬吠五更（呃）天，,9587114.581929496,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,9590905.804161336,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_5,靠山近水把营收。,9594318.611057946,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_2,实指望到吴国借兵回转，,9599830.20251199,0.1
lsxp-HenPingWang-WenZhaoGuan.xml_3,满门的家着血染红。,9617829.870481227,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,9629807.269264523,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,9640489.398505699,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,9645580.079026246,0.1
lsxp-ZouYingLong-DaYanSong.xml_6,我劝顽童你休流泪，免悲声，邹老爷就是尔的报仇人。,9647673.631670872,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,9682991.49977385,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_1,问三娘发雷霆却是为何？,9708413.4148102,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_27,鸡鸣犬吠五更（哪）天，,9721981.349876443,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,9743250.24186745,0.1
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,9748138.414542556,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,9787836.091105659,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,9790897.578746388,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,9791750.456015073,0.0
lseh-YangYanZhao-PengBei.xml_1,在中途得一信甚是不明。,9823205.186764296,0.0
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,9827298.48761394,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,9836458.59581399,0.1
lseh-XinZhongYou-WenZhaoGuan.xml_15,到如今夜宿在荒村院，,9844058.1727283,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_31,到如今夜宿在荒村院，,9844058.1727283,0.1
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,9869657.725908477,0.0
lsxp-JianMaSu-ZhanMaSu.xml_3,失去了街亭差不差。,9876143.008336615,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_33,我本当拔宝剑自寻短见，,9884700.781387195,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,9917087.1052522,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,9923146.08863993,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_11,我好比龙游在浅沙滩。,9934555.064302599,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,9938712.448071685,0.0
lseh-ZiNaRi-HongYangDong.xml_9,因此上臣的病重（呃）加十分、千岁爷呀！,9939761.59263053,0.1
lsxp-WoBenShi-KongChengJi-1.xml_4,官封到武乡侯哇执掌帅印，,9942126.855530208,0.3
lsxp-CiShiJian-HuaiHeYing-2.xml_4,左手拉住了李左车，,9949199.556285905,0.0
sdxp-SuLongWei-WuJiaPo.xml_18,我与你露水的夫妻就过几年（呐）。,9950174.262577206,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,9951245.976824861,0.0
lsxp-ZouYingLong-DaYanSong.xml_8,上面坐的是有道君，,9977718.395621719,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,9995280.8424394,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,9997041.044861631,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_18,背地里只把东皋公怨，,9997802.281375168,0.0
lsxp-DaHeYi-SiLangTanMu.xml_30,自己骨肉认不清。,10001568.251340527,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,10017370.706113027,0.1
lseh-YangYanZhao-PengBei.xml_4,我本当将此事对他来论，,10029454.344826264,0.0
lsxp-DaHeYi-SiLangTanMu.xml_5,弟兄们分别十五春，,10035026.824590107,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,10038024.252303319,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,10038620.875469632,0.0
lseh-WeiKaiYan-RangXuZhou.xml_3,老朽年迈我也不能够担承。,10044012.66573467,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_0,此时间不可闹笑话，,10049000.10211666,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,10076093.930018492,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,10115450.755209293,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_13,想当初在朝为官宦，,10124028.402055351,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_29,想当初在朝为官宦，,10124028.402055351,0.1
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,10126568.652306939,0.0
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,10128134.942838818,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,10154479.995897425,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,10187881.272693526,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,10204182.306251302,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,10228317.808451554,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_4,怕将（呃）来老天爷无（哇）有果报，,10238207.546785906,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,10249323.664718397,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,10263340.007198157,0.0
sdxp-DangNianHan-SanJiZhang.xml_19,非是女儿言不逊，,10292041.789208233,0.0
