今夜晚怎能够盼到明天,0,今夜晚怎能够盼到明天。
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,10297801.02489225,0.0
sdxp-WoHeNi-SiLangTanMu.xml_17,公主叫我盟誓愿，,10299864.426053308,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_1,陈伯愚年半百无有后苗。,10327170.447012674,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,10350498.512132961,0.2
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,10353046.573913887,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,10354896.011533845,0.0
sdxp-SuLongWei-WuJiaPo.xml_8,为军哪怕到官前。,10370569.46709968,0.1
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,10372568.54375014,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,10377425.194263883,0.1
lseh-JinZhongXiang-ShangTianTai.xml_0,金钟响玉磬应王登龙庭，,10386522.897261744,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,10411209.424756398,0.1
lseh-YangYanZhao-PengBei.xml_4,我本当将此事对他来论，,10426468.215565927,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,10436957.818372704,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,10491704.391674984,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,10533852.371788003,0.0
sdxp-WoHeNi-SiLangTanMu.xml_20,黄沙盖脸尸骨不全。,10549116.503786488,0.0
lseh-LaoZhangBu-WuPenJi.xml_6,我和你远无冤近无有仇恨，,10553629.715509774,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_11,反将我主贬汉王。,10601860.496353498,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,10606127.355674587,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,10647579.536784396,0.0
lsxp-WeiCengKai-QiYuanBao.xml_4,奉母命京城往，,10647703.403281959,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,10653454.487138666,0.0
lsxp-JiangShenEr-SanJiaDian.xml_13,娘想儿来泪双流。,10681770.4378314,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,10714739.603951639,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,10717080.339619502,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_3,耳听笙歌闹喧哗。,10744419.764580458,0.0
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,10748497.612119287,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,10771779.394705854,0.0
sdxp-DangNianHan-SanJiZhang.xml_15,未央宫斩的是韩信，,10780449.734764848,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_5,眼睁（呐）睁有何人去（呀）把纸烧。,10783430.304494075,0.0
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,10784176.588968063,0.0
sdxp-WoHeNi-SiLangTanMu.xml_5,非是我这几日愁眉不展，,10793981.197563462,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_9,满腹的含冤我向谁言（哪）！,10809168.302094059,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_9,满腹的含冤我向谁言（喏）。,10809168.302094059,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,10812894.946343753,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_6,三人同把那鬼门关上踏，,10813900.429275064,0.0
sdxp-WoHeNi-SiLangTanMu.xml_15,宋营（哪）虽然路途远，,10832491.332761817,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,10833437.837501911,0.0
daxp-ErDeFu-HongNiGuan.xml_6,奴本当把关印付他执掌，,10918716.211065441,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,10923626.456134286,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,10955006.72219746,0.1
lsxp-YiShiWu-YuCangJian.xml_0,一事无成两鬓斑，,10962511.844367007,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,10971920.838786198,0.1
lsxp-DaHeYi-SiLangTanMu.xml_21,龙行虎步非凡等，,10988877.783378309,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_4,山高路远少来问候，,11017219.935717449,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,11065605.318093836,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,11122928.977184484,0.1
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,11157403.74126808,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_12,越思越想好伤惨，,11158009.62206448,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,11183530.947675366,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,11188779.717688242,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_1,各为其主统貔貅，,11202813.461547012,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,11221188.802642666,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,11237729.885267157,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,11256314.918868907,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,11312612.294103144,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,11326920.50723917,0.1
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,11333599.469149126,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,11356487.727218663,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,11427031.444313219,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,11442839.454523856,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,11447358.918794077,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_4,马行在来道内我难（呐）以回（呀）马，,11491039.233474687,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_4,马行在来道内我难（呐）以回（呀）马，,11491039.233474687,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,11519914.970182907,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,11539269.52781774,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,11542563.824346224,0.0
sdxp-SuLongWei-WuJiaPo.xml_18,我与你露水的夫妻就过几年（呐）。,11582324.150227813,0.0
lsxp-ZheYiFeng-DingJunShan.xml_9,到明天午时三刻要成功劳。,11587414.60957518,0.3
lsxp-DaHeYi-SiLangTanMu.xml_26,要见本帅为何情？,11588213.490506856,0.0
lsxp-ZheYiFeng-DingJunShan.xml_2,站立在营门三军叫，,11622994.026137691,0.0
lsxp-ZouYingLong-DaYanSong.xml_13,在品级台（呀）前臣见君。,11639589.82430455,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,11658882.252156228,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,11664695.173951367,0.0
lsxp-ZheYiFeng-DingJunShan.xml_5,三通鼓刀出鞘四通（呃）鼓把兵交。,11744800.689931951,0.0
daxp-DiTouLi-NvQiJie.xml_0,低头离了洪洞县，,11770572.62776048,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,11837082.941172669,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,11847670.894244894,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,11847670.894244894,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,11852287.01108785,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,11873425.564953355,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,11887268.123311354,0.0
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,11929043.163374502,0.0
daxp-XiShiNv-XiShi.xml_3,每日里浣纱去又傍清溪。,11937314.425307095,0.0
sdxp-DangNianHan-SanJiZhang.xml_5,我的儿说话言不逊，,11952645.537405498,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,11956879.935788639,0.0
sdxp-DangNianHan-SanJiZhang.xml_7,要退、要退、偏要退！,11971364.279513065,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_11,自有那神灵（啊）天地鉴察。,11978769.891675977,0.1
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,12036445.239068849,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,12036495.959709931,0.0
lsxp-DaHeYi-SiLangTanMu.xml_17,弟兄对坐叙寒温。,12086409.948460124,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,12106710.559051003,0.2
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,12140890.171709435,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,12148612.501012111,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,12158868.749996576,0.0
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,12176789.63904107,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,12198236.538638318,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_4,此一番领（呃）兵去镇守，,12201892.354153125,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,12213459.619489256,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,12216036.661612965,0.2
lsxp-JiangShenEr-SanJiaDian.xml_5,因此上发配到登州。,12224778.370590132,0.1
sdxp-DangNianHan-SanJiZhang.xml_2,未央宫斩的是何人？,12225788.796389017,0.0
lsxp-DaHeYi-SiLangTanMu.xml_6,怎知今日回宋营。,12289987.696118671,0.2
lsxp-ZhangGongDao-ZhuangYuanPu.xml_0,张公道三十五六（哇）子有靠，,12344853.748944001,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,12348097.438839694,0.1
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,12361912.334045107,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_1,请先生到江边即刻登舟。,12372796.01497908,0.1
lseh-YiLunMing-ZhuoFangCao-2.xml_3,悔不该随他人到吕家。,12375198.718724754,0.1
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,12390151.810748164,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,12406624.878394134,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,12419339.918291051,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,12441616.59250192,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,12470376.152427668,0.0
lsxp-DaHeYi-SiLangTanMu.xml_30,自己骨肉认不清。,12476174.5442364,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,12521982.433339212,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_4,先进咸阳为皇上，,12579109.91235795,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_0,听他言听得我心（呐）惊胆怕，,12585564.182714067,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_0,听他言吓得我心（呐）惊胆怕，,12585564.182714067,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_2,今日里斩宗保娘把儿怪，,12606194.140660934,0.1
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,12622667.54685639,0.0
sdxp-WoHeNi-SiLangTanMu.xml_1,我和你好夫妻恩德不浅，,12643889.05917885,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_2,为千岁懒把朝房走，,12650474.1745532,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_3,却原（呐）来贼是个无（哇）义（呀）的冤家！,12652134.640666548,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_3,却愿（呐）来贼是个无（哇）义（呀）的冤家！,12652134.640666548,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,12688005.960509416,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,12692085.595903302,0.0
lsxp-YiShiWu-YuCangJian.xml_5,信用无极狗奸谗。,12707811.45636132,0.0
sdxp-DangNianHan-SanJiZhang.xml_1,登台拜帅是韩信，,12721553.038264707,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_7,老天爷不绝我的后代根。,12746142.61517809,0.1
lseh-JinZhongXiang-ShangTianTai.xml_2,文凭着邓先生策划有准，,12768531.530960718,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,12826372.980089134,0.1
sdxp-WoHeNi-SiLangTanMu.xml_18,将身跪在地平川。,12828791.80882676,0.0
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,12836768.186328111,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,12845432.41849798,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,12849485.9527124,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,12878649.256768426,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,12909634.977791766,0.1
lsxp-ShenGongWu-LongFengChengXiang.xml_1,年老得配女娇娃。,12926061.345507827,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_3,为什么事到如今耍奸滑。,12952219.664185194,0.2
lseh-NiangZiBu-SouGuJiuGu.xml_6,舍子搭救忠（呃）良的后，,12980912.204317553,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,12987649.479950404,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,13015821.762355546,0.0
lsxp-ZheYiFeng-DingJunShan.xml_7,退后的项上吃一刀。,13048951.516815927,0.0
sdxp-WoHeNi-SiLangTanMu.xml_7,萧天佐摆天门两国交战，,13079382.563257687,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,13115790.432301665,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_1,文韬武略智谋高。,13124329.665387515,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_5,右手再把栾布拉，,13128887.368420495,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,13162014.04070977,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_0,两国交锋龙虎斗，,13193624.903178547,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,13234767.567171903,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,13235110.58825176,0.1
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,13249868.08527507,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,13255608.975499839,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,13259570.530121956,0.0
lseh-ZiNaRi-HongYangDong.xml_7,去了我左右膀难以飞行。,13262205.603193795,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,13264516.534948727,0.3
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,13276170.363965482,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,13287971.105932375,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,13323206.482968044,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,13348906.119113803,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,13350888.398051413,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_2,实指（惹）望到吴国借兵回转，,13367320.51394612,0.1
lsxp-LiangGuoJiao-ShiJieTing-2.xml_2,管带三（呐）军要宽厚，,13391703.93986923,0.0
lseh-ZiNaRi-HongYangDong.xml_2,我前番命孟良骸骨搬（呐）请，,13432126.307146817,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,13435044.622031815,0.0
lsxp-ZheYiFeng-DingJunShan.xml_8,三军与（呀）爷归营号，,13455798.970994363,0.0
lsxp-DaHeYi-SiLangTanMu.xml_12,我母佘氏老太君。,13476680.892429795,0.0
sdxp-WoHeNi-SiLangTanMu.xml_14,见母一面即刻还。,13481054.694300504,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,13485799.81357788,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_13,想当初在朝为官宦，,13531510.621696228,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_29,想当初在朝为官宦，,13531510.621696228,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_6,三人同把那鬼门关上爬，,13535644.585156946,0.0
lsxp-ZiGuDao-HuangHeLou.xml_4,今日主公把宴上，,13540363.88769729,0.1
lseh-YiLunMing-WenZhaoGuan-2.xml_14,思来想去我的肝肠断，,13560494.359735243,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,13561067.07098871,0.0
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,13572914.89050719,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_25,不能（哪）哎见爹娘（兀）！,13585235.9939933,0.1
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,13585626.920929113,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,13592608.025720362,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,13597896.478943368,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_14,思来想去我的肝肠断，,13598760.250405941,0.0
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,13618238.14883218,0.1
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,13626845.83887071,0.1
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,13642383.71716482,0.0
sdxp-DangNianHan-SanJiZhang.xml_19,非是女儿言不逊，,13674154.171100235,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,13676442.747461258,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,13682255.735874267,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,13764817.915828753,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,13776100.568496203,0.0
lseh-XiRiLi-BaoLianDeng.xml_13,二娇儿也难比那两个贤人。,13941392.657303337,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_3,为什么事到如今耍奸滑？,13954443.779097078,0.2
lsxp-QingGongYan-FaDongWu.xml_3,又谁知中途两离分。,13965069.9335102,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,13991222.17682348,0.1
lsxp-ZiGuDao-HuangHeLou.xml_2,曾记得当年赴河梁，,14013492.890349833,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_0,此时间不可闹笑话，,14015837.46238655,0.0
lseh-WeiKaiYan-RangXuZhou.xml_5,救生灵（呐）积阴（呐）功也免得我坐卧不宁。,14035372.716841104,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,14038148.260178171,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,14062747.437212352,0.0
sdxp-SuLongWei-WuJiaPo.xml_14,将银放在地平川。,14075212.826905124,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,14103439.460113803,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_3,满门的家着血染红。,14105534.972383505,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_1,各为其（呀）主统貔貅。,14122426.73193608,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,14174692.64081611,0.0
lsxp-WoBenShi-KongChengJi-2.xml_0,我本是卧龙岗散淡（呐）的人，,14200946.096173968,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,14212518.467531022,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,14241046.618253885,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_9,不能（呃）哎见。,14247813.743307402,0.1
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,14289327.738930436,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,14323832.136356302,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,14343287.185862811,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_22,虎在笼中我不打，,14349264.489003379,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,14350097.190171868,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,14355997.457509337,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,14359355.034628917,0.0
lsxp-DaHeYi-SiLangTanMu.xml_27,听罢言来才知情，,14365083.914858919,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,14386562.986103227,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,14417406.957860248,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,14420974.154638492,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,14437962.060050018,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,14440403.992847482,0.2
lsxp-WoZhuYe-ZhuiHanXin.xml_0,我主爷起义在芒砀，,14471264.989412665,0.0
lsxp-DaHeYi-SiLangTanMu.xml_14,失落番邦被贼擒。,14489625.056322189,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,14521968.329140572,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_15,悔不该弃县今抛却了乌（哇）纱，,14530898.674842557,0.1
lseh-YiLunMing-ZhuoFangCao-1.xml_3,悔不该随他人到吕家，,14554688.424150793,0.1
lsxp-ZiGuDao-HuangHeLou.xml_0,自古道吉人有天相，,14555103.442449551,0.1
lsxp-DaHeYi-SiLangTanMu.xml_24,你是番邦什么人？,14561779.867937025,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,14579557.527093733,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_35,父母的冤仇化尘烟，,14594392.719356634,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,14681854.657602437,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,14687126.379661083,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,14731836.710942198,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,14742274.94071794,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,14776928.630078698,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,14798904.814444259,0.1
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,14843011.48590961,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,14852039.81995499,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,14870086.28120129,0.3
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,14873914.323536133,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,14879316.164680004,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,14897762.511286253,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,14917615.370445495,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,14924983.016978845,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,14935462.32318422,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,14951169.915083455,0.1
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,14969403.442123966,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,15030563.88269348,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,15038896.937627798,0.0
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,15070285.358562049,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_33,我本当拔宝剑自寻短见，,15087196.61134179,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_3,谁知昭关有阻拦。,15088654.399388421,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_19,父母的冤仇化尘烟，,15093746.584010815,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,15100498.380438693,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_14,悔不该把家属一（呀）旦撇下，,15123944.031053022,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,15153819.92063087,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_2,父道那薛平贵是那化郎模样，,15164890.514648108,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_11,自有那神灵儿天地鉴察。,15170850.101817723,0.1
lseh-YiLunMing-WenZhaoGuan-2.xml_2,实指望到吴国借兵回转，,15183993.126621772,0.1
lsxp-WoBenShi-KongChengJi-2.xml_6,周文王访姜尚周室大振，,15208772.207028892,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,15211468.973767472,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,15246439.551854283,0.0
lsxp-YiShiWu-YuCangJian.xml_1,叹光明一去不回还（呐）；,15255894.752554607,0.1
