那乃是萧天佐以假成真,0,那乃是萧天佐以（呀）假成真；
lseh-XuMaoGong-QinQiongFaPei.xml_5,其中必有这巧（哇）妙高。,9066546.058090698,0.0
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,9085997.237258436,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,9088657.728494475,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,9092372.638391938,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,9100738.600294348,0.1
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,9111886.441516804,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,9127822.162494278,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_3,耳听笙歌闹喧哗。,9130010.104823232,0.0
lsxp-JianMaSu-ZhanMaSu.xml_3,失去了街亭差不差。,9146086.381285783,0.0
lsxp-YiShiWu-YuCangJian.xml_0,一事无成两鬓斑，,9160706.141039716,0.1
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,9197505.461068895,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_13,我好（呃）比波浪中失舵的舟船（喏）。,9197519.527712082,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_2,我先前只望他宽宏量（呃）大，,9197560.96462461,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_2,我先前只望他宽宏量（呃）大，,9197560.96462461,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_14,悔不该把家属一（呀）旦撇下，,9200939.566336751,0.0
lsxp-JiangShenEr-SanJiaDian.xml_5,因此上发配到登州。,9214811.217428586,0.0
lsxp-ZheYiFeng-DingJunShan.xml_9,到明天午时三刻要成功劳。,9217597.34806412,0.2
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,9265766.508363793,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,9275280.312421486,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_3,满门的家着血染红。,9277954.519991659,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,9294295.31706672,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,9294518.514172824,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,9296374.778380893,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,9297196.717724472,0.0
sdxp-WoHeNi-SiLangTanMu.xml_14,见母一面即刻还。,9297666.751649853,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,9298183.042107292,0.1
lsxp-YiShiWu-YuCangJian.xml_9,行至在昭关有阻拦。,9312204.313984852,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_5,右手再把栾布拉。,9314276.088110274,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,9323988.055983959,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,9351150.713597918,0.2
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,9352583.197594665,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,9354800.40113129,0.0
lseh-XiRiLi-BaoLianDeng.xml_5,那伯夷尊父命也不能应承，,9356037.011479,0.1
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,9359604.03209376,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,9363764.672091091,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_5,为何几日他不言，,9368262.383038968,0.0
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,9385428.599566167,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,9395526.71379045,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,9411143.180585649,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,9411559.361498786,0.0
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,9413106.524943847,0.0
lsxp-ZheYiFeng-DingJunShan.xml_7,退后的项上吃一刀。,9478680.078913298,0.0
lsxp-DaHeYi-SiLangTanMu.xml_22,灯光之下看不真。,9482098.233702969,0.1
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,9500471.044141006,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,9506535.904017422,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_13,我好（哇）比波浪中失舵的舟船（哪）。,9516392.002787223,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,9529789.561590996,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_0,听他言听得我心（呐）惊胆怕，,9533678.892573941,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_0,听他言吓得我心（呐）惊胆怕，,9533678.892573941,0.0
lsxp-JiangShenEr-SanJiaDian.xml_15,叫一声解差把店役。,9534619.807656156,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_21,贼好比猛虎未（呀）曾长牙，,9558459.512202278,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,9559965.192358257,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,9565004.286690256,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,9585430.544181054,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_20,贼好比蛟龙未生鳞甲，,9596271.218899071,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_2,官封到节度使（喏）皇王恩重，,9601241.083991028,0.0
lsxp-DaHeYi-SiLangTanMu.xml_20,见一番汉帐中行。,9601979.4044888,0.0
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,9605266.700917967,0.1
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,9605470.968034493,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,9614241.517542372,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,9621182.109552868,0.1
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,9631148.690642683,0.0
lseh-ZiNaRi-HongYangDong.xml_8,为此事终（啊）日里忧成疾病，,9632944.01715066,0.1
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,9639013.931511581,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,9646833.47738132,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,9647738.238881806,0.2
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,9680037.482044447,0.0
sdxp-WoHeNi-SiLangTanMu.xml_7,萧天佐摆天门两国交战，,9686612.496856185,0.3
lsxp-DaHeYi-SiLangTanMu.xml_30,自己骨肉认不清。,9702608.952859044,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,9710114.838048711,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,9711577.01731694,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,9731763.829445355,0.0
lsxp-WoBenShi-KongChengJi-2.xml_9,我面前却少个知（呃）音的人。,9743799.284548257,0.0
lsxp-DaHeYi-SiLangTanMu.xml_14,失落番邦被贼擒。,9752650.746666584,0.0
lsxp-ZouYingLong-DaYanSong.xml_1,在朝房来了我这保国忠。,9773721.1652294,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_11,自有那神灵儿天地鉴察。,9776264.561347187,0.2
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,9793237.906310566,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,9797571.128824962,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,9805854.823375871,0.0
lsxp-JianMaSu-ZhanMaSu.xml_1,不由老夫咬钢牙，,9817331.789031703,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,9819675.477446938,0.0
lseh-ZiNaRi-HongYangDong.xml_2,我前番命孟良骸骨搬（呐）请，,9823107.32847228,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,9825128.340794412,0.0
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,9826819.785669787,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,9855828.475635896,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_1,陈宫心（呐）中乱如麻，,9856198.341984997,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,9875456.238553835,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,9902426.98968928,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,9909651.005965566,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,9910962.60495625,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,9911036.450782701,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,9921583.86414384,0.2
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,9927490.98231659,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_5,这才是花随水水不（哇）能恋（呐）花。,9952916.318163812,0.1
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,9961947.055930967,0.0
lsxp-DaHeYi-SiLangTanMu.xml_26,要见本帅为何情？,9969256.246568378,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_14,撩袍端带我把金殿上，,9971026.04663973,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,9980516.935135376,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,9995144.680057429,0.0
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,9998181.72128746,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_3,两路分（呐）兵定咸阳。,9999930.207580127,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,10000205.481845178,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,10002781.640700446,0.2
lsxp-CiShiJian-HuaiHeYing-2.xml_7,生死二字（喏）且由他！,10032228.112603424,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,10043696.898949437,0.0
lsxp-ZheYiFeng-DingJunShan.xml_8,三军与（呀）爷归营号，,10046932.198598389,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,10052724.044280455,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,10054336.509170936,0.1
lsxp-ZuoRiLi-YuanMenZhanZi.xml_3,哭啼啼坐宝帐所为何来。,10059191.074186323,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,10083455.604375461,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,10095046.867929088,0.0
lsxp-DaHeYi-SiLangTanMu.xml_9,家住后山磁州郡，,10095975.05273671,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,10102194.955366442,0.2
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,10104543.630664472,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_6,又谁知此贼的疑心（呐）太（呀）大，,10106142.772136223,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,10124018.981487015,0.0
lseh-XiRiLi-BaoLianDeng.xml_13,二娇儿也难比那两个贤人。,10129718.55713143,0.1
lseh-LaoZhangBu-WuPenJi.xml_5,抓一（呀）把沙土扬灰尘。,10138195.004581608,0.0
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,10146398.612569815,0.0
lsxp-DaHeYi-SiLangTanMu.xml_6,怎知今日回宋营。,10157493.580886377,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_1,翻来复去睡不安。,10158374.08320408,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,10174665.905975398,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,10180582.344882436,0.1
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,10182010.878155015,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,10189884.318373162,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,10202437.49487234,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_7,夜夜何曾得安眠。,10206216.896511074,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_7,夜夜何曾得安眠。,10206216.896511074,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_28,越思越想好伤惨，,10209415.158580655,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,10212127.983046142,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,10213544.816998735,0.0
lsxp-ZouYingLong-DaYanSong.xml_2,那一日打从大街进，,10214039.639385734,0.1
lseh-ZiNaRi-HongYangDong.xml_4,二次（喏）里命孟良番营来进，,10256511.529248295,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_11,自有那神灵（啊）天地鉴察。,10262770.192330265,0.2
lsxp-JiangShenEr-SanJiaDian.xml_12,儿想娘亲难叩首，,10278332.395028636,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,10298646.822271058,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,10347580.911983876,0.0
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,10352206.2707545,0.2
lseh-YiLunMing-ZhuoFangCao-2.xml_2,悔不该心猿并意马，,10360896.335424284,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,10361170.864628034,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_11,我好比龙游在浅沙滩。,10365880.62931012,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,10413419.99053311,0.2
sdxp-WoHeNi-SiLangTanMu.xml_8,我的娘押粮草来到北番。,10428358.292301826,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,10433407.913133299,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,10459750.021235866,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,10469067.542213978,0.1
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,10488445.14067543,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_3,赏罚中公（呃）平莫要自由。,10494899.068282928,0.0
lsxp-DaHeYi-SiLangTanMu.xml_17,弟兄对坐叙寒温。,10497347.045096219,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,10499833.476210833,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_5,眼睁（呐）睁有何人去（呀）把纸烧。,10501295.73084428,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_7,老天爷不绝我的后代根。,10512856.568057181,0.1
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,10518828.614564346,0.0
sdxp-DangNianHan-SanJiZhang.xml_2,未央宫斩的是何人？,10525627.412048467,0.1
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,10549219.809798947,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_3,为儿（喏）女我也曾补路修桥。,10575921.75491233,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_21,为何几日他不言。,10578259.275872845,0.0
lsxp-DaHeYi-SiLangTanMu.xml_12,我母佘氏老太君。,10578503.550155573,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_24,执宝剑将贼的（呀）头割下，,10583703.474737838,0.0
daxp-ChunQiuTing-SuoLinNang.xml_26,忙把梅香低声儿叫，,10584614.440499658,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_17,翻来覆去睡不（哇）安。,10602150.771830661,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,10602885.090310607,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,10607483.439915411,0.1
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,10626001.635002308,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,10631643.420261363,0.1
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,10647314.47829501,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,10647314.47829501,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,10656499.996065091,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,10660100.23585659,0.1
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,10670585.326043872,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,10671079.4365646,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,10675161.303402541,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_1,背转身自埋怨我自（呃）已做差。,10704125.076587535,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_1,背转身只埋怨我自（呃）己作差，,10704125.076587535,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,10704349.899813818,0.1
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,10705895.681136934,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_5,这才是花随水水不（哇）能恋（呐）花。,10720948.7457789,0.1
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,10732920.335007703,0.1
lseh-XuMaoGong-QinQiongFaPei.xml_1,文韬武略智谋高。,10739744.827949204,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_12,越思越想好伤惨，,10743304.227731835,0.0
sdxp-WoHeNi-SiLangTanMu.xml_9,我有心回宋营见母一面，,10768146.66141638,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,10770442.165312756,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,10782989.433332825,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,10806241.671638735,0.1
lseh-WeiGuoJia-HongYangDong-2.xml_2,官封到节度使（喏）皇王恩重，,10808333.218007686,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_4,先进咸阳为皇上，,10813142.506986577,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,10814644.33082689,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_2,怀王也曾把旨降，,10818139.236334268,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,10818462.823799739,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_3,缘何不救我出笼牢。,10821705.04736629,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,10827104.70624889,0.0
lseh-XiRiLi-BaoLianDeng.xml_14,打死了别家子父能作主，,10840232.568280565,0.0
lsxp-DaHeYi-SiLangTanMu.xml_19,本帅帐中用目睁，,10841284.074911091,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,10844732.754243715,0.0
lsxp-ZiGuDao-HuangHeLou.xml_3,二将军保架过长江。,10852411.069494726,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_2,在长安是你夸大话，,10882099.451685056,0.1
lseh-WeiGuoJia-HongYangDong-3.xml_2,官封到节度史（喏）皇王恩重，,10896173.040899234,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_1,胡言乱语怎瞒（呐）咱！,10902882.500771716,0.0
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,10903759.035011563,0.2
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,10914106.57854321,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,10914652.71678267,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,10914785.060550684,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,10917009.764271263,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_16,心中有事难合眼，,10917618.270469872,0.0
lsxp-DaHeYi-SiLangTanMu.xml_27,听罢言来才知情，,10953747.9331803,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,10967874.362979664,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,10988894.12466291,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,10991401.436085517,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,10995561.123806806,0.0
lsxp-DaHeYi-SiLangTanMu.xml_13,十五年前沙滩会，,10995569.34354346,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,10996704.098127754,0.1
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,10999843.079850763,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_18,寻短（呃）哎见爹娘（呃）。,11007608.975066159,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,11011662.680507168,0.0
lsxp-ZiGuDao-HuangHeLou.xml_1,主公不必加愁肠。,11020615.124796601,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,11021122.16812554,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,11024182.89056083,0.0
lsxp-DaHeYi-SiLangTanMu.xml_25,家住哪州并哪郡？,11027321.740344217,0.0
lsxp-ZiGuDao-HuangHeLou.xml_4,今日主公把宴上，,11054697.88273402,0.0
lsxp-DaHeYi-SiLangTanMu.xml_8,问我一言答一声。,11065236.699931715,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_9,来年必定降麒麟。,11067016.046608262,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_1,陈宫心中乱如麻。,11098137.652690088,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,11120668.673650485,0.0
lseh-YangYanZhao-PengBei.xml_4,我本当将此事对他来论，,11124958.007679714,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,11144701.062532952,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_2,为（呀）儿（啼）女我也曾朝山拜庙，,11148473.374988165,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,11158436.727628965,0.1
sdxp-SuLongWei-WuJiaPo.xml_11,好一个贞节王宝钏，,11166037.595851215,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_10,项羽不遵怀王约，,11166238.817152519,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,11185316.968945885,0.0
lseh-XiRiLi-BaoLianDeng.xml_4,那叔齐分长幼不能担任，,11187067.743919823,0.1
lseh-XinZhongYou-WenZhaoGuan.xml_9,不能（呃）哎见。,11188828.637631824,0.0
lsxp-ZheYiFeng-DingJunShan.xml_5,三通鼓刀出鞘四通（呃）鼓把兵交。,11190548.740462303,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,11198734.01057062,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,11204389.610352172,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,11211765.864346739,0.0
lseh-YangYanZhao-PengBei.xml_3,又只见老爹爹瞌睡沉沉。,11213475.245058369,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,11223358.581738826,0.0
sdxp-DangNianHan-SanJiZhang.xml_19,非是女儿言不逊，,11246350.264188282,0.1
sdxp-SuLongWei-WuJiaPo.xml_17,买绫罗与绸缎、打首饰和簪环，,11248810.685408527,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,11262754.285080492,0.0
sdxp-DangNianHan-SanJiZhang.xml_3,小奴才真个不孝顺，,11264338.821093274,0.1
sdxp-SuLongWei-WuJiaPo.xml_21,为军起下不良的意呀，,11280102.136848882,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_1,诬杀赵家一满门。,11300407.969420277,0.0
lsxp-JiangShenEr-SanJiaDian.xml_10,娘生儿连心肉，,11325549.401115114,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,11356865.532922242,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,11359872.685255004,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_11,不舍娇儿难救孤身。,11360608.945711557,0.0
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,11384301.304911193,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,11399562.46574425,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,11417008.336092124,0.2
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,11417116.25720505,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_0,心中有事难合眼，,11419150.25155433,0.0
sdxp-SuLongWei-WuJiaPo.xml_1,苏龙魏虎为媒证，,11420541.256765643,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,11424634.009768711,0.0
lseh-ZenNengGou-BaDaChui.xml_0,怎能够思一计番营来进，,11433558.391163182,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,11440156.998174908,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,11461251.123592177,0.0
daxp-ErTingDe-SuoLinNang.xml_24,忙把梅香低声叫，,11464586.18094653,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,11465022.909777928,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,11495217.154928857,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,11510825.014155073,0.0
sdxp-SuLongWei-WuJiaPo.xml_14,将银放在地平川。,11514049.854597742,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_0,我主爷起义在芒砀，,11536545.76451944,0.0
lseh-YangYanZhao-PengBei.xml_5,又恐怕惊动了年迈之人。,11540440.335540019,0.0
