年老得配女娇娃,11,年老得配女娇娃。
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,11852843.975383084,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,11881118.885908492,0.14285714285714285
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,11882661.07316811,0.0
lsxp-DaHeYi-SiLangTanMu.xml_14,失落番邦被贼擒。,11889013.09784878,0.0
lsxp-JiangShenEr-SanJiaDian.xml_3,二不是歹人（呐）把城偷。,11903642.152170137,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,11917073.791321099,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,11922803.313879369,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_1,陈宫心（呐）中乱如麻，,11931268.481387457,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,11936070.583978435,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,11956173.346713884,0.0
lsxp-DaHeYi-SiLangTanMu.xml_5,弟兄们分别十五春，,11961928.083814066,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,11970873.400659092,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,11972979.881273247,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,11989132.922217496,0.0
lsxp-DaHeYi-SiLangTanMu.xml_2,杨家将令鬼神惊。,11991093.63250962,0.0
sdxp-WoHeNi-SiLangTanMu.xml_18,将身跪在地平川。,11995700.057084665,0.0
sdxp-WoHeNi-SiLangTanMu.xml_8,我的娘押粮草来到北番。,11998568.49723607,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_2,背地里只把东皋公怨，,12003234.153184727,0.0
lsxp-ZouYingLong-DaYanSong.xml_1,在朝房来了我这保国忠。,12042351.552455185,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,12042805.364686958,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,12062569.010399437,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-2.xml_4,幸遇那东皋公行方便，,12064281.329491671,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,12065337.192468854,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_20,对天发下宏誓愿，,12068898.284615858,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,12077975.191619113,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,12083745.829515778,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,12099163.62933037,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,12110962.670304868,0.0
lsxp-DaHeYi-SiLangTanMu.xml_13,十五年前沙滩会，,12135703.910976643,0.14285714285714285
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,12136649.18999149,0.0
sdxp-SuLongWei-WuJiaPo.xml_16,送与大嫂把家安。,12158135.109271985,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_14,悔不该把家属一（呀）旦撇下，,12170099.834865768,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,12176459.768471308,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_11,鸡鸣犬吠五更（呃）天，,12193894.350423118,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_27,鸡鸣犬吠五更（哪）天，,12196631.679817714,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,12199286.176337874,0.14285714285714285
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,12199665.32994239,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,12234152.175995102,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,12239777.091457684,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-1.xml_20,若是真心来救我，,12271769.847830001,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_4,若是真心来救我，,12271769.847830001,0.0
sdxp-WoHeNi-SiLangTanMu.xml_14,见母一面即刻还。,12276841.085989637,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_3,耳听笙歌闹喧哗。,12287175.381676598,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,12292931.653335433,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,12314254.95836055,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,12317119.010178152,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,12322535.22230034,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,12329146.233984023,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,12337638.676078504,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_8,一家人倶丧在宝剑之（喏）下，,12337728.325796984,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_1,诬杀赵家一满门。,12362351.035123888,0.0
lsxp-JianMaSu-ZhanMaSu.xml_0,见马谡（唩）跪帐下，,12367187.010844583,0.0
lsxp-JiangShenEr-SanJiaDian.xml_15,叫一声解差把店役。,12369326.652390283,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,12380383.959259829,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_5,杀猪沽酒款待与他。,12380677.252980493,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,12392728.609191269,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,12400652.597988322,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,12403548.219323672,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,12405716.237907335,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,12429998.486214582,0.0
lseh-TanXiongDi-SangYuanJiZi.xml_3,见坟台不见人刀割我心。,12457398.721254202,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,12460769.672487976,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,12463114.352018658,0.14285714285714285
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,12469258.031353222,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,12484087.73528255,0.0
lsxp-QingGongYan-FaDongWu.xml_0,庆功宴上把酒饮，,12503989.7907421,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,12508125.299062783,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,12513572.276788674,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_2,为（呀）儿（啼）女我也曾朝山拜庙，,12519733.244993022,0.14285714285714285
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,12529727.909828987,0.0
lseh-XiRiLi-BaoLianDeng.xml_3,传口诏命次子即位为君，,12529882.83477075,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_15,悔不该弃县今抛却了乌（哇）纱，,12539982.155902045,0.0
sdxp-SuLongWei-WuJiaPo.xml_12,百般调戏也枉然。,12568048.289288616,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_17,汉室后来贼是个惹祸的根芽。,12573733.527359985,0.0
lseh-ZiNaRi-HongYangDong.xml_3,那乃是萧天佐以（呀）假成真；,12578054.41868028,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_9,我也曾约法定过三章。,12581101.406371327,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,12588181.398108633,0.0
sdxp-WoHeNi-SiLangTanMu.xml_9,我有心回宋营见母一面，,12614629.775094418,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,12628477.105292896,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,12642457.130643418,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,12660103.45943159,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,12664200.015064305,0.0
sdxp-SuLongWei-WuJiaPo.xml_6,为军的要人我是不要钱。,12676892.940621365,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,12677789.138785867,0.14285714285714285
lsxp-ZiGuDao-HuangHeLou.xml_2,曾记得当年赴河梁，,12697609.301979879,0.2857142857142857
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,12704331.915412499,0.0
lsxp-JiangShenEr-SanJiaDian.xml_13,娘想儿来泪双流。,12719773.83534851,0.0
lsxp-ZiGuDao-HuangHeLou.xml_1,主公不必加愁肠。,12733194.25690945,0.0
sdxp-SuLongWei-WuJiaPo.xml_19,是烈女就该在家院，,12748921.404589562,0.14285714285714285
lsxp-WoZhuYe-ZhuiHanXin.xml_11,反将我主贬汉王。,12796907.589879375,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,12801321.831845593,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,12834328.44461178,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,12834328.44461178,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,12838947.906432128,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,12840171.70375626,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,12852499.76332505,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,12854786.242998814,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,12855430.546753984,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,12857736.872717882,0.0
lsxp-JiangShenEr-SanJiaDian.xml_12,儿想娘亲难叩首，,12871683.375329737,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,12876717.625883665,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_4,左手拉住了李左车，,12891130.186495196,0.0
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,12895153.663717503,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,12898432.954790253,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_5,杀猪（喏）沽（哇）酒款待于他，,12905793.136372468,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_1,满朝中文武臣泪双流。,12920884.31115809,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_34,寻短（哪）哎见爹娘（兀）！,12934038.146113848,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_6,又谁知此贼的疑心（呐）太（呀）大，,12947173.674399232,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,12977588.135671552,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_0,屠贼做事心太狠，,12982736.212788697,0.0
lseh-ZiNaRi-HongYangDong.xml_4,二次（喏）里命孟良番营来进，,12988387.469954815,0.0
lsxp-DaHeYi-SiLangTanMu.xml_6,怎知今日回宋营。,12998572.636151278,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,13011805.736135444,0.0
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,13012266.299613165,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_0,张公道三十五六（哇）子有靠，,13013541.400839103,0.0
lsxp-WoBenShi-KongChengJi-2.xml_9,我面前却少个知（呃）音的人。,13028029.207074694,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,13033775.195668101,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_0,我主爷起义在芒砀，,13047982.724204082,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,13052946.155482396,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,13077172.374484105,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_7,大嫂说话礼不端，,13083332.046155717,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,13100324.750482595,0.0
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,13120849.466396363,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,13125946.341147324,0.0
lsxp-ZheYiFeng-DingJunShan.xml_3,大小儿郎听根苗，,13132760.810132546,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,13133916.635020286,0.0
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,13134184.340891615,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,13151071.660624024,0.0
sdxp-SuLongWei-WuJiaPo.xml_8,为军哪怕到官前。,13184017.686230173,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,13190857.778465243,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,13195677.587843124,0.0
sdxp-WoHeNi-SiLangTanMu.xml_7,萧天佐摆天门两国交战，,13201451.848329686,0.0
lseh-XiRiLi-BaoLianDeng.xml_6,弟让兄来兄不能应（呐）允，,13221214.78739267,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,13232461.030736726,0.14285714285714285
lsxp-YiShiWu-YuCangJian.xml_7,我与奸贼不共戴天！,13233907.50852334,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,13261116.187588062,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_5,老娘亲再讲情儿自刎头来。,13263101.308633342,0.14285714285714285
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,13263650.117559023,0.0
lseh-ZiNaRi-HongYangDong.xml_5,又谁知焦克明他私（呀）自后跟（呐），,13266580.149891645,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_11,我好比龙游在浅沙滩。,13275091.701423509,0.0
lsxp-JianMaSu-ZhanMaSu.xml_2,大胆不听我的话，,13280089.253360663,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_4,山高路远少来问候，,13290706.008468388,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_8,一路上秋毫无犯军威壮，,13292292.437973298,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,13292334.562263167,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,13295004.193349333,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,13300170.395868894,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,13316113.638889581,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_4,左手拉住了李左车，,13332464.699707469,0.0
lsxp-DaHeYi-SiLangTanMu.xml_30,自己骨肉认不清。,13336669.500871126,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,13351410.760611555,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,13351723.364165312,0.14285714285714285
lsxp-JiangShenEr-SanJiaDian.xml_8,实难舍街坊四邻与我的好朋友，,13361219.044177655,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,13397051.870706579,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_1,父纳子（呃）妻礼难容，,13417949.068437155,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,13419287.562183948,0.14285714285714285
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,13426745.125085555,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,13441000.216713302,0.0
lsxp-DaHeYi-SiLangTanMu.xml_4,上面（哪）坐的同胞人。,13459503.556028066,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,13470974.419680053,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,13470998.393943768,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,13485790.775436468,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,13502459.847843613,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_12,我好（呃）比鱼儿吞了钩线，,13525202.415246066,0.0
lseh-XiRiLi-BaoLianDeng.xml_13,二娇儿也难比那两个贤人。,13526052.17723463,0.14285714285714285
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,13546000.032276329,0.0
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,13551055.557701895,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,13558983.416695613,0.0
lsxp-ZheYiFeng-DingJunShan.xml_7,退后的项上吃一刀。,13569039.786650404,0.0
lsxp-QingGongYan-FaDongWu.xml_2,弟兄们创业多艰难，,13591260.788783705,0.0
lsxp-ZiGuDao-HuangHeLou.xml_4,今日主公把宴上，,13599094.1453653,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,13600041.999312723,0.14285714285714285
lsxp-JiangShenEr-SanJiaDian.xml_4,杨林与我来争斗，,13610862.466013135,0.0
lseh-XiRiLi-BaoLianDeng.xml_10,首阳山前冻饿死（喏）。,13652636.19606015,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_20,贼好比蛟龙未生鳞甲，,13658611.980237357,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,13662415.863874435,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,13683756.351264887,0.0
lsxp-DaHeYi-SiLangTanMu.xml_28,原来四哥回宋营。,13697875.226959359,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,13700737.005362887,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,13709690.616877541,0.14285714285714285
lsxp-DaHeYi-SiLangTanMu.xml_12,我母佘氏老太君。,13720919.781680524,0.14285714285714285
lseh-WeiKaiYan-RangXuZhou.xml_2,二犬子（呃）皆年幼（哇）难当（呃）重任，,13722555.63792585,0.14285714285714285
lsxp-ZheYiFeng-DingJunShan.xml_8,三军与（呀）爷归营号，,13728135.90986896,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,13728867.132057803,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_0,为国家那何曾半日闲空，,13751574.682983065,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,13763281.911851564,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,13787398.587289179,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,13787398.587289179,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,13802671.86675917,0.0
lsxp-JiangShenEr-SanJiaDian.xml_14,眼见得红日坠落在西山后，,13804935.968150109,0.14285714285714285
lsxp-WoZhuYe-ZhuiHanXin.xml_1,拔剑斩蛇天下扬。,13819543.712715011,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_9,年迈的老丈命（呐）染黄沙。,13821411.770127267,0.2857142857142857
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,13829729.557907902,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,13871283.668882878,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_12,我好（哇）比鱼儿吞了钩线，,13875468.750856798,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,13892767.892947683,0.14285714285714285
lsxp-WoBenShi-KongChengJi-1.xml_9,我面前缺少个知呃音的人。,13894250.975055901,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,13949426.031843057,0.14285714285714285
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,13964708.971994273,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_25,不能（哪）哎见爹娘（兀）！,13973408.468802445,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,13974706.40708773,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,13989789.581301183,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,13996473.60994639,0.0
lsxp-ZouYingLong-DaYanSong.xml_3,偶遇见小小的顽童放悲声，,14002574.322036779,0.0
lsxp-DaHeYi-SiLangTanMu.xml_26,要见本帅为何情？,14013849.072378404,0.0
sdxp-WoHeNi-SiLangTanMu.xml_1,我和你好夫妻恩德不浅，,14026966.23299149,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_1,翻来复去睡不安。,14039804.874798229,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_9,年迈的老丈命（呐）染黄沙。,14054336.440204972,0.2857142857142857
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,14056578.576690096,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,14063950.79792739,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_13,我好（哇）比波浪中失舵的舟船（哪）。,14104910.45572288,0.0
lseh-XiRiLi-BaoLianDeng.xml_15,打死个秦官保父不能担承。,14143436.585505921,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,14156671.435194518,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,14163018.546810964,0.14285714285714285
lseh-YiLunMing-ZhuoFangCao-2.xml_3,悔不该随他人到吕家。,14189499.240440553,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,14195764.402243031,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_13,我好（呃）比波浪中失舵的舟船（喏）。,14204307.871323247,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_3,悔不该随他人到吕家，,14206893.995172262,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,14217728.701063199,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,14227295.098182611,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_10,项羽不遵怀王约，,14229225.737918884,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,14265471.577149384,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_15,到如今夜宿在荒村院，,14288242.515216487,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_31,到如今夜宿在荒村院，,14288242.515216487,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,14288699.84460358,0.0
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,14289875.989728374,0.0
lsxp-ZheYiFeng-DingJunShan.xml_0,这一封（呃）书信来得巧，,14345729.380120626,0.14285714285714285
lsxp-ZheYiFeng-DingJunShan.xml_1,天助黄忠成功劳。,14353180.662511969,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,14406396.726880163,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,14415767.999940371,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,14446759.65710076,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,14449179.568720527,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_12,今日里萧何荐良将，,14451379.728868801,0.0
lsxp-DaHeYi-SiLangTanMu.xml_11,我父令公官极品，,14467868.406024614,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_2,管带三（呐）军要宽厚，,14493457.577520251,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,14496578.997083014,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,14506776.80062931,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,14507160.206746187,0.0
lseh-YangYanZhao-PengBei.xml_4,我本当将此事对他来论，,14535850.890904654,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,14574839.938737826,0.0
sdxp-WoHeNi-SiLangTanMu.xml_2,贤公主又何必过于谦言。,14582623.628402961,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_18,寻短（呃）哎见爹娘（呃）。,14632647.082305467,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_18,观此贼睡卧真（呐）潇洒，,14641162.212756574,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,14648426.224872187,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_0,为国家哪何曾半日闲空，,14650994.356180103,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_1,各为其（呀）主统貔貅。,14655776.521391008,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,14682458.897952244,0.0
sdxp-SuLongWei-WuJiaPo.xml_14,将银放在地平川。,14720494.892150998,0.0
lsxp-YiShiWu-YuCangJian.xml_0,一事无成两鬓斑，,14729685.668622732,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,14756062.132128306,0.0
sdxp-SuLongWei-WuJiaPo.xml_5,西凉川四十单八站，,14770383.467891792,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,14773093.598238643,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-2.xml_10,我好（呃）比哀哀长空雁，,14794839.62263843,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,14822346.255513258,0.0
lsxp-WeiCengKai-QiYuanBao.xml_4,奉母命京城往，,14847829.691642893,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,14852074.88205048,0.0
lseh-ZiNaRi-HongYangDong.xml_9,因此上臣的病重（呃）加十分、千岁爷呀！,14857773.219810337,0.0
sdxp-DangNianHan-SanJiZhang.xml_5,我的儿说话言不逊，,14885243.612478152,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_5,杀猪（喏）沽酒款待与他，,14893443.550495006,0.0
