官封到武乡侯执掌帅印,0,官封到武乡侯哇执掌帅印，
sdxp-SuLongWei-WuJiaPo.xml_18,我与你露水的夫妻就过几年（呐）。,11829011.443920776,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_11,反将我主贬汉王。,11854259.892410155,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,11866015.696837757,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,11908693.985830829,0.1
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,11938080.744160831,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_6,这时候我只得暂且忍耐在心下，,11946285.358481228,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,11965750.865815645,0.1
lseh-ZiNaRi-HongYangDong.xml_1,三更时梦（呃）见（呐）了年迈爹尊（呐）。,11972841.19608267,0.0
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,11974667.383372456,0.0
lseh-LaoZhangBu-WuPenJi.xml_6,我和你远无冤近无有仇恨，,11976902.976876622,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_3,却原（呐）来贼是个无（哇）义（呀）的冤家！,11978490.244254803,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_3,却愿（呐）来贼是个无（哇）义（呀）的冤家！,11978490.244254803,0.0
lseh-ZiNaRi-HongYangDong.xml_9,因此上臣的病重（呃）加十分、千岁爷呀！,11999281.26666966,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,12002769.328697193,0.0
lsxp-QingGongYan-FaDongWu.xml_1,想起桃园结拜情。,12007441.541198635,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,12016765.49924017,0.1
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,12091630.232472206,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_2,实指（惹）望到吴国借兵回转，,12143730.202136593,0.1
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,12147233.49668608,0.1
lsxp-TingTaYan-ZhuoFangCao-1.xml_6,这时候我只得暂且忍耐在心下，,12147435.331472559,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,12147867.319548046,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_4,马行在来道内我难（呐）以回（呀）马，,12150057.657950517,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_4,马行在来道内我难（呐）以回（呀）马，,12150057.657950517,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_0,屠贼做事心太狠，,12168437.618822634,0.0
lsxp-ZheYiFeng-DingJunShan.xml_7,退后的项上吃一刀。,12193447.366295096,0.0
lsxp-DaHeYi-SiLangTanMu.xml_30,自己骨肉认不清。,12258937.879709098,0.0
lsxp-DaHeYi-SiLangTanMu.xml_9,家住后山磁州郡，,12265092.06935891,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_1,拔剑斩蛇天下扬。,12297739.324181397,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,12314589.731533105,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,12317166.198499253,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,12317523.928715358,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,12342154.884885136,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,12370386.195714144,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,12416900.593653083,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,12450440.261548165,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,12462482.6343814,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,12495501.035064831,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,12498333.103190668,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,12499690.613862867,0.0
lsxp-JiangShenEr-SanJiaDian.xml_5,因此上发配到登州。,12504172.033973206,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,12526685.648892188,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_1,年老得配女娇娃。,12575237.266485486,0.0
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,12639660.265994221,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_13,我好（呃）比波浪中失舵的舟船（喏）。,12645749.670629168,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,12664422.99973451,0.0
sdxp-DangNianHan-SanJiZhang.xml_15,未央宫斩的是韩信，,12677408.026680667,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,12685414.233868588,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,12698228.505758611,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,12739913.613036308,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,12858913.183722341,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_11,鸡鸣犬吠五更（呃）天，,12880561.38013983,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_27,鸡鸣犬吠五更（哪）天，,12891518.130667321,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,12936015.3733646,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,12936015.3733646,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_1,各为其主统貔貅，,12938550.735187693,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,12944313.507069262,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,12952527.735789988,0.0
lsxp-ZheYiFeng-DingJunShan.xml_5,三通鼓刀出鞘四通（呃）鼓把兵交。,12988065.695442226,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,13009126.154329272,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,13009152.951599468,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_13,我好（哇）比波浪中失舵的舟船（哪）。,13018425.04648463,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,13018837.855123691,0.0
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,13035072.867065854,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,13039990.371773375,0.1
lsxp-ZheYiFeng-DingJunShan.xml_2,站立在营门三军叫，,13052781.615177378,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,13064340.208255682,0.0
sdxp-DangNianHan-SanJiZhang.xml_7,要退、要退、偏要退！,13084933.903479408,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_14,思来想去我的肝肠断，,13091663.522773748,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_5,右手再把栾布拉，,13095641.710752336,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_4,山高路远少来问候，,13122073.851568563,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,13124992.046290789,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,13130469.793364434,0.0
lsxp-YiShiWu-YuCangJian.xml_5,信用无极狗奸谗。,13171689.623473499,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,13252547.708269248,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,13257815.59288321,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,13273124.58312433,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,13291607.881896125,0.1
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,13303542.207479924,0.1
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,13315360.159741584,0.1
lsxp-DaHeYi-SiLangTanMu.xml_26,要见本帅为何情？,13337689.029267645,0.1
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,13371012.336550586,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,13379723.293750066,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,13393215.494394168,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,13398157.22260542,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,13432933.651816655,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,13465260.30611765,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_7,老天爷不绝我的后代根。,13475125.173846513,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,13480036.615460375,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,13480686.63668473,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,13480686.63668473,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,13530681.149252526,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_2,实指望到吴国借兵回转，,13539715.39989758,0.1
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,13563411.279488813,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_2,为千岁懒把朝房走，,13564821.013953991,0.0
sdxp-WoHeNi-SiLangTanMu.xml_18,将身跪在地平川。,13565650.150521418,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_9,不能（呃）哎见。,13571712.080393765,0.0
daxp-XiShiNv-XiShi.xml_3,每日里浣纱去又傍清溪。,13582672.957837267,0.0
lsxp-YiShiWu-YuCangJian.xml_1,叹光明一去不回还（呐）；,13587246.557345295,0.0
lsxp-ZheYiFeng-DingJunShan.xml_9,到明天午时三刻要成功劳。,13589846.010041434,0.1
lsxp-YiShiWu-YuCangJian.xml_0,一事无成两鬓斑，,13609651.486859927,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,13612449.67017936,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,13627902.202457856,0.1
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,13635872.286346467,0.0
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,13650360.908389578,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,13659777.768440943,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,13663412.193568505,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,13674274.041817842,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_3,为什么事到如今耍奸滑。,13681106.217845485,0.1
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,13698104.972324487,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,13754630.976365916,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,13754635.508441595,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,13759318.649243252,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,13776025.715415346,0.0
lseh-YangYanZhao-PengBei.xml_4,我本当将此事对他来论，,13777964.854088439,0.0
lseh-ZenNengGou-BaDaChui.xml_2,前也思（喏）后又想无有计定，,13811039.462952748,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,13811733.501190042,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,13842422.28003277,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_1,请先生到江边即刻登舟。,13843150.261371396,0.1
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,13893218.113744246,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,13899038.060218528,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,13919540.120340813,0.1
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,13941147.394807663,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,14014876.560443787,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,14039008.451922523,0.0
sdxp-DangNianHan-SanJiZhang.xml_5,我的儿说话言不逊，,14039485.727353165,0.0
lsxp-DaHeYi-SiLangTanMu.xml_24,你是番邦什么人？,14040551.563359743,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_11,自有那神灵（啊）天地鉴察。,14043130.661700899,0.0
lseh-ZiNaRi-HongYangDong.xml_2,我前番命孟良骸骨搬（呐）请，,14046848.800731072,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,14074127.340321781,0.0
lseh-JinZhongXiang-ShangTianTai.xml_2,文凭着邓先生策划有准，,14081009.905291209,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_6,三人同把那鬼门关上爬，,14096170.701688187,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,14100976.85261799,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,14118694.867107738,0.0
sdxp-DangNianHan-SanJiZhang.xml_2,未央宫斩的是何人？,14158643.465754766,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_0,听他言听得我心（呐）惊胆怕，,14173421.915750042,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_0,听他言吓得我心（呐）惊胆怕，,14173421.915750042,0.0
sdxp-SuLongWei-WuJiaPo.xml_9,衙里衙外我打点，,14183059.709460268,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,14203478.569361951,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,14213644.723682392,0.0
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,14216184.800970765,0.1
lseh-XuMaoGong-QinQiongFaPei.xml_1,文韬武略智谋高。,14217989.576885011,0.1
lsxp-ZhangGongDao-ZhuangYuanPu.xml_2,为（呀）儿（啼）女我也曾朝山拜庙，,14222780.755179388,0.0
lsxp-ZouYingLong-DaYanSong.xml_13,在品级台（呀）前臣见君。,14228023.119258406,0.0
lsxp-DaHeYi-SiLangTanMu.xml_6,怎知今日回宋营。,14240267.429379515,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,14243740.189040342,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,14282116.368731216,0.0
daxp-DiTouLi-NvQiJie.xml_0,低头离了洪洞县，,14294814.797714727,0.0
lsxp-DaHeYi-SiLangTanMu.xml_17,弟兄对坐叙寒温。,14333211.395437337,0.0
lsxp-ZheYiFeng-DingJunShan.xml_8,三军与（呀）爷归营号，,14349834.760561598,0.0
lseh-XiRiLi-BaoLianDeng.xml_13,二娇儿也难比那两个贤人。,14351810.951606197,0.0
lsxp-ZiGuDao-HuangHeLou.xml_4,今日主公把宴上，,14391043.796084704,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,14415929.525909841,0.1
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,14420985.225981232,0.0
lsxp-ZiGuDao-HuangHeLou.xml_0,自古道吉人有天相，,14448174.76833283,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,14512467.860505156,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,14514085.649196923,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,14536843.256992592,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,14544885.553128826,0.0
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,14547316.777837984,0.0
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,14547316.777837984,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,14561380.46243645,0.1
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,14579944.858438013,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,14580162.355331132,0.0
sdxp-WoHeNi-SiLangTanMu.xml_17,公主叫我盟誓愿，,14597020.988842653,0.0
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,14598151.793205822,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,14618682.087345157,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,14623418.455185007,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,14646823.804877529,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,14685604.62478635,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_0,张公道三十五六（哇）子有靠，,14732658.77757108,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_1,翻来复去睡不安。,14734620.772866853,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,14741780.581813179,0.1
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,14765954.98827146,0.0
sdxp-WoHeNi-SiLangTanMu.xml_5,非是我这几日愁眉不展，,14802537.112170175,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,14805872.218748327,0.0
lsxp-WoBenShi-KongChengJi-2.xml_0,我本是卧龙岗散淡（呐）的人，,14838254.672121475,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,14838261.117858352,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,14858519.946913196,0.0
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,14880710.991670785,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,14891791.894613951,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,14913830.655728394,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_13,想当初在朝为官宦，,14924948.824403392,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_29,想当初在朝为官宦，,14924948.824403392,0.1
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,14981566.481712185,0.0
sdxp-WoHeNi-SiLangTanMu.xml_1,我和你好夫妻恩德不浅，,15045996.86004171,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,15046501.131030058,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_0,此时间不可闹笑话，,15050749.134778231,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,15054672.540936843,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,15076688.910411265,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,15082623.962606411,0.0
sdxp-DangNianHan-SanJiZhang.xml_1,登台拜帅是韩信，,15089756.22337796,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,15100674.736584676,0.0
lsxp-DaHeYi-SiLangTanMu.xml_12,我母佘氏老太君。,15116541.75754011,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,15120242.467334729,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,15142462.265964711,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,15169561.397525962,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_5,眼睁（呐）睁有何人去（呀）把纸烧。,15189454.245202733,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_0,我主爷起义在芒砀，,15205375.021919359,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,15216888.37495835,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,15220138.622635772,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,15276757.907178503,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_17,翻来覆去睡不（哇）安。,15288170.028822815,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_17,汉室后来贼是个惹祸的根芽。,15326928.412326984,0.0
sdxp-WoHeNi-SiLangTanMu.xml_14,见母一面即刻还。,15326971.594562057,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,15347694.548257178,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,15385948.718832685,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,15386256.036178332,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,15386453.325665347,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,15406572.655110493,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,15416184.955986472,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,15426608.741959242,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,15457534.045290865,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_4,此一番领（呃）兵去镇守，,15462734.240555549,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_16,我冷冷清清向谁言（呃）。,15470351.254748087,0.0
lseh-ZiNaRi-HongYangDong.xml_7,去了我左右膀难以飞行。,15476909.805044258,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,15484269.275653528,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_3,为什么事到如今耍奸滑？,15578220.598547533,0.1
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,15622932.018792722,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_11,自有那神灵儿天地鉴察。,15630147.585166471,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_2,父道那薛平贵是那化郎模样，,15631377.306555975,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,15673595.918173358,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_3,满门的家着血染红。,15704001.566699931,0.0
lseh-WeiKaiYan-RangXuZhou.xml_5,救生灵（呐）积阴（呐）功也免得我坐卧不宁。,15714050.600097947,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_32,我冷冷清清向谁言（哪）。,15725960.367323577,0.0
sdxp-SuLongWei-WuJiaPo.xml_14,将银放在地平川。,15749190.80355028,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,15764464.876338875,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_3,悔不该随他人到吕家。,15768043.362157442,0.1
lsxp-QingGongYan-FaDongWu.xml_3,又谁知中途两离分。,15768935.036780495,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_1,各为其（呀）主统貔貅。,15772229.498020837,0.0
lsxp-DaHeYi-SiLangTanMu.xml_14,失落番邦被贼擒。,15788139.099692326,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_1,父纳子（呃）妻礼难容，,15806109.758041672,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,15811862.263799153,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,15824924.06654238,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,15858243.144671923,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,15866577.521732396,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_4,先进咸阳为皇上，,15888621.844222521,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_14,悔不该把家属一（呀）旦撇下，,15892702.039328936,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,15919794.436090866,0.0
lsxp-DaHeYi-SiLangTanMu.xml_27,听罢言来才知情，,15990684.806090472,0.0
sdxp-WoHeNi-SiLangTanMu.xml_7,萧天佐摆天门两国交战，,15999838.310763283,0.0
lseh-JinZhongXiang-ShangTianTai.xml_1,寡人喜的是五谷丰登。,16007262.201987818,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,16013779.372877698,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_14,思来想去我的肝肠断，,16045813.228230175,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_3,谁知昭关有阻拦。,16054605.329195317,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,16080404.122397542,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,16102469.210403297,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,16108421.241958935,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,16157216.017546782,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,16213414.065789549,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_2,管带三（呐）军要宽厚，,16293106.722117662,0.0
sdxp-WoHeNi-SiLangTanMu.xml_15,宋营（哪）虽然路途远，,16298076.78087305,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,16298174.460008362,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_6,舍子搭救忠（呃）良的后，,16306663.979513254,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,16324196.938981567,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,16357162.96300017,0.2
lsxp-ZuoRiLi-YuanMenZhanZi.xml_2,今日里斩宗保娘把儿怪，,16366756.869148985,0.0
lsxp-JianMaSu-ZhanMaSu.xml_1,不由老夫咬钢牙，,16375893.201599931,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_11,我好比龙游在浅沙滩。,16392996.154217573,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,16414084.383471036,0.0
lsxp-YiShiWu-YuCangJian.xml_7,我与奸贼不共戴天！,16447843.947711922,0.0
