我本是卧龙岗散淡的人,0,我本是卧龙岗散淡（呐）的人，
lsxp-CiShiJian-HuaiHeYing-2.xml_0,此时间不可闹笑话，,9038004.04991414,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,9045453.564493094,0.1
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,9075336.295370553,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,9086484.55620854,0.1
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,9100840.539244195,0.1
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,9119704.323425055,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_3,耳听笙歌闹喧哗。,9133317.878297862,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,9145516.453586223,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,9145729.289632795,0.0
sdxp-WoHeNi-SiLangTanMu.xml_10,怎奈我身在番难以过关。,9157024.029702852,0.1
lsxp-JiangShenEr-SanJiaDian.xml_3,二不是歹人（呐）把城偷。,9171866.460133791,0.2
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,9196396.443000399,0.1
lsxp-ZiGuDao-HuangHeLou.xml_0,自古道吉人有天相，,9200103.391397456,0.1
lsxp-DaHeYi-SiLangTanMu.xml_28,原来四哥回宋营。,9202666.063568806,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,9204283.112675698,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,9223105.267902326,0.0
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,9226918.53424483,0.1
lseh-YiLunMing-ZhuoFangCao-1.xml_24,执宝剑将贼的（呀）头割下，,9227795.486493755,0.1
lsxp-WoZhuYe-ZhuiHanXin.xml_4,先进咸阳为皇上，,9233563.35185687,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_5,右手再把栾布拉，,9238019.139469493,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,9271262.492752073,0.1
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,9279943.242918959,0.2
sdxp-WoHeNi-SiLangTanMu.xml_7,萧天佐摆天门两国交战，,9284120.62101886,0.0
lseh-ZiNaRi-HongYangDong.xml_3,那乃是萧天佐以（呀）假成真；,9296468.325708756,0.1
lseh-YiLunMing-ZhuoFangCao-1.xml_11,自有那神灵（啊）天地鉴察。,9296716.320307413,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,9299291.204553494,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_1,陈宫心中乱如麻。,9300076.817612607,0.0
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,9314139.493396726,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,9323402.55866703,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,9324167.967645368,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,9339673.993283149,0.1
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,9355231.30701381,0.0
lsxp-DaHeYi-SiLangTanMu.xml_9,家住后山磁州郡，,9386622.331920378,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,9395734.848601379,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,9397720.832817713,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,9405106.612347627,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_1,陈宫心（呐）中乱如麻，,9409069.854838206,0.0
lsxp-ZheYiFeng-DingJunShan.xml_8,三军与（呀）爷归营号，,9413637.700574841,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,9420155.714972189,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,9420859.59347681,0.1
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,9423841.317850715,0.2
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,9425461.88188012,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,9437682.857818937,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,9464820.976814138,0.0
lsxp-ZiGuDao-HuangHeLou.xml_1,主公不必加愁肠。,9472771.666528182,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,9484426.739336759,0.2
lseh-NiangZiBu-SouGuJiuGu.xml_5,他舍命来你我舍亲生。,9490006.63101069,0.1
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,9490714.61646974,0.0
sdxp-WoHeNi-SiLangTanMu.xml_15,宋营（哪）虽然路途远，,9495663.534869337,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,9501051.219451373,0.1
lsxp-ZouYingLong-DaYanSong.xml_1,在朝房来了我这保国忠。,9511800.896648608,0.1
sdxp-SuLongWei-WuJiaPo.xml_9,衙里衙外我打点，,9521537.912872326,0.1
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,9528102.650178691,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,9529664.627044758,0.0
lsxp-DaHeYi-SiLangTanMu.xml_10,火堪寨上有家门。,9543513.168706506,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,9547127.78905725,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_4,马行在来道内我难（呐）以回（呀）马，,9575710.908782342,0.1
lsxp-TingTaYan-ZhuoFangCao-1.xml_4,马行在来道内我难（呐）以回（呀）马，,9575710.908782342,0.1
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,9585239.435246337,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,9613758.784939794,0.1
lseh-WeiKaiYan-RangXuZhou.xml_1,天卸重任我就要（哇）你担承。,9620431.266964102,0.1
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,9635669.780793155,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,9646402.97544351,0.0
lseh-WeiKaiYan-RangXuZhou.xml_2,二犬子（呃）皆年幼（哇）难当（呃）重任，,9647098.082261402,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_4,山高路远少来问候，,9656474.265456889,0.0
lsxp-WeiCengKai-QiYuanBao.xml_2,家住在南阳太平庄，,9663414.430498373,0.0
lsxp-ZiGuDao-HuangHeLou.xml_3,二将军保架过长江。,9672482.310312878,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,9682432.75241163,0.2
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,9685464.396076718,0.1
sdxp-SuLongWei-WuJiaPo.xml_14,将银放在地平川。,9689682.556522636,0.0
lseh-ZiNaRi-HongYangDong.xml_8,为此事终（啊）日里忧成疾病，,9702570.187250275,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,9708836.845769621,0.1
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,9751209.431431415,0.1
lseh-WeiGuoJia-HongYangDong-3.xml_2,官封到节度史（喏）皇王恩重，,9753531.502328964,0.0
lseh-TanXiongDi-SangYuanJiZi.xml_0,叹兄兀弟遭不幸一旦丧命，,9765355.631597033,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,9768476.687491145,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,9769068.489065198,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_19,父母的冤仇化尘烟，,9777677.380955165,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,9780160.64536161,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,9780950.877606662,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,9780950.877606662,0.1
sdxp-SuLongWei-WuJiaPo.xml_3,他三人与我有仇恨，,9807966.988652468,0.2
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,9824702.789733201,0.0
lseh-LaoZhangBu-WuPenJi.xml_5,抓一（呀）把沙土扬灰尘。,9841630.792119488,0.0
lsxp-DaHeYi-SiLangTanMu.xml_11,我父令公官极品，,9850286.241631662,0.1
lsxp-ZiGuDao-HuangHeLou.xml_2,曾记得当年赴河梁，,9872785.875624577,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_2,朝欢暮乐无牵挂，,9878949.84295962,0.0
sdxp-SuLongWei-WuJiaPo.xml_1,苏龙魏虎为媒证，,9894671.290514762,0.1
lsxp-WeiCengKai-QiYuanBao.xml_9,望求太爷与我作主张（啊）。,9895826.624910137,0.1
lseh-XinZhongYou-WenZhaoGuan.xml_2,背地里只把东皋公怨，,9900827.263716212,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,9908039.401676437,0.1
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,9912876.27405147,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_3,赏罚中公（呃）平莫要自由。,9919046.439215528,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,9922568.474554596,0.4
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,9923788.39122064,0.0
lseh-JinZhongXiang-ShangTianTai.xml_2,文凭着邓先生策划有准，,9951796.350950506,0.0
sdxp-SuLongWei-WuJiaPo.xml_6,为军的要人我是不要钱。,9959031.583160242,0.4
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,9961022.486653717,0.1
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,9964064.969699362,0.1
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,9976456.817654798,0.1
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,9978129.03099507,0.1
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,9979030.60611693,0.0
lsxp-ZouYingLong-DaYanSong.xml_11,我本当金（哪）殿奏一本怎奈我官卑职小不能够参大臣。,9985459.113876313,0.2
lsxp-ZouYingLong-DaYanSong.xml_8,上面坐的是有道君，,9993328.407894889,0.2
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,10000184.602352608,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,10014043.38405829,0.0
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,10022008.827663533,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,10023689.847613625,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_16,心中有事难合眼，,10031111.996110536,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,10039427.16920915,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_20,若是真心来救我，,10041797.624769289,0.2
lseh-XinZhongYou-WenZhaoGuan.xml_4,若是真心来救我，,10041797.624769289,0.2
lsxp-QingGongYan-FaDongWu.xml_2,弟兄们创业多艰难，,10045117.234393312,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,10050932.686910124,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_3,赏罚中公（呃）平莫要自由。,10058059.240174782,0.0
lsxp-JiangShenEr-SanJiaDian.xml_2,一不是响马与贼寇，,10059759.099457968,0.1
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,10062266.530979197,0.0
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,10072119.739910347,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,10076970.38992811,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_6,三人同把那鬼门关上踏，,10078894.649543729,0.1
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,10102857.267687932,0.1
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,10109464.801904837,0.0
lseh-XiRiLi-BaoLianDeng.xml_13,二娇儿也难比那两个贤人。,10131459.845472643,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_35,父母的冤仇化尘烟，,10137608.60539059,0.1
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,10146423.766859945,0.2
sdxp-SuLongWei-WuJiaPo.xml_5,西凉川四十单八站，,10149903.684382541,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_1,陈伯愚年半百无有后苗。,10149965.438485842,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_2,官封到节度使（喏）皇王恩重，,10156999.002886571,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,10170622.000533255,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_18,寻短（呃）哎见爹娘（呃）。,10193189.050543936,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,10210286.918761672,0.0
lsxp-DaHeYi-SiLangTanMu.xml_17,弟兄对坐叙寒温。,10215389.306993276,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_0,心中有事难合眼，,10216176.531466713,0.0
lseh-XiRiLi-BaoLianDeng.xml_1,伯夷叔齐二大贤人，,10225073.185286388,0.1
lsxp-ZuoRiLi-YuanMenZhanZi.xml_4,叫焦赞将宝剑悬挂帐外，,10275243.238054626,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,10281970.448803784,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_2,官封到节度使（喏）皇王恩重，,10282241.637877826,0.0
lsxp-DaHeYi-SiLangTanMu.xml_12,我母佘氏老太君。,10285993.546817021,0.1
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,10289764.781355448,0.0
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,10293114.853021793,0.2
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,10300674.542789139,0.1
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,10310085.114065344,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,10333701.492667602,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,10343543.538087746,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_0,为国家哪何曾半日闲空，,10352671.296229195,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,10359341.906360194,0.0
lseh-TanXiongDi-SangYuanJiZi.xml_2,眼望着孤坟台珠泪难忍，,10364745.124211023,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,10370891.66752665,0.1
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,10382285.695746407,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,10401621.166770428,0.0
lsxp-JiangShenEr-SanJiaDian.xml_5,因此上发配到登州。,10403092.661712078,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_3,悔不该随他人到吕家。,10420596.762659289,0.1
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,10426463.45298448,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_34,寻短（哪）哎见爹娘（兀）！,10429434.042542469,0.0
sdxp-SuLongWei-WuJiaPo.xml_4,咬定牙关他就不认承。,10440676.243032496,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_2,为千岁懒把朝房走，,10453667.907239715,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,10455727.82419132,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_22,虎在笼中我不打，,10458264.735422084,0.1
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,10472810.759721482,0.1
lseh-JinZhongXiang-ShangTianTai.xml_3,武仗着姚皇兄保定乾坤。,10496083.034583166,0.0
sdxp-DangNianHan-SanJiZhang.xml_4,仙女嫁的又是何人？,10507172.101902341,0.3
lsxp-ZouYingLong-DaYanSong.xml_9,那一旁坐的就是严阁老，,10519647.555979466,0.2
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,10525142.530565316,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,10530151.146562357,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,10540957.93487594,0.2
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,10545488.288613603,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_3,悔不该随他人到吕家，,10561385.956464183,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,10567087.689916782,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,10573237.373525638,0.0
lseh-LaoZhangBu-WuPenJi.xml_4,我忙将树（呃）枝摆摇（哇）动，,10578102.816641245,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,10583759.82711793,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_0,恨平王无道乱楚宫（兀），,10589843.611533837,0.0
sdxp-DangNianHan-SanJiZhang.xml_7,要退、要退、偏要退！,10598319.78831894,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_36,对天发不宏誓愿，,10600636.850221952,0.0
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,10606819.24992325,0.1
lseh-XinZhongYou-WenZhaoGuan.xml_20,对天发下宏誓愿，,10612945.114316098,0.0
lsxp-YiShiWu-YuCangJian.xml_4,恨平王无道纲常乱，,10625147.247183153,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,10625269.642319484,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_1,文韬武略智谋高。,10635216.422877114,0.0
lsxp-DaHeYi-SiLangTanMu.xml_27,听罢言来才知情，,10652298.54464076,0.0
lsxp-WoBenShi-KongChengJi-1.xml_5,东西战南北剿博古通呃今。,10670382.99166631,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_17,翻来覆去睡不（哇）安。,10687377.61278078,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,10698507.683411678,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,10703207.59816222,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,10709082.350885468,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,10713891.406245025,0.1
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,10730541.903168932,0.0
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,10753226.20967939,0.1
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,10764913.29919888,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,10802281.212897781,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,10822436.488046924,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_21,我不杀平王我的心怎甘。,10824451.258842051,0.2
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,10825667.74551832,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_10,屈死的冤鬼魂休要怨咱，,10828726.90932013,0.1
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,10854290.413020793,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,10855203.866559044,0.0
lsxp-JiangShenEr-SanJiaDian.xml_15,叫一声解差把店役。,10857553.64430362,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_37,我不杀平王我的心怎甘（哪）。,10862735.557349123,0.2
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,10864000.001182748,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,10882383.608649326,0.3
lsxp-DaHeYi-SiLangTanMu.xml_25,家住哪州并哪郡？,10887696.854018435,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,10890315.08265329,0.0
lsxp-YiShiWu-YuCangJian.xml_6,他害我满门（呐）真悲惨，,10895937.661671732,0.1
lsxp-WoZhuYe-ZhuiHanXin.xml_1,拔剑斩蛇天下扬。,10897556.498763392,0.0
daxp-QiaoLouShang-HuangShanLei.xml_10,我不免引寒机伴奴坐等，,10902819.288064372,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,10910877.364866752,0.2
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,10917650.238134151,0.2
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,10932140.934929792,0.0
lseh-YangYanZhao-PengBei.xml_0,杨延昭奉父命巡查大营，,10932533.801128374,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,10937121.014981281,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,10941295.23386825,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_6,又谁知此贼的疑心（呐）太（呀）大，,10945174.354537755,0.1
lseh-YiLunMing-WenZhaoGuan-2.xml_12,我好（呃）比鱼儿吞了钩线，,10955375.311944509,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,10958235.978723047,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,10960949.229366884,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,10962695.781688401,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,10974967.464078175,0.1
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,10980911.341522096,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_8,一家人倶丧在宝剑之（喏）下，,10985147.943686122,0.1
lsxp-ZouYingLong-DaYanSong.xml_5,他言道严嵩老贼害他的举家一满门。,10994459.836451422,0.1
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,10999114.029471466,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,11009324.459449304,0.1
lsxp-WoBenShi-KongChengJi-2.xml_8,闲无（呃）事在敌楼（呃）我亮一亮琴（呢）音，,11049100.407199739,0.1
lsxp-YiShiWu-YuCangJian.xml_3,靠山绿（哇）水常在面前。,11053505.095914574,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,11065625.61663706,0.0
lseh-XiRiLi-BaoLianDeng.xml_3,传口诏命次子即位为君，,11072111.23976737,0.0
lsxp-ZheYiFeng-DingJunShan.xml_3,大小儿郎听根苗，,11082127.550100828,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,11108838.227194428,0.1
lseh-ZiNaRi-HongYangDong.xml_7,去了我左右膀难以飞行。,11108925.264172876,0.1
lseh-ZiNaRi-HongYangDong.xml_1,三更时梦（呃）见（呐）了年迈爹尊（呐）。,11119686.568964627,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_5,他将我隐藏在后花园。,11145364.981937572,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_10,我好（哇）比哀哀长空雁，,11149080.837889032,0.1
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,11157191.720896853,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_11,反将我主贬汉王。,11157725.96358291,0.1
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,11171149.589063179,0.0
lsxp-WoBenShi-KongChengJi-2.xml_1,凭阴阳如反掌保定乾坤。,11194909.00742228,0.0
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,11224894.007332284,0.1
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,11227147.923851764,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_12,我好（哇）比鱼儿吞了钩线，,11241451.495331908,0.1
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,11257992.744032089,0.1
lsxp-DaHeYi-SiLangTanMu.xml_13,十五年前沙滩会，,11268640.210755408,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_10,屈死的怨鬼魂休要怨（呐）咱，,11290820.80086029,0.1
lsxp-WoBenShi-KongChengJi-2.xml_5,东西战南北剿博古（呃）通（哦）今。,11327784.232966226,0.0
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,11340709.723935716,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_18,背地里只把东皋公怨，,11343183.324118631,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,11359649.583901258,0.1
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,11374199.112193452,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_4,左手拉住了李左车，,11389246.228618613,0.0
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,11393124.786085706,0.1
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,11398084.529963827,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,11439959.775210122,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_5,杀猪（喏）沽（哇）酒款待于他，,11442040.69713186,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,11458321.012552282,0.0
lsxp-DaHeYi-SiLangTanMu.xml_5,弟兄们分别十五春，,11464289.581712956,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,11474183.344567535,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_15,今夜晚怎能够盼到明天。,11474263.464061908,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_6,三人同把那鬼门关上爬，,11492371.394065745,0.1
lsxp-JianMaSu-ZhanMaSu.xml_2,大胆不听我的话，,11497254.25144184,0.2
lseh-WeiKaiYan-RangXuZhou.xml_5,救生灵（呐）积阴（呐）功也免得我坐卧不宁。,11527288.187056886,0.2
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,11530880.575599942,0.1
lseh-TuZeiZuo-SouGuJiuGu.xml_0,屠贼做事心太狠，,11544476.813373733,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,11553226.748721596,0.1
