在长安是你夸大话,7,在长安是你夸大话，
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,7337148.774244686,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,7352671.905859219,0.125
lsxp-WoBenShi-KongChengJi-1.xml_3,算就了汉家的业鼎足哇三分。,7359573.251460575,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_25,险些儿把事（喏）又（哇）作差。,7360825.968537184,0.0
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,7361655.096357971,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,7364158.781104931,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,7389084.852362277,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,7392664.164397912,0.125
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,7398216.678692863,0.125
lseh-YiLunMing-ZhuoFangCao-2.xml_4,吕伯奢可算得义气大，,7399538.398014012,0.125
lsxp-CiShiJian-HuaiHeYing-1.xml_4,左手拉住了李左车，,7406810.513035443,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,7407411.416903593,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_0,我主爷起义在芒砀，,7412671.718037427,0.125
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,7428659.2214476485,0.0
lseh-ZiNaRi-HongYangDong.xml_8,为此事终（啊）日里忧成疾病，,7450489.387939101,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_6,一连几天我的眉不（呃）展，,7479811.186173531,0.0
lsxp-DaHeYi-SiLangTanMu.xml_1,大喝一声（哪）如雷震，,7484039.708231302,0.125
lsxp-WoZhuYe-ZhuiHanXin.xml_6,也是我主洪福广，,7488558.647790972,0.125
lseh-WeiKaiYan-RangXuZhou.xml_2,二犬子（呃）皆年幼（哇）难当（呃）重任，,7507517.828521384,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_12,今日里萧何荐良将，,7513215.254730013,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,7526054.894057326,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,7544024.682481493,0.25
lseh-YiLunMing-ZhuoFangCao-1.xml_23,我岂肯放虎归山又（哇）把人抓。,7545775.136705667,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,7616123.859509849,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_1,年老得配女娇娃。,7662993.911054382,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,7686395.7235969715,0.0
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,7696448.013356555,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,7731602.894388094,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_1,文韬武略智谋高。,7761179.783752255,0.0
lseh-XiRiLi-BaoLianDeng.xml_8,那伯夷出午门无（哇）有踪（呃）影，,7773586.56277097,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,7800057.1649266565,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_14,思来想去我的肝肠断，,7822822.680766304,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_3,悔不该随他人到吕家。,7834377.305458076,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,7851170.775694907,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,7868729.014777409,0.0
lseh-XiRiLi-BaoLianDeng.xml_5,那伯夷尊父命也不能应承，,7871575.994686833,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,7910144.060370135,0.125
lsxp-WoZhuYe-ZhuiHanXin.xml_5,后进咸阳扶保在朝纲。,7916036.530031408,0.125
lseh-YiLunMing-WenZhaoGuan-1.xml_6,一连几天我的眉不（哇）展，,7921339.370552555,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,7933449.732402139,0.0
lsxp-ZouYingLong-DaYanSong.xml_5,他言道严嵩老贼害他的举家一满门。,7944025.732271649,0.0
lseh-WeiKaiYan-RangXuZhou.xml_5,救生灵（呐）积阴（呐）功也免得我坐卧不宁。,7957149.12055427,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,7970415.013983311,0.0
lsxp-QingGongYan-FaDongWu.xml_3,又谁知中途两离分。,8004005.417764751,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_27,鸡鸣犬吠五更（哪）天，,8006304.275208246,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,8020214.455548728,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,8034198.3589833435,0.125
lsxp-DaHeYi-SiLangTanMu.xml_17,弟兄对坐叙寒温。,8052722.270068773,0.0
sdxp-WoHeNi-SiLangTanMu.xml_20,黄沙盖脸尸骨不全。,8055754.254768223,0.0
lseh-XiRiLi-BaoLianDeng.xml_4,那叔齐分长幼不能担任，,8056898.44686401,0.125
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,8058933.225864105,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,8086399.180463927,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,8103267.916406015,0.0
lsxp-ZiGuDao-HuangHeLou.xml_0,自古道吉人有天相，,8112740.066019504,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_8,哭一声爹娘不能相见，,8115980.630266605,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_3,缘何不救我出笼牢。,8116118.936614607,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_11,鸡鸣犬吠五更（呃）天，,8128072.007682238,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,8136659.03992487,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,8137887.352780128,0.25
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,8188416.839844942,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,8188676.191288181,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,8191469.987765463,0.0
sdxp-WoHeNi-SiLangTanMu.xml_18,将身跪在地平川。,8207189.963257822,0.125
lseh-YiLunMing-WenZhaoGuan-2.xml_12,我好（呃）比鱼儿吞了钩线，,8227911.089052597,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,8234803.995196924,0.125
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,8238662.217300548,0.0
lsxp-ZouYingLong-DaYanSong.xml_11,我本当金（哪）殿奏一本怎奈我官卑职小不能够参大臣。,8257766.482107506,0.125
lseh-YiLunMing-ZhuoFangCao-1.xml_6,又谁知此贼的疑心（呐）太（呀）大，,8265914.938922521,0.125
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,8273363.897424594,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,8277422.283525205,0.125
lsxp-WeiCengKai-QiYuanBao.xml_7,借宿一宵起祸殃。,8283242.031845585,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,8300596.05906002,0.0
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,8343053.549595224,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,8345376.8460295405,0.0
lsxp-DaHeYi-SiLangTanMu.xml_21,龙行虎步非凡等，,8346114.167448259,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,8347236.391774521,0.125
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,8361797.964066827,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,8364265.970811141,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,8366184.350626489,0.125
lseh-XiRiLi-BaoLianDeng.xml_3,传口诏命次子即位为君，,8383080.063405213,0.0
sdxp-SuLongWei-WuJiaPo.xml_14,将银放在地平川。,8397524.594794821,0.125
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,8412304.848413322,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,8436693.895418802,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,8466010.791685194,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,8491454.61974608,0.0
lsxp-QingGongYan-FaDongWu.xml_0,庆功宴上把酒饮，,8491554.340447906,0.0
lsxp-ZheYiFeng-DingJunShan.xml_8,三军与（呀）爷归营号，,8499335.95772521,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,8519336.205340993,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_12,我好（哇）比鱼儿吞了钩线，,8523464.252431395,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,8543428.140293771,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_1,请先生到江边即刻登舟。,8562724.804912064,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,8570282.771081928,0.125
lseh-ZiNaRi-HongYangDong.xml_7,去了我左右膀难以飞行。,8591738.26046762,0.0
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,8632281.194028888,0.0
lsxp-DaHeYi-SiLangTanMu.xml_12,我母佘氏老太君。,8638867.22208367,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,8652438.881725691,0.0
lsxp-YiShiWu-YuCangJian.xml_5,信用无极狗奸谗。,8675343.214735089,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,8684119.870189723,0.125
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,8687234.466722177,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_8,一路上秋毫无犯军威壮，,8693613.575021608,0.0
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,8712825.787785484,0.125
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,8725407.94027681,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,8734736.321223164,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,8750446.576322375,0.125
lsxp-DaHeYi-SiLangTanMu.xml_27,听罢言来才知情，,8784098.874686053,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,8811778.950876754,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,8811778.950876754,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,8827859.255084122,0.0
sdxp-SuLongWei-WuJiaPo.xml_17,买绫罗与绸缎、打首饰和簪环，,8841142.80647256,0.0
lseh-JinZhongXiang-ShangTianTai.xml_3,武仗着姚皇兄保定乾坤。,8852968.065366918,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,8855878.65324864,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,8865627.797654144,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,8890034.382878963,0.125
sdxp-WoHeNi-SiLangTanMu.xml_7,萧天佐摆天门两国交战，,8911117.073082369,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,8918111.61934167,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_4,此一番领（呃）兵去镇守，,8925482.17654052,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_4,吕伯奢可算得义气（呀）大，,8935192.416370986,0.125
lsxp-LiangGuoJiao-ShiJieTing-2.xml_2,管带三（呐）军要宽厚，,8945290.492103152,0.0
lsxp-JiangShenEr-SanJiaDian.xml_11,儿行千里母担忧。,8947066.81668733,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,8972633.814197095,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,8999927.209636323,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,9001745.493731324,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,9004177.874790357,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,9011661.202725986,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,9022079.153188214,0.125
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,9031324.63187107,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,9043973.964927075,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,9060067.859989159,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,9063224.758767577,0.125
lseh-LaoZhangBu-WuPenJi.xml_5,抓一（呀）把沙土扬灰尘。,9067347.174601791,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,9080679.414536644,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,9080866.37349036,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_5,眼睁（呐）睁有何人去（呀）把纸烧。,9085903.651864836,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,9093229.893590437,0.0
lsxp-WeiCengKai-QiYuanBao.xml_9,望求太爷与我作主张（啊）。,9134718.043033091,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,9139545.740126269,0.0
lseh-ZiNaRi-HongYangDong.xml_5,又谁知焦克明他私（呀）自后跟（呐），,9142442.749973524,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_14,悔不该把家属一（呀）旦撇下，,9144063.970890323,0.0
lseh-XiRiLi-BaoLianDeng.xml_14,打死了别家子父能作主，,9150157.531102234,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,9166549.100078374,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,9173746.152791932,0.125
lsxp-CiShiJian-HuaiHeYing-1.xml_6,三人同把那鬼门关上踏，,9177578.717487946,0.0
lsxp-YiShiWu-YuCangJian.xml_0,一事无成两鬓斑，,9188998.762589833,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_2,今日里斩宗保娘把儿怪，,9209543.611205323,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,9212814.051589558,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_11,反将我主贬汉王。,9217481.011625128,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,9217726.687769206,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_0,张公道三十五六（哇）子有靠，,9301127.798303073,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_3,满门的家着血染红。,9309035.337572578,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,9314046.873752555,0.0
lsxp-ZouYingLong-DaYanSong.xml_1,在朝房来了我这保国忠。,9318073.228440298,0.125
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,9364669.18550216,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,9370721.929270964,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,9378589.298392702,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,9381206.427658554,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,9392693.489566823,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,9396883.804904455,0.0
lsxp-DaHeYi-SiLangTanMu.xml_30,自己骨肉认不清。,9407334.987010486,0.0
sdxp-DangNianHan-SanJiZhang.xml_3,小奴才真个不孝顺，,9407553.559427332,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,9433157.785868088,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,9442205.949280655,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,9448594.68001685,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_9,满腹的含冤我向谁言（哪）！,9451627.559200093,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_9,满腹的含冤我向谁言（喏）。,9451627.559200093,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,9459243.697697813,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,9466562.241541121,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_1,拔剑斩蛇天下扬。,9473445.093250817,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,9480939.692288829,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,9499543.722676834,0.25
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,9511747.393383127,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,9513122.574987229,0.125
lsxp-WoZhuYe-ZhuiHanXin.xml_7,一路上得遇陆贾、郦生与张良。,9518632.977985987,0.0
lsxp-ZiGuDao-HuangHeLou.xml_2,曾记得当年赴河梁，,9534546.086242145,0.0
lsxp-JianMaSu-ZhanMaSu.xml_0,见马谡（唩）跪帐下，,9555706.71883593,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,9562626.081937281,0.125
lseh-XiRiLi-BaoLianDeng.xml_1,伯夷叔齐二大贤人，,9563777.68162003,0.125
lsxp-YiShiWu-YuCangJian.xml_1,叹光明一去不回还（呐）；,9572732.43130971,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_4,左手拉住了李左车，,9581540.705632398,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,9583998.706482755,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,9585207.277902087,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,9595952.854173651,0.0
lsxp-YiShiWu-YuCangJian.xml_7,我与奸贼不共戴天！,9645811.559406778,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,9651652.531333672,0.0
daeh-SunShangXiang-BieHuangGong.xml_9,叹一声不由人珠泪涟涟。,9660760.933724798,0.0
lseh-ZiNaRi-HongYangDong.xml_3,那乃是萧天佐以（呀）假成真；,9684929.686565325,0.125
lsxp-LiangGuoJiao-ShiJieTing-1.xml_1,各为其主统貔貅，,9688939.24758701,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,9710624.38803015,0.125
lseh-YiLunMing-WenZhaoGuan-1.xml_13,我好（哇）比波浪中失舵的舟船（哪）。,9752046.07090071,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,9772929.752631329,0.125
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,9830074.012652887,0.125
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,9830538.665572139,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,9868947.328371895,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_18,背地里只把东皋公怨，,9871782.829434749,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,9872821.529970068,0.125
lsxp-ZiCongQian-ZhuLianZhai.xml_4,山高路远少来问候，,9891512.669252228,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,9899791.749197977,0.0
sdxp-SuLongWei-WuJiaPo.xml_5,西凉川四十单八站，,9913977.865433991,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,9914916.75084835,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,9924349.59704109,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_5,杀猪（喏）沽酒款待与他，,9930215.675686833,0.0
sdxp-SuLongWei-WuJiaPo.xml_19,是烈女就该在家院，,9933999.84463799,0.25
lsxp-ShenGongWu-LongFengChengXiang.xml_3,耳听笙歌闹喧哗。,9934764.917054433,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,9944117.31527366,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,9947910.892917397,0.0
lsxp-DaHeYi-SiLangTanMu.xml_7,将身站在了阶前等，,9955278.489793053,0.125
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,9965131.571163561,0.125
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,9990447.026428986,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_13,我好（呃）比波浪中失舵的舟船（喏）。,9999442.945384415,0.0
lsxp-WeiCengKai-QiYuanBao.xml_4,奉母命京城往，,10011053.527172165,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,10015109.752376448,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,10055867.695101554,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,10063857.883604791,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,10105225.768600434,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,10107511.052795397,0.0
lsxp-DaHeYi-SiLangTanMu.xml_11,我父令公官极品，,10125173.056728905,0.0
lsxp-WoBenShi-KongChengJi-1.xml_8,闲无哇事在敌楼哇我亮（呃）一亮琴哪音，,10146535.344630504,0.125
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,10178442.063941296,0.125
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,10188961.603209376,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_12,越思越想好伤惨，,10193840.59213022,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,10194402.35101442,0.0
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,10196178.313827604,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_7,夜夜何曾得安眠。,10202626.827069083,0.125
lseh-YiLunMing-WenZhaoGuan-2.xml_7,夜夜何曾得安眠。,10202626.827069083,0.125
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,10206412.422074664,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,10241385.47534353,0.0
sdxp-DangNianHan-SanJiZhang.xml_5,我的儿说话言不逊，,10334113.351699352,0.125
lsxp-LiangGuoJiao-ShiJieTing-2.xml_1,各为其（呀）主统貔貅。,10334322.803505752,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,10340132.843842715,0.25
lsxp-ZiGuDao-HuangHeLou.xml_1,主公不必加愁肠。,10399262.451004094,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,10414253.539029138,0.0
lsxp-JianMaSu-ZhanMaSu.xml_2,大胆不听我的话，,10418228.048773466,0.25
lsxp-TingTaYan-ZhuoFangCao-1.xml_2,我先前只望他宽宏量（呃）大，,10434793.54263185,0.125
lsxp-TingTaYan-ZhuoFangCao-2.xml_2,我先前只望他宽宏量（呃）大，,10434793.54263185,0.125
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,10498476.18381998,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_2,背地里只把东皋公怨，,10515199.644393247,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_1,翻来复去睡不安。,10515467.132433819,0.125
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,10520597.576383268,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,10560643.144933991,0.0
sdxp-SuLongWei-WuJiaPo.xml_8,为军哪怕到官前。,10634598.664507264,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,10642264.739213107,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,10655693.656041088,0.0
lseh-XiRiLi-BaoLianDeng.xml_9,那叔齐逃出了后宰门，,10706836.463913433,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,10713418.185851084,0.125
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,10717943.845902337,0.0
lsxp-ZiGuDao-HuangHeLou.xml_4,今日主公把宴上，,10726101.980208697,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,10746350.750864904,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_3,赏罚中公（呃）平莫要自由。,10747607.5990195,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,10751884.919582551,0.125
lsxp-ZheYiFeng-DingJunShan.xml_2,站立在营门三军叫，,10756655.69507911,0.125
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,10791630.723506728,0.25
lsxp-JiangShenEr-SanJiaDian.xml_1,尊一声过往的宾朋听从头：,10803476.452010667,0.0
lsxp-WoBenShi-KongChengJi-2.xml_8,闲无（呃）事在敌楼（呃）我亮一亮琴（呢）音，,10808178.72972637,0.125
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,10819791.383402202,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,10850731.231648112,0.125
lsxp-WoBenShi-KongChengJi-2.xml_6,周文王访姜尚周室大振，,10854977.192646086,0.125
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,10891562.747681672,0.125
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,10906618.04905365,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,10918900.66795415,0.125
lsxp-ZiCongQian-ZhuLianZhai.xml_2,为千岁懒把朝房走，,10928913.11498949,0.0
lsxp-ZheYiFeng-DingJunShan.xml_7,退后的项上吃一刀。,10959574.866005382,0.0
