莫不是平地风波起,9,莫不是平地风波起，
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,15036006.685745878,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,15092815.8157651,0.0
danbz-KanDaWang-BaWangBieJi.xml_3,猛抬头见碧落月色清明。,15097140.070211774,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,15173413.662675513,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_3,莫负他好春宵一刻千金。,15177986.089884503,0.125
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,15262084.165211489,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,15347675.397579633,0.125
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,15366677.245124118,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,15387857.4572761,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,15392208.225013962,0.125
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,15399442.521113176,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,15399442.521113176,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,15444891.298438994,0.125
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,15454137.776403489,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,15476900.407898135,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,15484711.788084099,0.125
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,15489906.123354174,0.125
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,15499914.610008258,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,15539046.95221263,0.125
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_6,奴似嫦娥离月宫。,15543011.123508308,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,15550045.279806513,0.125
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,15589647.98813618,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,15620257.382056449,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,15756731.665975517,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,15795364.752674745,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,15795364.752674745,0.125
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,15821567.69190003,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,15831217.576961612,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,15832093.300824462,0.125
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,15877370.044085704,0.25
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,15898632.312819488,0.125
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,15905410.891192934,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,15940707.046125902,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,15944197.217137331,0.0
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,15950569.736087758,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,16025516.604174346,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,16044701.1855292,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,16095583.750240048,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,16096953.958793415,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,16170267.334997745,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,16176709.322329801,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,16193692.400154022,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,16203113.505328363,0.125
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,16210413.77551038,0.125
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,16332803.413100619,0.0
daxp-ZheCaiShi-SuoLinNang.xml_3,残生一线付惊涛。,16423090.249634719,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,16423131.575072035,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,16425596.857700801,0.0
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,16443793.514968622,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,16473045.250646545,0.125
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,16473729.719240282,0.0
daxp-JiaoZhangSheng-HongNiang.xml_3,这件事倒叫我心乱如麻。,16597814.342798948,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_4,皓月当空，,16705952.282324137,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,16773061.654578401,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,16905639.458258588,0.125
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,16972322.402476914,0.125
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,16983804.664765771,0.125
daxp-ZheCaiShi-SuoLinNang.xml_7,愧我当初赠木桃。,17005060.056611627,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,17110480.505343314,0.125
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,17183526.411390062,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_1,算当初曾经得几晌温存。,17184586.328098219,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,17184942.423213352,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,17226109.657624815,0.125
daxp-LaoDieDie-SanJiZhang-2.xml_2,父道那薛平贵是那化郎模样，,17266614.75761788,0.25
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,17308214.979253158,0.125
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,17437343.735443082,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,17479936.221855499,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,17480035.102168433,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,17574431.244603533,0.125
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,17585495.682326578,0.125
daspd-DuShouKong-WangJiangTing.xml_3,为避狂徒到此间。,17621209.170589149,0.0
daspd-DuShouKong-WangJiangTing.xml_2,孀居愁苦泪洗面，,17653417.041930366,0.0
daeh-TanHongYan-HuoXiaoYu.xml_1,美满姻缘付东流。,17757963.53013077,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,17832753.931038655,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,17892289.557355981,0.125
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,17906713.398774911,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,17922713.240869723,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,17988812.40217356,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,18031806.634188462,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,18181153.979613137,0.125
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,18230115.076332521,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,18230115.076332521,0.125
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,18230576.667037308,0.125
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,18256174.349020682,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,18264096.373698205,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,18285680.069879316,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,18295952.488247216,0.125
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,18331726.964968216,0.25
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,18356831.96963181,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,18399757.369545706,0.0
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,18454023.003298495,0.125
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,18517841.927952539,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,18552305.636264652,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,18556225.931443851,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,18627430.926756103,0.0
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,18689091.063220844,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,18705144.18305546,0.125
daspd-DuShouKong-WangJiangTing.xml_1,芳心寂寞有谁怜，,18706141.412469868,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_5,恰便似嫦娥离月宫，,18793349.74991601,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,18907934.223212622,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,18914418.452669047,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,18993537.276060052,0.25
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,19028345.447887328,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,19110227.032576349,0.0
daxp-GuanShiYin-TianNvSanHua.xml_0,观世音满月面珠开妙相，,19156668.229624566,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,19199999.474445,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,19248425.275590234,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_0,海岛冰轮初转腾；,19412852.488343485,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,19478424.436973751,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,19506684.309608128,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,19506684.309608128,0.125
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,19551406.925825648,0.25
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,19570491.673406515,0.125
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,19653295.572799031,0.125
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,19728479.459923163,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,19755276.352503866,0.125
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,19787708.614193052,0.125
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,19806052.782643758,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,19843022.018587004,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,19891747.583501752,0.125
daxp-ZhiJianTa-WangJiangTing.xml_6,低下头心生计，,20051081.636086319,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,20094703.20839078,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,20126192.805800345,0.125
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,20135573.419350117,0.125
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,20153341.636302363,0.125
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,20226180.212667238,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,20293968.088384707,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,20362774.458877664,0.125
daxp-ZhiJianTa-WangJiangTing.xml_8,出二堂深施礼，,20397936.083174482,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_4,原来是不耐烦已经睡困，,20623507.325383473,0.25
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,20633385.712068267,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,20637549.998209652,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,20640929.025372867,0.125
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,20653394.590374645,0.0
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,20776883.681141559,0.125
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,20781655.152043007,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,20861089.77509569,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,20877922.410800036,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,20915569.452447195,0.0
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,20944783.75865972,0.0
daxp-GuanShiYin-TianNvSanHua.xml_7,催祥云驾瑞彩速赴佛场。,20950088.235992461,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,20977218.422029782,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,21016460.128504865,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,21052919.434362993,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,21081342.087544043,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,21101679.173771087,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,21191201.584302004,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,21191439.908184864,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,21248578.811516438,0.125
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,21297336.791493885,0.0
daxp-GuanShiYin-TianNvSanHua.xml_3,白鹦鹉与仙鸟在灵岩神岘上下飞翔；,21381353.117870655,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,21384642.260894235,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,21662486.423269261,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,21788750.006763648,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_2,那冰轮离海岛，,21958040.271010831,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,22158354.189261705,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,22183097.995119002,0.125
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,22270643.892627172,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,22303088.663999218,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,22309858.839300014,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,23097213.678060904,0.125
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,23196915.453635886,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,23274462.877749935,0.0
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,23293669.94488785,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,23342763.646896914,0.0
daxp-ChunQiuTing-SuoLinNang.xml_26,忙把梅香低声儿叫，,23347400.005667105,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,23429688.676317345,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,23446168.189449534,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,23477396.42860144,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,23671949.425975598,0.125
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,23782218.152910508,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,23795885.287167277,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,23799364.607658867,0.0
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,23817474.373542573,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,23887176.234530471,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,24002661.872422501,0.0
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,24093174.9902438,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,24116982.649125278,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,24260470.623089898,0.0
daxp-ErTingDe-SuoLinNang.xml_24,忙把梅香低声叫，,24614924.463718265,0.0
daxp-WoDeNiang-XinAnYi.xml_2,这几日身不爽心中烦闷，,24905690.278891504,0.125
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,24974861.12284524,0.125
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,24975367.049437478,0.125
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,25045947.746639308,0.125
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,25429301.214664575,0.0
daxp-JiaoZhangSheng-HongNiang.xml_5,听号令且莫要惊动了她。,25690923.543009441,0.125
daxp-QiaoLouShang-HuangShanLei.xml_3,不知他在荒山何处安身。,25849806.863067966,0.125
daxp-ZhiJianTa-WangJiangTing.xml_0,只见他一封书信握手里，,25937112.288412265,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,26156510.84798171,0.125
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,26156510.84798171,0.0
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,26290558.049321149,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_10,但愿得令公令婆别无异见，,26344682.192810182,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,26425713.250421975,0.25
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,26799340.902109902,0.125
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,27007067.273918692,0.0
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,27034564.994654726,0.125
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,27555975.139652241,0.25
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,27717275.465762407,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,27883892.581887566,0.25
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,27909979.730810504,0.0
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,27910642.328627303,0.125
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,27991331.771959607,0.125
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,28204790.023734305,0.0
sdxp-DangNianHan-SanJiZhang.xml_19,非是女儿言不逊，,28301823.533236329,0.25
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,28675682.999337394,0.125
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,28675837.601252627,0.0
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,28718031.034522418,0.0
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,28881142.147516154,0.0
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,28881142.147516154,0.125
daxp-ZheCaiShi-SuoLinNang.xml_0,这才是人生难预料，,28989355.846946206,0.125
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,29399684.221900985,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,29762002.450076893,0.0
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,29987631.826319814,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,30004864.188838154,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,30844320.842048418,0.0
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,31016934.210354302,0.0
daxp-DiTouLi-NvQiJie.xml_0,低头离了洪洞县，,31560429.631161213,0.0
daxp-XiShiNv-XiShi.xml_3,每日里浣纱去又傍清溪。,31978433.800697386,0.0
daxp-QiaoLouShang-HuangShanLei.xml_10,我不免引寒机伴奴坐等，,32245168.740157913,0.125
sdxp-DangNianHan-SanJiZhang.xml_15,未央宫斩的是韩信，,32486291.830225613,0.125
daxp-XiRiLi-LongFengChengXiang.xml_1,今朝仙女会襄王。,33704240.837969825,0.0
daxp-ErTingDe-SuoLinNang.xml_3,莫不是强婚配鸦占鸾巢。,33804066.866272859,0.375
daxp-ChunQiuTing-SuoLinNang.xml_15,莫不是强婚配鸦占鸾巢？,33950236.506705217,0.375
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,34164670.235148817,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,37228084.090466879,0.125
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_3,发奋自强日夜读诗文。,37292667.795329355,0.0
daxp-ErDeFu-HongNiGuan.xml_6,奴本当把关印付他执掌，,41650122.397636294,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_1,今朝仙女会襄王。,41687837.382703856,0.0
lseh-ZiNaRi-HongYangDong.xml_5,又谁知焦克明他私（呀）自后跟（呐），,285647599.51896816,0.0
lseh-JinZhongXiang-ShangTianTai.xml_4,内侍臣忙摆驾九龙口进，,294712322.19202244,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_4,幸遇那东皋公行方便，,302530455.16312861,0.0
sdxp-SuLongWei-WuJiaPo.xml_19,是烈女就该在家院，,316070332.9899562,0.125
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,331100559.78980392,0.125
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,332458918.55876696,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_8,你今舍了亲生子，,334011138.41025531,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_5,杀猪（喏）沽酒款待与他，,337241329.18612134,0.0
sdxp-WoHeNi-SiLangTanMu.xml_4,誓不忘贤公主恩重如山。,341950387.93883783,0.125
lsxp-WoZhuYe-ZhuiHanXin.xml_15,扬尘舞蹈见大王。,344520774.76490331,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_9,年迈的老丈命（呐）染黄沙。,350974281.81654179,0.0
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,353193620.10400593,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,360061914.36726141,0.125
lsxp-ZuoRiLi-YuanMenZhanZi.xml_4,叫焦赞将宝剑悬挂帐外，,366258377.89686608,0.0
lseh-XiRiLi-BaoLianDeng.xml_6,弟让兄来兄不能应（呐）允，,381379159.89008135,0.125
lseh-TuZeiZuo-SouGuJiuGu.xml_1,诬杀赵家一满门。,385117435.36609656,0.0
lseh-YangYanZhao-PengBei.xml_5,又恐怕惊动了年迈之人。,387550606.3369562,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_3,谁知昭关有阻拦。,388706983.30210215,0.0
lsxp-ZheYiFeng-DingJunShan.xml_3,大小儿郎听根苗，,390402552.79989177,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,390993609.10462666,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,390993609.10462666,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_15,悔不该弃县今抛却了乌（哇）纱，,394825872.72146386,0.125
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,398685801.93442422,0.0
sdxp-SuLongWei-WuJiaPo.xml_11,好一个贞节王宝钏，,405761962.41382915,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_5,这才是花随水水不（哇）能恋（呐）花。,409029350.73229015,0.25
lsxp-TingTaYan-ZhuoFangCao-2.xml_4,马行在来道内我难（呐）以回（呀）马，,414981631.24431074,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_4,马行在来道内我难（呐）以回（呀）马，,414981631.24431074,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_5,这才是花随水水不（哇）能恋（呐）花。,416854280.34573251,0.25
lseh-YiLunMing-WenZhaoGuan-2.xml_3,谁知昭关有阻拦。,423039141.23880422,0.0
lseh-JinZhongXiang-ShangTianTai.xml_5,又听得殿角下大放悲声。,424648308.54353106,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,424920339.3992545,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,425690177.25139421,0.125
lseh-NiangZiBu-SouGuJiuGu.xml_9,来年必定降麒麟。,426910392.77214307,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_4,幸遇那东皋公行方便，,435427692.75085902,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_5,其中必有这巧（哇）妙高。,437622356.63115454,0.0
lsxp-JiangShenEr-SanJiaDian.xml_6,舍不得太爷的恩情厚，,439168179.68142331,0.125
lsxp-JiangShenEr-SanJiaDian.xml_0,将身儿来至在大街口，,441608059.86940664,0.0
