轻移步走向前荒郊站定,0,轻移步走向前荒郊站定，
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,7607534.6332729226,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,7609157.7851257175,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,7612883.1886633234,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,7613491.1715361094,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,7633966.7496150844,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,7642775.9437478194,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,7650371.7656457545,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,7657984.7740634773,0.0
daxp-GuanShiYin-TianNvSanHua.xml_5,好似我散天花就纷落十方；,7664276.4059753306,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,7664303.0774369426,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,7680070.914781319,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,7708977.4260028694,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,7715522.9082063222,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,7721597.7784661399,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,7728402.4437629804,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,7741959.8137034159,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,7745072.822720171,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,7750629.9666482387,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,7754516.1377832852,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,7767895.7113982877,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,7769073.2964959843,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,7775618.5399582461,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,7816680.8414632576,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,7824990.5492300773,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,7875660.4555183947,0.1
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,7962345.6029385487,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,7971596.6654764516,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,7985346.6699525407,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,8049382.9988288675,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,8055092.0937904045,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,8065314.7598805549,0.1
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,8108041.4902132666,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,8119653.6949861133,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,8120958.5727353543,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,8121316.4886321193,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_1,见玉兔（哇）玉兔又早东升。,8131195.1210526247,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,8131740.6956066769,0.1
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,8143000.4972686907,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,8146917.5123205194,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,8200149.6448047468,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,8204530.8046653084,0.0
daxp-GuanShiYin-TianNvSanHua.xml_1,有善才和龙女站立两厢；,8206998.661232654,0.1
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,8227414.4357697321,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,8236322.648340527,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,8271779.7691480787,0.1
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,8272912.6308022337,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,8277793.3727129754,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,8297603.7195344158,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,8324326.6706343796,0.1
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,8327212.3395527583,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,8331255.8039926421,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,8337620.1229232326,0.0
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,8345736.4739202298,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,8347414.4317928189,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,8352877.7294186829,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,8358076.2380969385,0.0
daxp-GuanShiYin-TianNvSanHua.xml_0,观世音满月面珠开妙相，,8359938.5275075641,0.0
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,8368052.2400832381,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,8416868.9880055934,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,8421801.8826328404,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,8496216.2330000419,0.0
daxp-ZhiJianTa-WangJiangTing.xml_8,出二堂深施礼，,8528664.6324159466,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,8558864.9937793091,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,8572847.7778623533,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_10,但愿得令公令婆别无异见，,8573123.1537849475,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,8584787.0607601553,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,8589153.938432198,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,8593584.2753435746,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_5,恰便似嫦娥离月宫，,8632624.1664091647,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,8635980.1704843175,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,8638959.5027364343,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,8647487.0456377193,0.1
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,8670323.4203723464,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,8675120.0414695311,0.1
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,8678167.1379680373,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,8682909.5091080125,0.1
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,8704341.2682065945,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,8715269.7761967834,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,8723110.9594539907,0.0
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,8727347.0832753778,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,8727680.7080875747,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,8755753.7462690845,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,8799920.2186982073,0.0
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,8807281.2820662055,0.0
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,8843017.9044115264,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,8866187.536911156,0.1
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_0,海岛冰轮初转腾；,8883267.1089160368,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,8908286.6850870438,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,8951931.0605775025,0.0
daxp-GuanShiYin-TianNvSanHua.xml_7,催祥云驾瑞彩速赴佛场。,8974129.5332170948,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,8992883.2739307638,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,8998848.3933468703,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,9016456.9681521896,0.0
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,9016673.7281543538,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,9051534.7404778618,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,9065020.3366829678,0.0
daxp-ZheCaiShi-SuoLinNang.xml_1,不想团圆在今朝。,9065020.3366829678,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,9099836.7126943972,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,9132514.8164046146,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,9209934.3118869998,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,9228344.3947314974,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,9341488.1945812013,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,9360868.0763874929,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,9378617.831487501,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,9404147.6360208727,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,9439912.9057436679,0.0
daxp-JiaoZhangSheng-HongNiang.xml_4,这也算是一段风流佳话，,9452836.2446848098,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,9455203.6085000932,0.1
daxp-ZhiJianTa-WangJiangTing.xml_4,莫不是平地风波起，,9514952.317507403,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,9523180.1804303266,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,9528342.1159503907,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,9558957.6639890559,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,9630036.4957823083,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,9633783.5076803658,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,9729935.5224965326,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,9755616.6529086437,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,9772485.4718563575,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_1,算当初曾经得几晌温存。,9773080.4029927421,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,9784770.0304860026,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,9785625.3074622713,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,9803611.446013201,0.0
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,9823443.3495265562,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,9894356.2789033037,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,9901424.6019876748,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,9904918.3721515406,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,9911698.4763001986,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,9920312.0291706808,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,9953191.0363239571,0.0
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,9965501.0875229258,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,9979442.5615696479,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,10016424.857280044,0.0
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,10032419.898132304,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,10050141.483296674,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,10050141.483296674,0.0
daxp-QiaoLouShang-HuangShanLei.xml_3,不知他在荒山何处安身。,10070872.212034589,0.1
daxp-ZhiJianTa-WangJiangTing.xml_2,何人来把书信寄？,10074714.371092496,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,10081574.133111008,0.0
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,10122657.459712014,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,10238749.298223047,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,10240420.861124828,0.0
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,10285821.746832414,0.0
daxp-ZheCaiShi-SuoLinNang.xml_5,善果心花可自豪。,10355884.716618337,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,10376506.371832354,0.0
daxp-XiShiNv-XiShi.xml_3,每日里浣纱去又傍清溪。,10420264.377331337,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,10450777.028431902,0.0
daxp-ZheCaiShi-SuoLinNang.xml_7,愧我当初赠木桃。,10520395.781522483,0.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,10521577.95525663,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,10608419.267456168,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,10621356.590362955,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,10639472.404409107,0.0
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,10649203.407458527,0.0
danbz-KanDaWang-BaWangBieJi.xml_1,我这里出帐外且散愁情。,10670205.788099283,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,10691529.029585216,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,10794136.406833144,0.0
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,10800776.852644265,0.0
daxp-ZheCaiShi-SuoLinNang.xml_6,种福得福如此报，,10810813.897598118,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,10831084.237548597,0.1
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,10934794.564089073,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,10949374.010218088,0.0
daxp-GuanShiYin-TianNvSanHua.xml_4,绿柳枝酒甘露三千界上，,10965352.266099961,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,10978162.517374484,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,10996758.812755434,0.0
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,11034801.636534512,0.1
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,11038656.411499055,0.0
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,11049089.39529014,0.0
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,11058014.432768119,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,11089378.21850168,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,11093157.558523379,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,11117204.474296991,0.0
daxp-JiaoZhangSheng-HongNiang.xml_2,放大胆忍气吞声休害怕，,11143076.138145356,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_4,原来是不耐烦已经睡困，,11164672.188541032,0.0
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,11193403.478426911,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,11234050.25864709,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,11273776.999894999,0.0
daxp-XiRiLi-LongFengChengXiang.xml_1,今朝仙女会襄王。,11277914.88729756,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,11321797.890524868,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,11359739.455835039,0.0
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,11389330.171472101,0.0
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,11428143.596879091,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,11437294.98436396,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,11442401.044839432,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_2,父道那薛平贵是那化郎模样，,11533648.492198672,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,11584837.409452779,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,11735125.929010924,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,11814830.692073356,0.0
daxp-ZheCaiShi-SuoLinNang.xml_2,回首繁华如梦渺，,11815732.213681223,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,11830535.638465138,0.0
daxp-GuanShiYin-TianNvSanHua.xml_6,满眼中清妙景灵光万丈，,11854502.192272875,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,11856354.193883011,0.0
daxp-ZheCaiShi-SuoLinNang.xml_0,这才是人生难预料，,11973139.607273992,0.0
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,12107414.771531001,0.0
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,12164705.499908535,0.1
daspd-DuShouKong-WangJiangTing.xml_3,为避狂徒到此间。,12235620.706356445,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,12254641.970974661,0.0
daxp-ErTingDe-SuoLinNang.xml_3,莫不是强婚配鸦占鸾巢。,12281450.967423324,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,12287631.619502956,0.0
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,12304045.398251597,0.0
daxp-ChunQiuTing-SuoLinNang.xml_15,莫不是强婚配鸦占鸾巢？,12469802.007555757,0.0
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,12488547.505106287,0.3
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,12587097.798061337,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,12742024.574137373,0.0
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,12867645.174148113,0.0
daxp-ZheCaiShi-SuoLinNang.xml_4,柳暗花明休啼笑，,12946637.770883394,0.0
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,12954834.457532948,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,12978549.689868135,0.0
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,13089080.605846217,0.0
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,13089080.605846217,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,13096161.901775705,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,13410357.892376855,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,13465260.416571973,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_1,今朝仙女会襄王。,13497614.29544686,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,13545211.681454608,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,13584167.88524388,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,13672847.159858216,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,13931437.754341431,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,13965070.863551943,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_3,发奋自强日夜读诗文。,14168356.393561125,0.0
daxp-ErDeFu-HongNiGuan.xml_6,奴本当把关印付他执掌，,14347509.142520793,0.0
daxp-WoDeNiang-XinAnYi.xml_2,这几日身不爽心中烦闷，,14553239.954589806,0.0
sdxp-DangNianHan-SanJiZhang.xml_19,非是女儿言不逊，,14885919.46055581,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,14931411.05619132,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_4,皓月当空，,15006924.187624313,0.0
daxp-ErTingDe-SuoLinNang.xml_24,忙把梅香低声叫，,15528613.814151041,0.0
daxp-DiTouLi-NvQiJie.xml_0,低头离了洪洞县，,15600939.260863254,0.0
sdxp-DangNianHan-SanJiZhang.xml_15,未央宫斩的是韩信，,15848995.54868849,0.0
daxp-ChunQiuTing-SuoLinNang.xml_26,忙把梅香低声儿叫，,16370121.526597645,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_3,乾坤分外明，,16808951.631093014,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,16856769.652644202,0.0
daxp-QiaoLouShang-HuangShanLei.xml_10,我不免引寒机伴奴坐等，,17199990.507638391,0.0
daeh-SunShangXiang-BieHuangGong.xml_9,叹一声不由人珠泪涟涟。,22934375.419941772,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_0,张公道三十五六（哇）子有靠，,2719294068.0709896,0.0
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,2769773391.0817571,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_9,满腹的含冤我向谁言（哪）！,2815616801.2935019,0.1
lseh-YiLunMing-WenZhaoGuan-2.xml_9,满腹的含冤我向谁言（喏）。,2815616801.2935019,0.1
lseh-YangYanZhao-PengBei.xml_0,杨延昭奉父命巡查大营，,2900082508.1925821,0.0
lsxp-JiangShenEr-SanJiaDian.xml_1,尊一声过往的宾朋听从头：,2960391460.6208711,0.0
sdxp-WoHeNi-SiLangTanMu.xml_7,萧天佐摆天门两国交战，,3084016004.3633647,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,3085025390.2732563,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,3119750020.1169953,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_0,深宫无（哇）处不飞花，,3208296781.6273475,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_5,眼睁（呐）睁有何人去（呀）把纸烧。,3223337012.2656317,0.0
lsxp-ZouYingLong-DaYanSong.xml_11,我本当金（哪）殿奏一本怎奈我官卑职小不能够参大臣。,3251008639.1268153,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,3315340843.9299726,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_0,屠贼做事心太狠，,3385911662.9739261,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,3418617502.8514581,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_16,心中有事难合眼，,3439484217.7426453,0.0
sdxp-SuLongWei-WuJiaPo.xml_5,西凉川四十单八站，,3450770198.5677929,0.1
lseh-XinZhongYou-WenZhaoGuan.xml_0,心中有事难合眼，,3484941273.2688208,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_13,我好（呃）比波浪中失舵的舟船（喏）。,3508199250.7512722,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,3512883044.0721607,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_13,我好（哇）比波浪中失舵的舟船（哪）。,3576501116.8688102,0.0
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,3629716125.2639699,0.0
lsxp-WoBenShi-KongChengJi-2.xml_9,我面前却少个知（呃）音的人。,3631830620.7129049,0.1
lseh-YiLunMing-ZhuoFangCao-2.xml_3,悔不该随他人到吕家。,3669399508.8128085,0.0
lseh-XiRiLi-BaoLianDeng.xml_15,打死个秦官保父不能担承。,3706518706.0120463,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_14,思来想去我的肝肠断，,3706938615.7992153,0.0
lsxp-QingGongYan-FaDongWu.xml_2,弟兄们创业多艰难，,3718083352.4578462,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_0,为国家那何曾半日闲空，,3749367758.2946391,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_0,为国家哪何曾半日闲空，,3758053962.6636763,0.0
sdxp-SuLongWei-WuJiaPo.xml_18,我与你露水的夫妻就过几年（呐）。,3767296633.7082047,0.0
sdxp-DangNianHan-SanJiZhang.xml_4,仙女嫁的又是何人？,3851108879.1925259,0.0
lsxp-DaHeYi-SiLangTanMu.xml_21,龙行虎步非凡等，,3856047540.2575326,0.1
