我一剑能挡百万的兵,0,我一剑能挡百万兵。
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,8546574.879459681,0.1111111111111111
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,8548340.7436079234,0.1111111111111111
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,8557371.6936927885,0.1111111111111111
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,8592947.7979066148,0.1111111111111111
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,8595401.6164595447,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,8634646.2228819281,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,8635565.9788128138,0.2222222222222222
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,8637756.2154705413,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,8659020.6812757589,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,8667151.7045450974,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,8673806.2078988235,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,8676374.5145842191,0.2222222222222222
daxp-ChunQiuTing-SuoLinNang.xml_26,忙把梅香低声儿叫，,8700096.9994684495,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,8707969.9797550179,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,8724045.167544296,0.0
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,8742039.3827405144,0.0
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,8747733.1345133074,0.1111111111111111
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,8753813.5727022961,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,8763245.1207975093,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,8778946.4194904696,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,8810299.375711266,0.2222222222222222
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,8810299.375711266,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,8900896.2421037834,0.1111111111111111
daeh-TanHongYan-HuoXiaoYu.xml_1,美满姻缘付东流。,8916371.6492253467,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,8946359.2424910367,0.1111111111111111
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,8958524.7192339078,0.1111111111111111
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,8986883.0661968775,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,9053154.8460063767,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,9059090.2030724715,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,9081411.0835473817,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,9083644.8584975041,0.2222222222222222
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,9106955.9190309271,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,9142594.9543460365,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,9256453.4007416517,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,9285791.9312392008,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,9305380.0850327387,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,9318766.363036871,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,9342831.63459027,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,9362430.0841219369,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,9366447.4777227957,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,9400241.0498831458,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,9407741.2233127989,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,9412626.2158567663,0.1111111111111111
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,9441042.8569429014,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,9457187.6965668406,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,9464005.3992328867,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,9488225.4972929116,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,9539505.7085351851,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,9572041.7819262128,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,9596829.7554902267,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,9709902.2200059295,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,9744574.4046725929,0.1111111111111111
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,9777514.7635671571,0.1111111111111111
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,9781398.1314285733,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,9789168.1413222589,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,9792907.9810131285,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,9800444.9367017709,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,9872605.937521277,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,9892790.7811966855,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,9909729.0844842549,0.1111111111111111
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,9922628.3102876972,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,9996138.2318939473,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,9998034.3236049954,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,10020659.564965602,0.1111111111111111
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,10058725.46968356,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,10134499.311411576,0.1111111111111111
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,10156680.87063757,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,10164190.385578509,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,10176168.960139355,0.1111111111111111
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,10233817.690355789,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,10340370.082754739,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,10356874.468514839,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,10373989.924632365,0.1111111111111111
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,10377597.478542535,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,10391908.307483885,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,10437557.449534697,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,10473283.791777309,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,10507215.726781907,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,10559183.8528628,0.0
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,10603398.52755487,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,10621493.736826366,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,10748844.903799893,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,10755380.26481718,0.1111111111111111
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,10788507.058597121,0.1111111111111111
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,10796473.19889701,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,10835571.371108331,0.1111111111111111
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,10838509.059513191,0.0
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,10937028.031497501,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,10947296.737034658,0.0
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,10966932.176521784,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,11094881.316903539,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,11101532.401193203,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,11138380.504277213,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,11222429.666045144,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,11228230.419663899,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,11259346.015316769,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,11591063.388347391,0.1111111111111111
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,11652639.898185531,0.1111111111111111
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,11723704.669683423,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,11745094.514066,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,11874807.427172234,0.2222222222222222
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,11879167.782751206,0.1111111111111111
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,11884909.412580021,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,11918876.582149331,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,11946002.347120088,0.0
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,11962165.114253905,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,12032785.087526955,0.0
daxp-XiShiNv-XiShi.xml_3,每日里浣纱去又傍清溪。,12042135.302535782,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,12059427.809862753,0.1111111111111111
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,12079700.29682908,0.1111111111111111
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,12105292.84116978,0.1111111111111111
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,12122437.095043868,0.1111111111111111
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,12126877.781784417,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,12146801.834636727,0.0
daxp-WoDeNiang-XinAnYi.xml_2,这几日身不爽心中烦闷，,12171893.585487759,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,12181636.581219995,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,12241561.579340516,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,12305320.970578067,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,12318583.405388393,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,12335479.836365122,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,12353602.544221619,0.2222222222222222
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,12359953.736055559,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,12544739.953762636,0.0
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,12546176.878278995,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,12548250.561716592,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,12571739.027398726,0.0
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,12592262.587854493,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,12752639.554069901,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,12775759.954925982,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,12838336.805700399,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,12890046.469398638,0.1111111111111111
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,12901091.194110684,0.1111111111111111
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,12927915.686829755,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,12967252.089611741,0.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,13180390.171063125,0.2222222222222222
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,13244452.106556609,0.2222222222222222
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,13425715.07302909,0.1111111111111111
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,13497166.058586296,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,13607002.170914948,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,13697738.85938256,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,13759395.723100118,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,13759395.723100118,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_3,莫不是强婚配鸦占鸾巢。,13811686.748377303,0.0
daxp-ChunQiuTing-SuoLinNang.xml_15,莫不是强婚配鸦占鸾巢？,14019809.458137188,0.0
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,14038768.731695151,0.1111111111111111
daeh-SunShangXiang-BieHuangGong.xml_9,叹一声不由人珠泪涟涟。,14184548.228283547,0.1111111111111111
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,14363891.899177454,0.1111111111111111
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,14386156.648114989,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,14467734.766866494,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,14490205.619114706,0.1111111111111111
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,14602525.735573772,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,14622187.954232065,0.0
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,14741334.159192247,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,14830634.421466952,0.1111111111111111
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,14985244.419806151,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,15075236.603881573,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,15172162.259161657,0.0
daxp-DiTouLi-NvQiJie.xml_0,低头离了洪洞县，,15174119.213023596,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,15273208.419271449,0.0
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,15344917.739636444,0.0
sdxp-DangNianHan-SanJiZhang.xml_15,未央宫斩的是韩信，,15526701.840180228,0.1111111111111111
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,15567478.839760557,0.0
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,15567478.839760557,0.1111111111111111
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,15934489.483411344,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,16162104.070377152,0.1111111111111111
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,16346856.647335438,0.1111111111111111
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,16369785.509027572,0.2222222222222222
daxp-XiRiLi-LongFengChengXiang.xml_1,今朝仙女会襄王。,16392728.652046595,0.0
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,16412358.987684218,0.0
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,16443436.813953472,0.1111111111111111
daeh-ZiNaRi-ZhuangYuanMei-1.xml_10,但愿得令公令婆别无异见，,16557907.958067849,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_2,父道那薛平贵是那化郎模样，,16558633.245321319,0.0
sdxp-DangNianHan-SanJiZhang.xml_19,非是女儿言不逊，,16655125.943744866,0.0
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,16765157.572259936,0.0
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,17271129.36872809,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,17309037.773164071,0.0
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,17693757.686453391,0.0
daxp-ErDeFu-HongNiGuan.xml_6,奴本当把关印付他执掌，,18447193.733177178,0.0
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,18818993.552652191,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_1,今朝仙女会襄王。,19246395.127127223,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_3,发奋自强日夜读诗文。,19251006.541240215,0.0
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,19259490.689222701,0.0
daxp-QiaoLouShang-HuangShanLei.xml_10,我不免引寒机伴奴坐等，,21552382.463212848,0.1111111111111111
lseh-XinZhongYou-WenZhaoGuan.xml_19,父母的冤仇化尘烟，,552392462.35290229,0.1111111111111111
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,588041241.51571155,0.1111111111111111
lseh-YiLunMing-WenZhaoGuan-1.xml_35,父母的冤仇化尘烟，,602964617.8761611,0.1111111111111111
lseh-XinZhongYou-WenZhaoGuan.xml_1,翻来复去睡不安。,672285640.24332106,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_17,翻来覆去睡不（哇）安。,678976255.04630387,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,689898078.86386979,0.0
sdxp-WoHeNi-SiLangTanMu.xml_6,有一桩心腹事不敢明言。,701263392.98817074,0.1111111111111111
lseh-LaoZhangBu-WuPenJi.xml_5,抓一（呀）把沙土扬灰尘。,709183233.50158155,0.1111111111111111
lsxp-ZiCongQian-ZhuLianZhai.xml_2,为千岁懒把朝房走，,725992264.74991679,0.0
lsxp-WeiCengKai-QiYuanBao.xml_9,望求太爷与我作主张（啊）。,734672261.261114,0.1111111111111111
sdxp-DangNianHan-SanJiZhang.xml_2,未央宫斩的是何人？,764822408.65111053,0.1111111111111111
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,799668383.59154105,0.1111111111111111
lseh-YiLunMing-WenZhaoGuan-1.xml_34,寻短（哪）哎见爹娘（兀）！,799683955.4268961,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,800085349.48626626,0.0
lsxp-DaHeYi-SiLangTanMu.xml_6,怎知今日回宋营。,801594459.74838972,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_5,靠山近水把营收。,807886096.1352644,0.0
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,820047894.2440567,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_0,屠贼做事心太狠，,822526489.00957203,0.0
lsxp-ZiGuDao-HuangHeLou.xml_0,自古道吉人有天相，,848001043.80778885,0.0
lsxp-DaHeYi-SiLangTanMu.xml_14,失落番邦被贼擒。,849429659.98680246,0.0
lsxp-ZouYingLong-DaYanSong.xml_8,上面坐的是有道君，,864972936.14519429,0.1111111111111111
lsxp-QingGongYan-FaDongWu.xml_0,庆功宴上把酒饮，,868934596.23933494,0.0
lsxp-JianMaSu-ZhanMaSu.xml_3,失去了街亭差不差。,878507315.20202434,0.0
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,878812596.92163348,0.0
lseh-WeiKaiYan-RangXuZhou.xml_5,救生灵（呐）积阴（呐）功也免得我坐卧不宁。,879770205.6990999,0.1111111111111111
lseh-XinZhongYou-WenZhaoGuan.xml_20,对天发下宏誓愿，,884589441.61193645,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_12,无奈何我只得双（呃）膝跪，,893212025.77659953,0.1111111111111111
lseh-XuMaoGong-QinQiongFaPei.xml_3,缘何不救我出笼牢。,902402498.32632923,0.1111111111111111
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,911310816.68261039,0.2222222222222222
sdxp-WoHeNi-SiLangTanMu.xml_2,贤公主又何必过于谦言。,913550547.84752464,0.0
lsxp-YiShiWu-YuCangJian.xml_4,恨平王无道纲常乱，,917152695.99313724,0.0
lsxp-JiangShenEr-SanJiaDian.xml_11,儿行千里母担忧。,929523105.69729292,0.0
sdxp-WoHeNi-SiLangTanMu.xml_20,黄沙盖脸尸骨不全。,932667545.3613534,0.0
lsxp-DaHeYi-SiLangTanMu.xml_30,自己骨肉认不清。,935242598.74682617,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,936359135.10541022,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_1,各为其主统貔貅，,942112859.09677982,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_5,靠山近水把管收。,943590344.5269686,0.0
lsxp-DaHeYi-SiLangTanMu.xml_5,弟兄们分别十五春，,947300513.86693919,0.0
lsxp-ZouYingLong-DaYanSong.xml_11,我本当金（哪）殿奏一本怎奈我官卑职小不能够参大臣。,950448910.37888825,0.3333333333333333
lseh-XuMaoGong-QinQiongFaPei.xml_1,文韬武略智谋高。,952749661.9050144,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,958808514.70970309,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,960556796.23011112,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_36,对天发不宏誓愿，,961760009.76139998,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_18,寻短（呃）哎见爹娘（呃）。,963194152.63968658,0.0
lsxp-DaHeYi-SiLangTanMu.xml_17,弟兄对坐叙寒温。,968841041.34871733,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_0,两国交锋龙虎斗，,971125224.50582337,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_0,张公道三十五六（哇）子有靠，,971306272.40258861,0.0
lsxp-YiShiWu-YuCangJian.xml_7,我与奸贼不共戴天！,979181464.6610806,0.1111111111111111
lsxp-WeiCengKai-QiYuanBao.xml_3,姓刘名安字世昌。,983248936.11687255,0.0
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,993424474.45080674,0.1111111111111111
lseh-XinZhongYou-WenZhaoGuan.xml_5,为何几日他不言，,996530605.45898485,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,996962293.03797925,0.1111111111111111
lsxp-ShenGongWu-LongFengChengXiang.xml_3,耳听笙歌闹喧哗。,1007366340.2338194,0.0
lsxp-DaHeYi-SiLangTanMu.xml_26,要见本帅为何情？,1009654180.2366818,0.0
sdxp-SuLongWei-WuJiaPo.xml_7,大嫂说话礼不端，,1017461371.8399881,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_7,夜夜何曾得安眠。,1018461333.6714256,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_7,夜夜何曾得安眠。,1018461333.6714256,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,1024203629.7404689,0.0
lseh-ZenNengGou-BaDaChui.xml_3,倒不如上公安观看古今。,1026886734.5199155,0.0
sdxp-WoHeNi-SiLangTanMu.xml_18,将身跪在地平川。,1028407432.2296163,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,1028801192.5501822,0.0
sdxp-SuLongWei-WuJiaPo.xml_6,为军的要人我是不要钱。,1031358681.9076802,0.2222222222222222
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,1032387402.0569619,0.2222222222222222
lsxp-QingGongYan-FaDongWu.xml_3,又谁知中途两离分。,1037251784.0232644,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_1,请先生到江边即刻登舟。,1039106977.2343439,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_27,鸡鸣犬吠五更（哪）天，,1045653325.035499,0.0
lsxp-YiShiWu-YuCangJian.xml_2,日月轮流催晓（哇）箭，,1046481286.4392159,0.0
lsxp-JiangShenEr-SanJiaDian.xml_15,叫一声解差把店役。,1051661983.0637088,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_22,一马双跨到西凉。,1053910421.4601421,0.1111111111111111
lsxp-CiShiJian-HuaiHeYing-2.xml_1,胡言乱语怎瞒（呐）咱！,1058946940.1092211,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_1,各为其（呀）主统貔貅。,1059741165.9512018,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_11,鸡鸣犬吠五更（呃）天，,1070918185.6255698,0.0
