白鹦鹉与仙鸟在灵岩神岘上下飞翔,0,白鹦鹉与仙鸟在灵岩神岘上下飞翔；
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,9965122.3279309459,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,9978930.9379101247,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,9989788.6227925289,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,9994200.8147648219,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,10002974.95938224,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,10036542.543230411,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,10040141.329693215,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_2,我不免去安排罗衾绣枕，,10041763.807298735,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,10060854.986025516,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,10068620.781018572,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,10069149.301493531,0.06666666666666667
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,10072692.638095349,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,10132918.851946998,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,10139754.631729355,0.13333333333333333
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,10157969.391421685,0.06666666666666667
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,10193825.268576942,0.06666666666666667
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,10196418.771441821,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,10235439.029385475,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,10238977.512277711,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,10268048.613139473,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,10268978.816222256,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,10272907.176146353,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,10278353.061251326,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,10292783.69426694,0.0
daxp-JiaoZhangSheng-HongNiang.xml_1,我步步行来你步步爬。,10306138.112427523,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,10344250.674227184,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,10346328.893745532,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,10349871.94262116,0.13333333333333333
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,10353589.839031084,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,10361201.702073522,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,10367336.378681213,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,10377224.285856465,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,10377236.457523512,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,10402176.235466748,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,10404723.580594884,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,10418486.360495524,0.0
daxp-ErTingDe-SuoLinNang.xml_3,莫不是强婚配鸦占鸾巢。,10475179.405665837,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,10480130.440513654,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,10482668.732517833,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,10489031.41598312,0.0
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,10493583.42019124,0.06666666666666667
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_5,恰便似嫦娥离月宫，,10497476.728153752,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,10516677.36578881,0.0
daxp-GuanShiYin-TianNvSanHua.xml_5,好似我散天花就纷落十方；,10517392.142747724,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,10522131.600873863,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,10523597.880863948,0.0
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,10530167.506772723,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,10543369.921175508,0.0
daxp-ChunQiuTing-SuoLinNang.xml_15,莫不是强婚配鸦占鸾巢？,10550805.89869285,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,10555854.38903005,0.0
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,10556482.653844586,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_5,待我来搀扶（哇）你重订鸳盟。,10568587.693346495,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,10588464.134891639,0.0
daxp-ZhiJianTa-WangJiangTing.xml_1,长吁短叹语声低。,10589561.099441996,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_4,原来是不耐烦已经睡困，,10593640.979018174,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,10606616.884711109,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,10624868.152715439,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,10629605.001991743,0.0
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,10633602.027360136,0.0
daxp-ErTingDe-SuoLinNang.xml_24,忙把梅香低声叫，,10658735.522869598,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_1,见玉兔（哇）玉兔又早东升。,10661895.225907572,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,10677933.825252915,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,10690574.600244533,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,10720903.898675211,0.0
daxp-ZheCaiShi-SuoLinNang.xml_3,残生一线付惊涛。,10770731.579913218,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,10771432.941338582,0.06666666666666667
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,10773206.441970134,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,10795537.513021283,0.06666666666666667
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,10798364.398041766,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,10805762.911913743,0.06666666666666667
daxp-ZheCaiShi-SuoLinNang.xml_2,回首繁华如梦渺，,10811192.393958034,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,10836063.512919134,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,10849089.181908911,0.0
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,10871531.664910888,0.0
daxp-ZheCaiShi-SuoLinNang.xml_4,柳暗花明休啼笑，,10879920.625163205,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,10935806.528904183,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,10937888.577234404,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,10963395.875569798,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,10969509.524979329,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,10974085.961995754,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,10975603.152962174,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,10996859.107671522,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,11012355.817195969,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,11015687.778896686,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,11032712.227723695,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,11050867.835117556,0.06666666666666667
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,11073445.333552595,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,11120046.705212155,0.0
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,11132133.920726856,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,11133093.121701682,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,11152776.216205606,0.0
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,11185163.130881563,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,11204511.672959913,0.06666666666666667
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,11222080.10165995,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,11256609.211115856,0.0
daxp-ZheCaiShi-SuoLinNang.xml_5,善果心花可自豪。,11264500.260257531,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,11282163.025385866,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,11286598.837656349,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,11299666.122712731,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,11299800.364533648,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,11330754.585581159,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,11363589.810563141,0.06666666666666667
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,11390712.322519207,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,11396755.244668076,0.06666666666666667
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,11397665.320961952,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,11404260.197392771,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,11460220.626621418,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,11501130.718514411,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,11513183.628777696,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,11526913.077712243,0.0
daxp-ChunQiuTing-SuoLinNang.xml_26,忙把梅香低声儿叫，,11550329.080857195,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,11558899.331534324,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,11559229.995176688,0.0
daxp-JiaoZhangSheng-HongNiang.xml_0,叫张生隐藏在棋盘之下，,11583433.911480341,0.13333333333333333
danbz-BeiJiuChan-ChunGuiMeng.xml_0,被纠缠陡想起婚时情景，,11585328.037382528,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,11598441.123025244,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,11606314.833870938,0.06666666666666667
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,11674743.343243556,0.06666666666666667
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,11707368.980547501,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,11738427.716544619,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,11745950.977064814,0.06666666666666667
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,11766868.824638123,0.06666666666666667
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,11768281.203353371,0.06666666666666667
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,11777316.591884147,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,11787216.444047173,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,11817747.761972005,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,11825556.693291292,0.06666666666666667
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,11828708.79302793,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,11885341.631224964,0.06666666666666667
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,11890739.227241933,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,11892784.015957704,0.0
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,11927302.335101143,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,11945222.149328481,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,11970405.206289468,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,11989436.67031114,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,12024291.460344251,0.0
daxp-GuanShiYin-TianNvSanHua.xml_7,催祥云驾瑞彩速赴佛场。,12027927.732525285,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,12032486.914690766,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,12070508.124888416,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,12072238.994530188,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,12097110.896263175,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,12243677.20008998,0.0
daxp-QiaoLouShang-HuangShanLei.xml_3,不知他在荒山何处安身。,12243915.912000822,0.06666666666666667
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,12279448.990824083,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,12308345.581025915,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,12336746.477763284,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,12345975.693345176,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,12367606.271446975,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,12371230.187072495,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,12379452.217276437,0.0
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,12392963.036443166,0.06666666666666667
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,12425568.12512644,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,12454639.937769305,0.06666666666666667
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,12476234.198095258,0.0
daxp-GuanShiYin-TianNvSanHua.xml_6,满眼中清妙景灵光万丈，,12534401.651146268,0.06666666666666667
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,12557811.062130418,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,12569136.823985159,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,12579048.173538474,0.0
daxp-XiRiLi-LongFengChengXiang.xml_1,今朝仙女会襄王。,12633254.2861898,0.06666666666666667
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,12639150.614603367,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,12794792.873376252,0.06666666666666667
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,12799427.708156403,0.0
danbz-KanDaWang-BaWangBieJi.xml_0,看大王在帐中和衣睡稳，,12806710.684250271,0.06666666666666667
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,12962392.308668928,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,13039999.035123665,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,13042709.939127255,0.06666666666666667
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,13098973.223457063,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,13115915.813277477,0.06666666666666667
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,13155495.074736934,0.06666666666666667
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,13218630.918427289,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,13246779.178780861,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,13246779.178780861,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,13289659.479231782,0.0
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,13396782.595656579,0.0
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,13418354.256888717,0.06666666666666667
daxp-XiShiNv-XiShi.xml_3,每日里浣纱去又傍清溪。,13462421.438691158,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,13477683.798912596,0.06666666666666667
daxp-XiRiLiang-LongFengChengXiang.xml_1,今朝仙女会襄王。,13495018.501489555,0.06666666666666667
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,13504787.119192751,0.0
daxp-ZheCaiShi-SuoLinNang.xml_0,这才是人生难预料，,13515706.913078992,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,13702615.913837671,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,13749011.003774151,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,13776498.734397648,0.0
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,13787029.158592146,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,13966870.853362765,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,14010540.567562455,0.06666666666666667
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,14065295.472096315,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,14217639.10653263,0.06666666666666667
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,14220076.487045176,0.06666666666666667
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,14297876.782542951,0.06666666666666667
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,14374938.36022534,0.0
daxp-ZhiJianTa-WangJiangTing.xml_2,何人来把书信寄？,14404344.812448224,0.0
daxp-ZhiJianTa-WangJiangTing.xml_3,害得儿夫犯焦急；,14468449.426454518,0.0
danbz-KanDaWang-BaWangBieJi.xml_1,我这里出帐外且散愁情。,14481502.956403986,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,14617141.509377871,0.06666666666666667
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,14719019.134453433,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,14724662.710119359,0.0
daxp-JiaoZhangSheng-HongNiang.xml_4,这也算是一段风流佳话，,14977532.318018585,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,14997391.163840506,0.0
sdxp-DangNianHan-SanJiZhang.xml_19,非是女儿言不逊，,15028111.059155738,0.0
daxp-DiTouLi-NvQiJie.xml_0,低头离了洪洞县，,15185212.198417574,0.0
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,15203624.130045803,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,15226692.949642725,0.06666666666666667
daxp-ZheCaiShi-SuoLinNang.xml_1,不想团圆在今朝。,15226692.949642725,0.06666666666666667
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,15288722.556075817,0.06666666666666667
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_4,皓月当空，,15325265.205002112,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,15325823.218508689,0.06666666666666667
sdxp-DangNianHan-SanJiZhang.xml_15,未央宫斩的是韩信，,15391043.055378787,0.0
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,15444985.376854397,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_1,算当初曾经得几晌温存。,15690493.108981993,0.0
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,15903964.101067005,0.0
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,15961464.675536359,0.0
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,15974442.804488305,0.0
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,15974442.804488305,0.06666666666666667
daxp-ErDeFu-HongNiGuan.xml_6,奴本当把关印付他执掌，,16037144.618238056,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,16103028.20892645,0.0
daxp-WoDeNiang-XinAnYi.xml_2,这几日身不爽心中烦闷，,16161095.641628776,0.0
daxp-ZhiJianTa-WangJiangTing.xml_4,莫不是平地风波起，,16381203.828646597,0.0
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,16569920.753285626,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,16593664.494760651,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,16679783.420366326,0.06666666666666667
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_3,乾坤分外明，,16722299.256720753,0.0
daxp-JiaoZhangSheng-HongNiang.xml_2,放大胆忍气吞声休害怕，,16778924.415259499,0.0
daxp-QiaoLouShang-HuangShanLei.xml_10,我不免引寒机伴奴坐等，,16798264.67130718,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_3,发奋自强日夜读诗文。,16846702.923800807,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,16927734.561970301,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_2,父道那薛平贵是那化郎模样，,17497412.971194882,0.0
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,17806752.762867384,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,17838785.888161093,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,18073088.868585426,0.06666666666666667
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,18141757.175986689,0.06666666666666667
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,18298717.017037056,0.06666666666666667
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,18516062.814053722,0.06666666666666667
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,19297071.876810797,0.0
daeh-SunShangXiang-BieHuangGong.xml_9,叹一声不由人珠泪涟涟。,22606955.258312043,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,25083406.114880037,0.06666666666666667
lsxp-QingGongYan-FaDongWu.xml_2,弟兄们创业多艰难，,932939487.99286604,0.0
lsxp-ZiGuDao-HuangHeLou.xml_4,今日主公把宴上，,949764814.07613361,0.06666666666666667
lsxp-CiShiJian-HuaiHeYing-2.xml_7,生死二字（喏）且由他！,974750570.61746109,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_5,右手再把栾布拉，,1062265929.6395693,0.0
sdxp-SuLongWei-WuJiaPo.xml_2,王丞相是我的主婚人（哪）。,1127989120.0417316,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_2,朝欢暮乐无牵挂，,1196140686.3390026,0.0
lsxp-ZheYiFeng-DingJunShan.xml_5,三通鼓刀出鞘四通（呃）鼓把兵交。,1215041912.7210934,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_3,满门的家着血染红。,1226684073.7163067,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,1267517448.6251891,0.0
sdxp-SuLongWei-WuJiaPo.xml_1,苏龙魏虎为媒证，,1276977769.9738085,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_1,各为其（呀）主统貔貅。,1285536341.1775389,0.0
sdxp-WoHeNi-SiLangTanMu.xml_10,怎奈我身在番难以过关。,1287853039.6805224,0.06666666666666667
lseh-TuZeiZuo-SouGuJiuGu.xml_0,屠贼做事心太狠，,1292266295.4107025,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_2,实指（惹）望到吴国借兵回转，,1318043476.3689291,0.0
lsxp-ZouYingLong-DaYanSong.xml_13,在品级台（呀）前臣见君。,1322118953.5260229,0.06666666666666667
lsxp-DaHeYi-SiLangTanMu.xml_11,我父令公官极品，,1337266737.8743622,0.0
lsxp-YiShiWu-YuCangJian.xml_3,靠山绿（哇）水常在面前。,1339846060.360954,0.06666666666666667
lseh-XiRiLi-BaoLianDeng.xml_15,打死个秦官保父不能担承。,1361839142.6107841,0.0
lsxp-ZiGuDao-HuangHeLou.xml_3,二将军保架过长江。,1382887417.7897551,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_1,翻来复去睡不安。,1391859409.843148,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_7,生死二字（喏）且由他。,1398299509.0814085,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_17,翻来覆去睡不（哇）安。,1425988395.8663037,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_2,为千岁懒把朝房走，,1431074942.0852859,0.0
lseh-YangYanZhao-PengBei.xml_0,杨延昭奉父命巡查大营，,1448232373.7798934,0.0
