想必是新婚度鹊桥,0,想必是新婚渡鹊桥，
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,8605487.4705875199,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,8606684.3452707622,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,8617033.1483994443,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,8620104.4211482219,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,8667685.9574481808,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,8674782.6009922363,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,8693049.760307489,0.125
danbz-KanDaWang-BaWangBieJi.xml_0,看大王在帐中和衣睡稳，,8694695.5103784297,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,8694788.3586454187,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,8702809.6184556,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_5,恰便似嫦娥离月宫，,8710158.5489527732,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,8713868.4619088154,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,8724762.5516750664,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,8802536.1354719307,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,8855496.4248009436,0.0
daxp-ZhiJianTa-WangJiangTing.xml_3,害得儿夫犯焦急；,8891132.7480395585,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,8897429.7087846734,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,8921305.2271509301,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,8922630.2142427545,0.0
daxp-ChunQiuTing-SuoLinNang.xml_26,忙把梅香低声儿叫，,8930852.9537681993,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,8944929.7722425237,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,8949265.2378199752,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,8965271.4546810091,0.125
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,8999206.0059711356,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,9026783.3645675424,0.125
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,9048469.6620774623,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,9072443.6264795233,0.0
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,9081156.6955033652,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,9084973.0272203088,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,9099202.3049827442,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,9099708.3204547036,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,9104367.4580435082,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,9113513.9486190174,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,9163672.5628034379,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,9172782.3490723055,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,9175109.1840065289,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,9187863.907290468,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,9210021.4660416134,0.125
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,9228382.2651186232,0.125
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,9228572.1590754893,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,9245290.3447762653,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,9247125.8047568072,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,9248178.4547443744,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,9248479.5167957228,0.0
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,9254077.9459587839,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,9283669.0315958057,0.0
danbz-KanDaWang-BaWangBieJi.xml_1,我这里出帐外且散愁情。,9288411.0751266256,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,9297359.472474454,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,9359985.7540249396,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,9386798.2333628349,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,9410748.9494964834,0.125
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,9410889.6970361136,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,9444512.3236276228,0.0
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,9449917.7548253275,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,9482160.742410386,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,9513546.8144495226,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,9518349.131095469,0.0
daxp-ZhiJianTa-WangJiangTing.xml_1,长吁短叹语声低。,9525995.6647867467,0.0
daxp-GuanShiYin-TianNvSanHua.xml_4,绿柳枝酒甘露三千界上，,9527062.9439515024,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_0,被纠缠陡想起婚时情景，,9540927.4665813614,0.25
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,9541931.3600514233,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,9569642.4168905709,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,9582149.1685502045,0.125
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,9589425.8110882416,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,9609914.7199282106,0.125
daspd-DuShouKong-WangJiangTing.xml_2,孀居愁苦泪洗面，,9612114.2641114481,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,9613645.9997350276,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,9620694.0975106917,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,9623218.0303588994,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,9626466.9097487498,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,9648284.8122294545,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,9658532.8348310292,0.125
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,9678863.487789087,0.125
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,9762849.0577482264,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,9792192.8450017422,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,9797131.5976128615,0.125
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,9837776.7735657822,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_0,海岛冰轮初转腾；,9864843.8749345317,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,9881145.5397503115,0.0
daxp-GuanShiYin-TianNvSanHua.xml_6,满眼中清妙景灵光万丈，,9887915.1260062978,0.0
daxp-QiaoLouShang-HuangShanLei.xml_3,不知他在荒山何处安身。,9926491.6025759745,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,9978560.4990770295,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,10010805.854906505,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,10033082.04787378,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,10080987.013653737,0.125
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,10085421.25254995,0.125
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,10091670.999469342,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,10152886.016321387,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,10156828.626721608,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,10166441.96663213,0.125
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,10198831.422463505,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,10259908.374324217,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,10280717.2483906,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,10286377.895626064,0.125
daxp-JiaoZhangSheng-HongNiang.xml_3,这件事倒叫我心乱如麻。,10349476.080157846,0.0
daxp-JiaoZhangSheng-HongNiang.xml_2,放大胆忍气吞声休害怕，,10356815.96526685,0.0
daxp-ZheCaiShi-SuoLinNang.xml_3,残生一线付惊涛。,10396763.791247116,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,10446419.213914398,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,10459746.592916405,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,10465447.641373966,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,10476301.664728532,0.125
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,10508483.249961073,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,10563719.359416027,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,10565692.198471228,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,10621008.044505296,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_4,皓月当空，,10644032.587938869,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,10678543.063694211,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,10694527.2210306,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,10716297.512289889,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,10739607.057912402,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,10816212.59210863,0.0
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,10828032.290811682,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,10888523.656520786,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,10891160.002247861,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,10960151.644172058,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,10963994.17447727,0.125
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,10982125.42045508,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,11043303.482984308,0.125
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,11045556.98456347,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,11052108.735171486,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_3,乾坤分外明，,11054214.107176671,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,11056654.245994873,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,11068216.866644947,0.125
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,11120043.819393134,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,11122033.736192221,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,11164964.495829804,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,11202655.254266867,0.125
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,11235945.033976194,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,11321803.937494751,0.125
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,11324717.597270736,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,11346966.489398587,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,11437803.959439937,0.0
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,11441269.529415967,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,11521804.084176676,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,11523671.101131508,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,11562911.957285386,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,11569955.257818656,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,11633326.60218153,0.0
daxp-JiaoZhangSheng-HongNiang.xml_5,听号令且莫要惊动了她。,11677701.729342159,0.0
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,11683326.957199758,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,11690386.950162906,0.125
daxp-GuanShiYin-TianNvSanHua.xml_7,催祥云驾瑞彩速赴佛场。,11842098.656452868,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,11867077.906573676,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,11878846.157618407,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,11911665.721389169,0.125
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,11940627.071902739,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,11968181.577055866,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,11982339.653611131,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,12082343.673028028,0.125
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,12097542.170791319,0.125
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,12107227.191765336,0.0
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,12152664.667454557,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,12152791.60593459,0.0
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,12190626.92379462,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,12231301.837696638,0.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,12266099.471349886,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,12299629.035980361,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,12313820.467234619,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,12361236.290513251,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,12373870.185396528,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,12380467.320155395,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,12422678.50487487,0.0
daeh-TanHongYan-HuoXiaoYu.xml_1,美满姻缘付东流。,12553404.319913572,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,12624113.782294799,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,12641396.673404686,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,12669259.906027822,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,12776667.288674718,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_1,算当初曾经得几晌温存。,12790683.869409572,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,12795167.457764741,0.0
daxp-GuanShiYin-TianNvSanHua.xml_0,观世音满月面珠开妙相，,12822353.222259106,0.0
daxp-JiaoZhangSheng-HongNiang.xml_0,叫张生隐藏在棋盘之下，,12870234.461287577,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,12963008.50234049,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,13110407.429894553,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,13133773.807276811,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,13261436.916632259,0.0
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,13400152.39522592,0.0
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,13503961.863718169,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,13515888.477628291,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,13522294.716624219,0.0
daxp-ErTingDe-SuoLinNang.xml_3,莫不是强婚配鸦占鸾巢。,13633001.567461019,0.25
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,13695468.767769109,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,13725524.848402821,0.0
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,13743801.532349419,0.125
daxp-ChunQiuTing-SuoLinNang.xml_15,莫不是强婚配鸦占鸾巢？,13775835.490199806,0.25
daxp-WoDeNiang-XinAnYi.xml_2,这几日身不爽心中烦闷，,13817244.616841134,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,13865165.765715789,0.125
daxp-XiRiLi-LongFengChengXiang.xml_1,今朝仙女会襄王。,13933668.811287411,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,14033870.814957855,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,14170092.504284011,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,14250870.350795541,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,14268356.486173857,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,14271526.26489003,0.125
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,14376606.840235613,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,14533455.242511846,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,14575878.01157053,0.125
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,14691144.538875017,0.0
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,14833707.00576877,0.25
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,14904538.633539835,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,15158634.442604152,0.0
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,15420655.898209652,0.125
daxp-XiShiNv-XiShi.xml_3,每日里浣纱去又傍清溪。,15747100.497191971,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,15849380.660102677,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,16006292.503939426,0.0
daxp-ZheCaiShi-SuoLinNang.xml_0,这才是人生难预料，,16160371.931319552,0.125
daeh-SunShangXiang-BieHuangGong.xml_9,叹一声不由人珠泪涟涟。,16393397.303329401,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_3,发奋自强日夜读诗文。,16470447.98573241,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,16519842.584788529,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,16564181.532592999,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,16634981.772320876,0.0
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,17063802.038724206,0.0
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,17068697.51299068,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_1,今朝仙女会襄王。,17094202.582098369,0.0
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,17447488.925772205,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,17629168.820776165,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,17629168.820776165,0.0
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,18611054.53452611,0.0
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,19027809.522413738,0.0
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,19138795.056747958,0.0
daxp-ErDeFu-HongNiGuan.xml_6,奴本当把关印付他执掌，,19176989.54565312,0.0
sdxp-DangNianHan-SanJiZhang.xml_15,未央宫斩的是韩信，,19557019.662311077,0.125
daeh-ZiNaRi-ZhuangYuanMei-1.xml_10,但愿得令公令婆别无异见，,19613759.243327588,0.0
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,19729264.574305549,0.125
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,19844309.882573415,0.0
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,19844309.882573415,0.125
daxp-DiTouLi-NvQiJie.xml_0,低头离了洪洞县，,21112047.442896068,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_2,父道那薛平贵是那化郎模样，,22468501.409021553,0.125
sdxp-DangNianHan-SanJiZhang.xml_19,非是女儿言不逊，,22817220.013874419,0.125
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,22929267.462041844,0.0
daxp-QiaoLouShang-HuangShanLei.xml_10,我不免引寒机伴奴坐等，,29068276.729972303,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_35,父母的冤仇化尘烟，,105470846.63113943,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_0,屠贼做事心太狠，,113953977.06398349,0.0
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,116944291.84185842,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_18,观此贼睡卧真（呐）潇洒，,119367618.07509872,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_34,寻短（哪）哎见爹娘（兀）！,125409252.0476398,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_16,心中有事难合眼，,126229825.2747713,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_1,胡言乱语怎瞒（呐）咱。,126579434.91463889,0.0
sdxp-WoHeNi-SiLangTanMu.xml_6,有一桩心腹事不敢明言。,126902574.28324392,0.0
lsxp-DaHeYi-SiLangTanMu.xml_14,失落番邦被贼擒。,128375941.64900962,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_19,父母的冤仇化尘烟，,128957968.14786717,0.0
sdxp-DangNianHan-SanJiZhang.xml_4,仙女嫁的又是何人？,131687311.21839893,0.125
lsxp-DaHeYi-SiLangTanMu.xml_6,怎知今日回宋营。,132594722.54370514,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_20,对天发下宏誓愿，,132663342.70964243,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_36,对天发不宏誓愿，,133860456.70936197,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_0,心中有事难合眼，,134911203.0310908,0.0
sdxp-SuLongWei-WuJiaPo.xml_18,我与你露水的夫妻就过几年（呐）。,140858955.16407868,0.0
sdxp-WoHeNi-SiLangTanMu.xml_2,贤公主又何必过于谦言。,142478778.05036321,0.125
lseh-ZenNengGou-BaDaChui.xml_3,倒不如上公安观看古今。,145292893.95571095,0.0
lsxp-JianMaSu-ZhanMaSu.xml_1,不由老夫咬钢牙，,146606840.52182722,0.0
sdxp-SuLongWei-WuJiaPo.xml_17,买绫罗与绸缎、打首饰和簪环，,147534449.44512191,0.0
lsxp-DaHeYi-SiLangTanMu.xml_28,原来四哥回宋营。,148024460.29367447,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,148221036.1997976,0.0
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,148323180.34528524,0.0
lsxp-DaHeYi-SiLangTanMu.xml_24,你是番邦什么人？,148682479.55583513,0.125
lseh-XuMaoGong-QinQiongFaPei.xml_3,缘何不救我出笼牢。,148910577.195494,0.0
sdxp-DangNianHan-SanJiZhang.xml_2,未央宫斩的是何人？,150927654.18306607,0.125
lsxp-ZouYingLong-DaYanSong.xml_8,上面坐的是有道君，,154303779.9755567,0.125
lsxp-ShenGongWu-LongFengChengXiang.xml_2,朝欢暮乐无牵挂，,155170285.06664136,0.0
sdxp-SuLongWei-WuJiaPo.xml_6,为军的要人我是不要钱。,156432601.13546658,0.125
lseh-ZiNaRi-HongYangDong.xml_7,去了我左右膀难以飞行。,156830316.69064894,0.0
lsxp-ZheYiFeng-DingJunShan.xml_8,三军与（呀）爷归营号，,161654591.42067179,0.0
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,161830131.74698254,0.0
lsxp-ZouYingLong-DaYanSong.xml_11,我本当金（哪）殿奏一本怎奈我官卑职小不能够参大臣。,162107469.29503676,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,163370546.72226498,0.0
