愿邦家从此后国泰民安,0,愿邦家从此后国泰民安。
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,13693522.043345137,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,13702252.930360422,0.1
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,13715619.686998939,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,13721498.343551591,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,13748989.176646801,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,13765028.200885523,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,13822619.490380665,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,13827533.967769865,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,13847812.019721167,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,13945058.909203621,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,13945058.909203621,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,13990114.905044544,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,14007309.439103888,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,14015740.4926179,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,14035899.251372438,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,14064059.730695058,0.1
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,14102696.697154304,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,14160648.696280852,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,14235650.017744012,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,14242317.011702092,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,14250427.104489598,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,14416531.677221537,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,14476758.208606457,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,14527386.241844749,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,14537061.06127758,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,14543419.584775096,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,14637811.873837449,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,14638195.627833832,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,14721079.512538252,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,14757276.987121254,0.1
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,14806501.560721569,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,14839271.595903793,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,14904833.309941448,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,14909161.725458659,0.0
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,14913655.657677861,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,15084576.630491907,0.1
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,15122015.201076513,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_10,但愿得令公令婆别无异见，,15197068.076723495,0.1
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,15220007.474742228,0.1
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,15243183.49997054,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,15254817.736213224,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,15271248.183331357,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,15289591.477247501,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,15298565.612443311,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,15339252.888856687,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,15354038.186315238,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,15384385.489227813,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,15447499.125011221,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,15483352.615219284,0.1
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,15513675.880022572,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,15523913.571823699,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,15587184.162955802,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,15706395.002136402,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,15711843.643151194,0.2
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,15796128.292279111,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,15803188.085732982,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,15803188.085732982,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,15829564.6399191,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,15935122.198911376,0.0
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,16015419.173853969,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,16058364.574235527,0.1
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,16093829.013160242,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,16169034.521965656,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,16177627.089823462,0.0
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,16233736.846721759,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,16294844.222896023,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,16336112.093709169,0.0
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,16362497.080572929,0.0
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,16399305.47029314,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,16400028.184273416,0.1
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,16495231.605989791,0.0
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,16519344.698720252,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,16556132.341553897,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,16579138.28155178,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,16618340.818243217,0.2
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,16646831.686323265,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,16722523.770675955,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,16782218.71585973,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,16838196.328991164,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,16864235.49657641,0.1
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,16971428.889063369,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,17005620.868272953,0.0
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,17086920.954239633,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,17114264.715085436,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,17166426.624232881,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,17232797.122184645,0.0
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,17316566.172492031,0.1
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,17364533.200977288,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,17382044.940477375,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,17475333.620595232,0.1
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,17503792.632469658,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,17546012.439964589,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,17569075.562188439,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_2,父道那薛平贵是那化郎模样，,17728933.449819501,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,17800763.599784307,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,17841687.653815337,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,17896390.630679391,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,18001773.437446594,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,18045945.031327769,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,18172544.989516746,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,18185075.710195627,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,18244865.223863449,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,18360946.74481488,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,18589872.688988723,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,18683609.442127239,0.0
daeh-TanHongYan-HuoXiaoYu.xml_1,美满姻缘付东流。,18795357.678795505,0.0
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,18854325.673240948,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,18856926.567725886,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,19158966.146453623,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,19288678.423255604,0.1
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,19389022.501830667,0.1
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,19459368.520668607,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,19578077.950929154,0.1
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,19688663.740696881,0.1
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,19706953.885487657,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,19747535.857036062,0.0
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,19800598.493128117,0.0
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,19864474.655569501,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,19992238.219648674,0.0
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,20235073.385768801,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,20354829.974029273,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,20362753.416179132,0.0
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,20383431.851244722,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,20389487.480591994,0.0
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,20437004.932788566,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,20653263.193636481,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,20680887.542723142,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,20889829.725822542,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,20935157.440200698,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,21049176.39150982,0.0
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,21418940.887125462,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,21447702.93220989,0.0
daxp-XiShiNv-XiShi.xml_3,每日里浣纱去又傍清溪。,21454403.997871418,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,21461623.841265965,0.1
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,21725402.733929526,0.0
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,21830821.989413407,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,21986085.656914409,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,22495912.542906191,0.1
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,22516675.916770168,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,22601110.121977452,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,22673515.969227541,0.0
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,22695442.470530618,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,22804348.435659692,0.1
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,23425091.545740783,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,23522412.068651278,0.0
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,23526040.77162341,0.0
daxp-QiaoLouShang-HuangShanLei.xml_3,不知他在荒山何处安身。,23757928.57638856,0.1
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,23916851.398996606,0.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,24019026.383188214,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,24070934.120128989,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,24073755.289568923,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,25760664.536816884,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,25760664.536816884,0.0
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,26404584.827129319,0.0
daxp-ErTingDe-SuoLinNang.xml_24,忙把梅香低声叫，,26470787.567629542,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,26847417.875640258,0.0
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,26922429.230781987,0.0
sdxp-DangNianHan-SanJiZhang.xml_19,非是女儿言不逊，,26928249.453103665,0.0
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,27008205.658444714,0.0
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,27531774.958820004,0.0
daxp-ChunQiuTing-SuoLinNang.xml_26,忙把梅香低声儿叫，,27685665.230343658,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,28389151.092203222,0.1
daxp-XiRiLi-LongFengChengXiang.xml_1,今朝仙女会襄王。,29110532.823338598,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,29252831.06666128,0.0
daxp-WoDeNiang-XinAnYi.xml_2,这几日身不爽心中烦闷，,30057114.628003929,0.0
daxp-ChunQiuTing-SuoLinNang.xml_15,莫不是强婚配鸦占鸾巢？,30544441.239185471,0.0
daxp-DiTouLi-NvQiJie.xml_0,低头离了洪洞县，,31075784.64680104,0.0
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,31401736.744101115,0.0
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,31401736.744101115,0.0
daxp-ErTingDe-SuoLinNang.xml_3,莫不是强婚配鸦占鸾巢。,31403428.404045962,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_0,恨平王无道乱楚宫（兀），,31940830.691397179,0.0
daxp-QiaoLouShang-HuangShanLei.xml_10,我不免引寒机伴奴坐等，,31998351.085367415,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_1,今朝仙女会襄王。,33352187.905230001,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_3,发奋自强日夜读诗文。,37927772.482570291,0.0
daxp-ErDeFu-HongNiGuan.xml_6,奴本当把关印付他执掌，,37991607.157639369,0.0
sdxp-DangNianHan-SanJiZhang.xml_15,未央宫斩的是韩信，,38533706.393910192,0.0
lseh-LaoZhangBu-WuPenJi.xml_7,望求老丈把冤伸。,41281682.410559341,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,41387643.592953607,0.0
lseh-YangYanZhao-PengBei.xml_5,又恐怕惊动了年迈之人。,41621068.204493381,0.0
lsxp-YiShiWu-YuCangJian.xml_2,日月轮流催晓（哇）箭，,44720531.28011889,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_1,诬杀赵家一满门。,44855461.003873564,0.1
lsxp-JiangShenEr-SanJiaDian.xml_6,舍不得太爷的恩情厚，,44932312.454386592,0.0
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,47522981.665745094,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_3,叫人难解巧机关。,47608897.076167919,0.0
lsxp-DaHeYi-SiLangTanMu.xml_20,见一番汉帐中行。,48909725.672081843,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_19,叫人难解巧机关，,48958198.875972956,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_5,靠山近水把营收。,49540198.469953761,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_5,靠山近水把管收。,50754826.461316995,0.0
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,51086608.879126348,0.0
sdxp-SuLongWei-WuJiaPo.xml_21,为军起下不良的意呀，,51725629.372652151,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,51820198.491166078,0.0
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,54025964.183250166,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_1,背转身自埋怨我自（呃）已做差。,54441277.785921261,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_1,背转身只埋怨我自（呃）己作差，,54441277.785921261,0.0
lsxp-YiShiWu-YuCangJian.xml_0,一事无成两鬓斑，,54818232.315755174,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_15,扬尘舞蹈见大王。,55364930.827074289,0.0
sdxp-WoHeNi-SiLangTanMu.xml_3,杨廷辉有一日愁眉得展，,55531133.624744713,0.0
sdxp-WoHeNi-SiLangTanMu.xml_8,我的娘押粮草来到北番。,56158167.619926162,0.0
sdxp-WoHeNi-SiLangTanMu.xml_9,我有心回宋营见母一面，,56927268.257301658,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_2,在长安是你夸大话，,57026334.130069554,0.1
lseh-YiLunMing-ZhuoFangCao-2.xml_9,年迈老丈命染黄沙。,57233689.436308011,0.0
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,57386710.280570835,0.0
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,57684149.291573718,0.0
sdxp-SuLongWei-WuJiaPo.xml_22,一马双跨到西凉。,57996969.215342522,0.0
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,58017475.238340817,0.0
lsxp-DaHeYi-SiLangTanMu.xml_13,十五年前沙滩会，,58560516.487760074,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_6,又谁知此贼的疑心太大，,58803175.851889476,0.1
lseh-NiangZiBu-SouGuJiuGu.xml_9,来年必定降麒麟。,59190438.168912709,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_7,拔出剑将他的满门杀，,59469562.779040202,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_5,为何几日他不言，,60270921.284489177,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_9,我也曾约法定过三章。,60394504.087146655,0.0
lsxp-ZouYingLong-DaYanSong.xml_3,偶遇见小小的顽童放悲声，,60466412.429195225,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_5,眼睁（呐）睁有何人去（呀）把纸烧。,60533320.243241176,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,60772098.634401046,0.1
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,60881872.196796365,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_21,为何几日他不言。,61011466.162284449,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,61934256.717145652,0.1
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,62357388.328569092,0.0
lsxp-YiShiWu-YuCangJian.xml_4,恨平王无道纲常乱，,62548436.912946351,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_3,为千岁懒观五凤楼。,62801564.21059572,0.0
lseh-XiRiLi-BaoLianDeng.xml_12,为父的怎比得孤竹君，,62854883.634437703,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_7,拔出剑将他的满门杀，,63051012.695508473,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,63061082.747934006,0.2
lseh-YiLunMing-WenZhaoGuan-1.xml_20,若是真心来救我，,63087556.285628021,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_4,若是真心来救我，,63087556.285628021,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,63205595.414251499,0.0
lseh-ZiNaRi-HongYangDong.xml_4,二次（喏）里命孟良番营来进，,63427249.674240917,0.0
lseh-LaoZhangBu-WuPenJi.xml_3,我本屈死一鬼魂。,63952940.427251786,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_11,我好比龙游在浅沙滩。,63955841.188759603,0.0
lsxp-QingGongYan-FaDongWu.xml_3,又谁知中途两离分。,64925176.258382685,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,65003326.894664191,0.0
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,65047369.425773486,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_12,无奈何我只得双（呃）膝跪，,65093601.26147154,0.0
lseh-JinZhongXiang-ShangTianTai.xml_5,又听得殿角下大放悲声。,65501621.996466331,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_3,两路分（呐）兵定咸阳。,65810188.722188301,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_6,又谁知此贼的疑心（呐）太（呀）大，,66180331.906815268,0.1
lsxp-DaHeYi-SiLangTanMu.xml_19,本帅帐中用目睁，,66227201.417730242,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_9,年迈的老丈命（呐）染黄沙。,66433302.861675605,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_12,今日里萧何荐良将，,66662918.865495875,0.0
lsxp-YiShiWu-YuCangJian.xml_9,行至在昭关有阻拦。,66700658.789531246,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_14,朝臣待漏五更寒。,66919693.163458876,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,67239331.407060459,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,67335978.94218193,0.0
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,68060672.364502713,0.0
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,68166250.209773257,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,68689968.82654953,0.1
lsxp-ZouYingLong-DaYanSong.xml_8,上面坐的是有道君，,69317608.489547744,0.0
lsxp-DaHeYi-SiLangTanMu.xml_17,弟兄对坐叙寒温。,69554477.570501715,0.0
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,69873779.405064046,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,69933727.930150107,0.0
lsxp-JiangShenEr-SanJiaDian.xml_3,二不是歹人（呐）把城偷。,70401296.095164061,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_6,一连几天我的眉不（哇）展，,70493544.202155486,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_5,杀猪（喏）沽（哇）酒款待于他，,71170662.973377645,0.0
lsxp-DaHeYi-SiLangTanMu.xml_5,弟兄们分别十五春，,71215499.324905843,0.0
lseh-XiRiLi-BaoLianDeng.xml_6,弟让兄来兄不能应（呐）允，,71240962.552307233,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_5,右手再把栾布拉。,71540754.972270846,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,71724131.403989002,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_25,险些儿把事（喏）又（哇）作差。,71843426.97249712,0.0
lsxp-JiangShenEr-SanJiaDian.xml_0,将身儿来至在大街口，,71845091.943688124,0.0
sdxp-DangNianHan-SanJiZhang.xml_6,句句话儿伤父心。,72476809.130400673,0.0
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,72531479.450218275,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_10,项羽不遵怀王约，,72673505.028196439,0.0
lsxp-ZheYiFeng-DingJunShan.xml_2,站立在营门三军叫，,72753136.209571376,0.0
lsxp-JiangShenEr-SanJiaDian.xml_12,儿想娘亲难叩首，,72759163.290610194,0.0
lseh-ZenNengGou-BaDaChui.xml_1,前后话对文龙细说衷情。,72824638.096040756,0.1
lsxp-WoBenShi-KongChengJi-1.xml_3,算就了汉家的业鼎足哇三分。,73091854.328056321,0.1
