百姓们闺房乐如花美眷,0,百姓们闺房乐如花美眷，
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,10760180.104673494,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,10771961.992373236,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,10776508.918650206,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,10795939.424128423,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,10814598.450734023,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,10869781.268059257,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,10896752.556862844,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,10899425.807238335,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,10907973.324624257,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,10937460.336360177,0.1
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,10951578.798162259,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_2,父道那薛平贵是那化郎模样，,10959291.188404931,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,10977937.198478665,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,10993025.488257509,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,11005647.701115198,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_10,但愿得令公令婆别无异见，,11034327.970031822,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,11056166.346041065,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,11106261.201446518,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,11116954.866819413,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,11129565.519812208,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,11259128.583824629,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,11277877.494809426,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,11298959.205221672,0.0
daxp-ErTingDe-SuoLinNang.xml_3,莫不是强婚配鸦占鸾巢。,11365627.18424568,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,11388488.523581007,0.0
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,11442182.328843273,0.0
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,11456080.222436853,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,11479418.000035761,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,11484101.100572214,0.0
daxp-ChunQiuTing-SuoLinNang.xml_15,莫不是强婚配鸦占鸾巢？,11488947.734585164,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,11497419.715685736,0.1
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,11569023.58970464,0.1
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,11588624.726545453,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,11644259.158056252,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,11659333.349365432,0.0
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,11677082.889217306,0.1
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,11681495.97941532,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,11719097.146014098,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,11737095.881591849,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,11747623.387456026,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,11773339.33772444,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,11790213.831432292,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,11841639.835896125,0.0
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,11870628.758881433,0.0
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,11890817.939823959,0.1
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,11906146.790883221,0.1
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,11942258.67194137,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,11951359.997752408,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,11954323.860373216,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,11985016.060327578,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,12028718.917583894,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,12076400.238970807,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,12076991.318482932,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,12077995.378178349,0.0
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,12099454.187291168,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,12151541.930663727,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,12209136.306441111,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,12236445.204673845,0.1
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,12266017.915326251,0.0
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,12266017.915326251,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,12267688.795490474,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,12279647.930003548,0.1
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,12307384.081226449,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,12312452.54221287,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,12315777.861769376,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,12364254.530395858,0.0
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,12438673.755316202,0.1
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,12455942.153987018,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,12461719.32947458,0.0
sdxp-DangNianHan-SanJiZhang.xml_19,非是女儿言不逊，,12498496.877180273,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,12507272.695904944,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,12522604.455433998,0.0
daxp-WoDeNiang-XinAnYi.xml_2,这几日身不爽心中烦闷，,12523569.365396595,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,12531510.895973327,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,12561659.926106658,0.1
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,12610226.930749021,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,12801173.250834651,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,12828929.831232667,0.1
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,12872790.637788054,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,12951999.022794943,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,13062798.081662182,0.1
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,13074699.084370697,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,13130493.533912187,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,13159817.542602059,0.1
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,13195138.143445475,0.0
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,13197535.460358325,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,13226990.8056645,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,13360509.728570543,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,13420366.01249769,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,13422218.90801101,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,13470091.286896629,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,13473688.747082632,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,13512078.030514747,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,13513457.033013385,0.1
daxp-XiRiLi-LongFengChengXiang.xml_1,今朝仙女会襄王。,13546564.18775852,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,13567598.872102579,0.0
daxp-QiaoLouShang-HuangShanLei.xml_3,不知他在荒山何处安身。,13568386.155344578,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,13585787.060065875,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,13734683.007876286,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,13757526.737464156,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,13767515.416092502,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,13855113.142952571,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,13962090.253281351,0.0
daxp-DiTouLi-NvQiJie.xml_0,低头离了洪洞县，,14012107.052386843,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,14026326.610029772,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,14078910.726172404,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,14296889.513199156,0.1
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,14494587.82852963,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_1,今朝仙女会襄王。,14515564.337461723,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,14677406.020683175,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,14726362.618838683,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,14767708.441430146,0.0
daxp-ErDeFu-HongNiGuan.xml_6,奴本当把关印付他执掌，,14792400.889840245,0.0
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,14854189.912728073,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,14917649.946511764,0.0
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,14920381.031008709,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,14933379.692739131,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,14980734.956603162,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,15048051.411861805,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,15048672.985775487,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,15060141.446548957,0.0
daxp-QiaoLouShang-HuangShanLei.xml_10,我不免引寒机伴奴坐等，,15067494.218410499,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,15131296.648239827,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,15134761.450788874,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,15262279.263256855,0.0
daeh-TanHongYan-HuoXiaoYu.xml_1,美满姻缘付东流。,15336608.455120733,0.1
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,15413408.162923625,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,15448565.612758502,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,15459988.153290076,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,15534271.501832258,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,15542882.487670489,0.1
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,15546708.020577904,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,15555392.41782479,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,15572325.546575634,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,15575088.907003531,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,15647209.864147801,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,15671698.160527017,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,15827187.096720511,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,15916095.253250157,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,16368015.514790002,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,16376628.196144681,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,16470338.52116462,0.0
daxp-XiShiNv-XiShi.xml_3,每日里浣纱去又傍清溪。,16505711.050167767,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,16536198.455995148,0.1
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,16654396.651325395,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,16772421.751141693,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,16964595.855561212,0.2
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,17312726.660586625,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,17797697.784143366,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,18180251.336514574,0.1
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,18254437.761510495,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_3,发奋自强日夜读诗文。,18638880.089342754,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,18666665.026887912,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,18677453.242468596,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,18689650.255318727,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,19126375.287857465,0.0
sdxp-DangNianHan-SanJiZhang.xml_15,未央宫斩的是韩信，,19314391.461850114,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,19605456.227241289,0.1
daxp-ErTingDe-SuoLinNang.xml_24,忙把梅香低声叫，,19777327.058333982,0.0
daxp-ChunQiuTing-SuoLinNang.xml_26,忙把梅香低声儿叫，,19817363.407101788,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,19942497.844343495,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,19985059.685030896,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,20093972.274776578,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,20128211.057244517,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,20144167.306492731,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,20246776.754592735,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,20529056.755295932,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,20536029.897059757,0.0
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,20613798.436094668,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,20837714.326328833,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,20843925.844554037,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,20873796.226038728,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,21810313.646230403,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,22098700.047886584,0.0
daeh-SunShangXiang-BieHuangGong.xml_9,叹一声不由人珠泪涟涟。,40467660.199267626,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_2,今日里斩宗保娘把儿怪，,1816556953.7172723,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_18,观此贼睡卧真（呐）潇洒，,1818058964.673955,0.0
lsxp-ZheYiFeng-DingJunShan.xml_2,站立在营门三军叫，,1840671221.1801338,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_2,管带三（呐）军要宽厚，,1844175553.970561,0.0
lseh-YangYanZhao-PengBei.xml_4,我本当将此事对他来论，,1972174542.4313941,0.0
lsxp-WeiCengKai-QiYuanBao.xml_4,奉母命京城往，,1982441929.7755427,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_6,舍子搭救忠（呃）良的后，,2042438449.5978043,0.0
sdxp-SuLongWei-WuJiaPo.xml_13,腰中取出银一锭，,2071428844.6139953,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_1,我也曾平服了塞北西东。,2087651486.7650149,0.0
lseh-ZiNaRi-HongYangDong.xml_9,因此上臣的病重（呃）加十分、千岁爷呀！,2107637653.4793034,0.0
sdxp-SuLongWei-WuJiaPo.xml_1,苏龙魏虎为媒证，,2114453525.3015983,0.0
lsxp-ZouYingLong-DaYanSong.xml_0,忽听得万岁宣应龙，,2123007196.6542079,0.0
lsxp-WoBenShi-KongChengJi-1.xml_0,我本是卧龙岗散淡哪的人，,2124268634.9621344,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_0,深宫无（哇）处不飞花，,2125999846.709806,0.1
sdxp-WoHeNi-SiLangTanMu.xml_17,公主叫我盟誓愿，,2137455845.005502,0.0
lsxp-DaHeYi-SiLangTanMu.xml_7,将身站在了阶前等，,2139302083.2370052,0.0
lsxp-WoBenShi-KongChengJi-2.xml_0,我本是卧龙岗散淡（呐）的人，,2145887062.3784628,0.0
lseh-LaoZhangBu-WuPenJi.xml_2,休把我当作了妖魔论，,2171991397.366178,0.0
lsxp-DaHeYi-SiLangTanMu.xml_9,家住后山磁州郡，,2175186594.0653701,0.0
lsxp-DaHeYi-SiLangTanMu.xml_11,我父令公官极品，,2256964128.9368181,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_8,一路上秋毫无犯军威壮，,2266136981.0860071,0.0
lsxp-DaHeYi-SiLangTanMu.xml_21,龙行虎步非凡等，,2285089233.5194893,0.0
sdxp-DangNianHan-SanJiZhang.xml_1,登台拜帅是韩信，,2336276499.2481971,0.0
lsxp-DaHeYi-SiLangTanMu.xml_10,火堪寨上有家门。,2353337776.9457359,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_1,胡言乱语怎瞒（呐）咱。,2402964882.3906426,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_11,鸡鸣犬吠五更（呃）天，,2413146413.05301,0.0
lsxp-ZouYingLong-DaYanSong.xml_3,偶遇见小小的顽童放悲声，,2425443573.2980595,0.0
lsxp-WoBenShi-KongChengJi-2.xml_6,周文王访姜尚周室大振，,2425556494.1852732,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_27,鸡鸣犬吠五更（哪）天，,2432111643.2780724,0.0
lsxp-WeiCengKai-QiYuanBao.xml_1,尊一声太爷听端详。,2464036032.6072993,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_2,悔不该心猿并意马，,2504499479.5055704,0.0
sdxp-WoHeNi-SiLangTanMu.xml_5,非是我这几日愁眉不展，,2540125473.2342439,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_1,我也曾平服了塞北西东。,2543987196.0110698,0.0
sdxp-WoHeNi-SiLangTanMu.xml_10,怎奈我身在番难以过关。,2552054496.2626534,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_2,朝欢暮乐无牵挂，,2563368622.4885473,0.1
lsxp-DaHeYi-SiLangTanMu.xml_28,原来四哥回宋营。,2565366451.374321,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_0,两国交锋龙虎斗，,2571026654.4455328,0.0
lseh-WeiKaiYan-RangXuZhou.xml_0,未开言不由人（呐）珠泪滚滚，,2580428418.6706896,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_14,思来想去我的肝肠断，,2581499219.9784536,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_11,我好比龙游在浅沙滩。,2606873332.0077963,0.0
sdxp-DangNianHan-SanJiZhang.xml_3,小奴才真个不孝顺，,2608832108.1862392,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_17,翻来覆去睡不（哇）安。,2621568621.5525484,0.0
sdxp-SuLongWei-WuJiaPo.xml_14,将银放在地平川。,2666625624.8112998,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_1,翻来复去睡不安。,2668561278.7854867,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,2668821696.5908833,0.0
lsxp-ZouYingLong-DaYanSong.xml_1,在朝房来了我这保国忠。,2669706406.7305202,0.1
lsxp-YiShiWu-YuCangJian.xml_0,一事无成两鬓斑，,2671151476.7618947,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,2678324190.2170868,0.0
sdxp-SuLongWei-WuJiaPo.xml_5,西凉川四十单八站，,2689429880.5820346,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_24,执宝剑将贼的（呀）头割下，,2692768630.0759664,0.0
lsxp-DaHeYi-SiLangTanMu.xml_25,家住哪州并哪郡？,2707316850.9708114,0.0
lsxp-ZheYiFeng-DingJunShan.xml_8,三军与（呀）爷归营号，,2714702628.25213,0.0
lsxp-ZiGuDao-HuangHeLou.xml_1,主公不必加愁肠。,2733772921.8774586,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_1,我也曾平服了塞北西东。,2748189829.8408961,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_0,听他言听得我心（呐）惊胆怕，,2761253555.839004,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_0,听他言吓得我心（呐）惊胆怕，,2761253555.839004,0.0
sdxp-WoHeNi-SiLangTanMu.xml_7,萧天佐摆天门两国交战，,2761537571.1727099,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,2764070022.4574146,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_2,实指（惹）望到吴国借兵回转，,2786602355.3554697,0.0
sdxp-SuLongWei-WuJiaPo.xml_12,百般调戏也枉然。,2816218685.2928295,0.1
lseh-XinZhongYou-WenZhaoGuan.xml_17,我本当拔宝剑自寻短见，,2821028870.0776596,0.0
lsxp-YiShiWu-YuCangJian.xml_3,靠山绿（哇）水常在面前。,2822563195.6798778,0.0
sdxp-DangNianHan-SanJiZhang.xml_5,我的儿说话言不逊，,2827227857.4277525,0.0
lsxp-DaHeYi-SiLangTanMu.xml_12,我母佘氏老太君。,2829233287.6023016,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_2,悔不该心猿并意马，,2831330936.6000566,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_15,到如今夜宿在荒村院，,2852677624.8288813,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_31,到如今夜宿在荒村院，,2852677624.8288813,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_9,满腹的含冤我向谁言（哪）！,2869596785.0222263,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_9,满腹的含冤我向谁言（喏）。,2869596785.0222263,0.0
lsxp-ZiGuDao-HuangHeLou.xml_3,二将军保架过长江。,2883043731.519166,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_4,此一番领（呃）兵去镇守，,2899944415.7482533,0.0
lseh-ZiNaRi-HongYangDong.xml_1,三更时梦（呃）见（呐）了年迈爹尊（呐）。,2924453481.5409389,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_12,越思越想好伤惨，,2957198765.1114006,0.0
lseh-XiRiLi-BaoLianDeng.xml_7,兄（呃）推弟来两不能够担承。,2967537904.9840813,0.0
lseh-TanXiongDi-SangYuanJiZi.xml_2,眼望着孤坟台珠泪难忍，,2976924457.3509259,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_2,实指望到吴国借兵回转，,2996286216.4701867,0.0
lsxp-JiangShenEr-SanJiaDian.xml_1,尊一声过往的宾朋听从头：,3001172957.3390536,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_3,满门的家着血染红。,3035519292.2991934,0.0
lseh-YangYanZhao-PengBei.xml_1,在中途得一信甚是不明。,3036081373.9138947,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_5,右手再把栾布拉，,3048280474.4135442,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_26,要相逢陈非是梦（兀）里团圆。,3055787690.632988,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_1,胡言乱语怎瞒（呐）咱！,3056886781.0099053,0.0
lsxp-WeiCengKai-QiYuanBao.xml_2,家住在南阳太平庄，,3065883454.0576725,0.0
lsxp-WoBenShi-KongChengJi-2.xml_2,先帝（呀）爷下南阳（呃）御驾三（呃）请，,3076207428.9408016,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_28,越思越想好伤惨，,3099893100.2207651,0.0
lsxp-ZiGuDao-HuangHeLou.xml_4,今日主公把宴上，,3127408069.1504459,0.0
