行不安坐不宁情态缠绵,0,行不安坐不宁情态缠绵。
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,9651136.8909943607,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,9684655.2370234579,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,9693300.6058345456,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,9704532.315652445,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,9714890.7558309697,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,9722248.4223992527,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,9723139.1691292003,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,9726879.9475753941,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,9770229.9676176906,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,9776758.9505527467,0.2
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,9815807.3866961785,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,9831341.095560655,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,9878929.390875645,0.2
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,9884712.1972292941,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,9907073.045976596,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,9935205.2178850342,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,9948811.8698842004,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,9956380.6609593593,0.2
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,9983917.3648788165,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,9985060.1886659376,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,9995077.0338287745,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,10008261.723163139,0.0
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,10008996.286620229,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,10012850.055856027,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,10057948.231387295,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,10077465.498730168,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,10088259.005370038,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,10092247.538587507,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,10098752.120753519,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,10142784.952062942,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,10217644.375225235,0.0
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,10218757.934509572,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,10240899.121408505,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,10246149.705567772,0.2
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,10256222.641652968,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,10261604.268898737,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,10276734.910437688,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,10285930.685836246,0.2
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,10293842.464096019,0.2
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,10297742.034077609,0.0
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,10318166.489067331,0.1
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,10345321.90047271,0.2
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,10350462.296031883,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,10364229.140533315,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,10379623.106387012,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,10411098.196453635,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,10439730.704719577,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,10447470.150193982,0.0
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,10459519.424567871,0.1
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,10459798.145721236,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,10461291.842616573,0.2
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,10476256.984413004,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,10481353.835308988,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,10481691.618828669,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,10505301.374835128,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,10515640.050598124,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,10550329.186537445,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,10553881.744790487,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,10565779.949878423,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,10565779.949878423,0.2
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,10585615.92566531,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,10591710.007492118,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,10593289.534582518,0.1
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,10610716.306386949,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,10614718.680249956,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,10639760.525156209,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,10695450.536149532,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,10751435.830720458,0.1
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,10755086.223643104,0.2
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,10771982.564684801,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,10791352.158475393,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,10859097.999162497,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,10903232.412384145,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,10909577.814936262,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,10971916.731503595,0.1
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,10974494.022939077,0.2
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,11020022.118775688,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,11026119.561858391,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,11084754.15847031,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,11109546.835444218,0.1
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,11118138.600865014,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,11129312.484365117,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,11147839.768395707,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,11198217.87262872,0.2
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,11253811.337183252,0.0
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,11291703.070578031,0.2
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,11294220.207276816,0.0
daxp-WoDeNiang-XinAnYi.xml_2,这几日身不爽心中烦闷，,11323556.425604079,0.2
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,11374168.230401773,0.2
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,11471328.955059957,0.1
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,11553559.901897211,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,11659901.0338968,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,11681185.310991263,0.1
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,11748207.964553514,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,11769147.597958498,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,11791240.550342679,0.2
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,11794215.47186452,0.0
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,11805721.385716813,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,11833417.447075441,0.2
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,11860692.890966179,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_10,但愿得令公令婆别无异见，,11926818.527642807,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,11944743.078059668,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,11985544.930767722,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,11996370.819358494,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,12028960.118208557,0.0
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,12051350.11691582,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,12059319.023952562,0.1
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,12150649.44209821,0.2
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,12205470.455987936,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,12217411.1886576,0.2
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,12217411.1886576,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,12257873.428453289,0.2
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,12314469.5221933,0.0
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,12394630.848158197,0.0
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,12442152.003834641,0.2
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,12499544.376560666,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,12514937.4174472,0.1
daxp-ChunQiuTing-SuoLinNang.xml_26,忙把梅香低声儿叫，,12557126.186296048,0.0
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,12620539.835373018,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,12634457.378297711,0.2
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,12662426.8011785,0.1
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,12715244.901712958,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,12912709.318212857,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,12995706.262646405,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,13003837.993271895,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,13008044.225949289,0.0
daxp-ErTingDe-SuoLinNang.xml_24,忙把梅香低声叫，,13029011.469540153,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,13069179.731589403,0.0
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,13072245.298688605,0.0
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,13132844.530923745,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,13289687.298634723,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,13292614.738767779,0.0
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,13335218.382319964,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,13379110.88994104,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,13530838.277235143,0.2
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,13563032.958437575,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,13565843.300144903,0.3
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,13577413.136871764,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,13608740.113749478,0.2
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,13644442.063521961,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,13651291.700489625,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,13669026.69795881,0.2
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,13749188.819351437,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,13777234.267105492,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,13926684.269271584,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,13926852.944896372,0.2
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,14197002.374575872,0.2
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,14284008.030729076,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,14341587.667420449,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,14603349.439429615,0.0
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,14656606.024859004,0.0
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,14709687.989378879,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,14796869.005205723,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,14963731.768307574,0.0
daxp-QiaoLouShang-HuangShanLei.xml_3,不知他在荒山何处安身。,15012816.996673819,0.3
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,15086531.481401877,0.2
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,15388115.110283621,0.0
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,15426456.456312152,0.2
daxp-DiTouLi-NvQiJie.xml_0,低头离了洪洞县，,15719413.313750483,0.0
sdxp-DangNianHan-SanJiZhang.xml_19,非是女儿言不逊，,15756303.992727257,0.2
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,15850594.149106557,0.0
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,15850594.149106557,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,15954230.42576349,0.1
daxp-XiShiNv-XiShi.xml_3,每日里浣纱去又傍清溪。,16011870.862578586,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,16136991.676910225,0.0
daxp-XiRiLi-LongFengChengXiang.xml_1,今朝仙女会襄王。,16141562.581246642,0.0
daxp-ErTingDe-SuoLinNang.xml_3,莫不是强婚配鸦占鸾巢。,16359993.620209046,0.2
sdxp-DangNianHan-SanJiZhang.xml_15,未央宫斩的是韩信，,16829634.001287367,0.0
daxp-QiaoLouShang-HuangShanLei.xml_10,我不免引寒机伴奴坐等，,16839584.413081504,0.3
daxp-ChunQiuTing-SuoLinNang.xml_15,莫不是强婚配鸦占鸾巢？,17040273.511179894,0.2
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,17126516.29930694,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,18401996.191546671,0.2
daxp-ErDeFu-HongNiGuan.xml_6,奴本当把关印付他执掌，,19738305.9375518,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_1,今朝仙女会襄王。,19929740.658525094,0.0
daeh-SunShangXiang-BieHuangGong.xml_9,叹一声不由人珠泪涟涟。,22810584.114843484,0.2
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_3,发奋自强日夜读诗文。,23884546.753643163,0.0
sdxp-SuLongWei-WuJiaPo.xml_8,为军哪怕到官前。,1451611333.0659797,0.0
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,1567682602.3754971,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_9,我也曾约法定过三章。,1799393115.8924527,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_4,马行在来道内我难（呐）以回（呀）马，,1919353700.1160426,0.1
lsxp-TingTaYan-ZhuoFangCao-1.xml_4,马行在来道内我难（呐）以回（呀）马，,1919353700.1160426,0.1
lseh-ZiNaRi-HongYangDong.xml_3,那乃是萧天佐以（呀）假成真；,1947190736.6756644,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,2055130374.5548851,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_3,谁知昭关有阻拦。,2073700269.7203512,0.0
lsxp-WoBenShi-KongChengJi-2.xml_8,闲无（呃）事在敌楼（呃）我亮一亮琴（呢）音，,2091542164.6407907,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_2,背地里只把东皋公怨，,2108860158.462028,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,2116605873.1704366,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_3,谁知昭关有阻拦。,2138715163.6098459,0.0
lsxp-ZiGuDao-HuangHeLou.xml_2,曾记得当年赴河梁，,2151323082.9141803,0.0
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,2227610533.6259584,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_4,左手拉住了李左车，,2247106386.5341067,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_8,哭一声爹娘不能相见，,2249159182.5140247,0.2
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,2250696888.2052798,0.2
lseh-YiLunMing-WenZhaoGuan-1.xml_10,我好（哇）比哀哀长空雁，,2258539166.7999821,0.0
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,2261772557.3691859,0.2
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,2282126221.9127235,0.0
sdxp-WoHeNi-SiLangTanMu.xml_12,无有令箭怎过关。,2288307290.3109369,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_4,左手拉住了李左车，,2323084007.694963,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_19,父母的冤仇化尘烟，,2335257725.7112517,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,2355152502.9351535,0.0
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,2366633635.0373287,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,2373209663.8389993,0.0
sdxp-SuLongWei-WuJiaPo.xml_6,为军的要人我是不要钱。,2376204267.0137696,0.2
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,2378029969.9156041,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,2389508478.1600327,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_5,眼睁（呐）睁有何人去（呀）把纸烧。,2395010008.4385042,0.0
lsxp-ZouYingLong-DaYanSong.xml_13,在品级台（呀）前臣见君。,2396098294.0321279,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_13,想当初在朝为官宦，,2407927143.923717,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_29,想当初在朝为官宦，,2407927143.923717,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,2416577655.6042204,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,2417598275.4809237,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_1,胡言乱语怎瞒（呐）咱！,2420167433.3005438,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,2425659216.3606071,0.0
lseh-ZiNaRi-HongYangDong.xml_7,去了我左右膀难以飞行。,2432279413.3420291,0.1
lseh-YiLunMing-ZhuoFangCao-1.xml_5,杀猪（喏）沽（哇）酒款待于他，,2450989201.297925,0.0
lsxp-YiShiWu-YuCangJian.xml_7,我与奸贼不共戴天！,2465798142.454546,0.2
lseh-YiLunMing-WenZhaoGuan-1.xml_18,背地里只把东皋公怨，,2482012076.5571442,0.0
lseh-YangYanZhao-PengBei.xml_1,在中途得一信甚是不明。,2486610418.8686218,0.2
lsxp-ZouYingLong-DaYanSong.xml_6,我劝顽童你休流泪，免悲声，邹老爷就是尔的报仇人。,2492496647.4350839,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,2500661606.7934995,0.0
lseh-XiRiLi-BaoLianDeng.xml_14,打死了别家子父能作主，,2502289291.7933407,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_11,我好比龙游在浅沙滩。,2507884147.4442353,0.0
lseh-JinZhongXiang-ShangTianTai.xml_3,武仗着姚皇兄保定乾坤。,2511264119.9196472,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_0,两国交锋龙虎斗，,2513627411.8042455,0.0
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,2515359287.397593,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_1,我也曾平服了塞北西东。,2517103409.6922402,0.0
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,2540228754.5918746,0.2
lseh-XinZhongYou-WenZhaoGuan.xml_21,我不杀平王我的心怎甘。,2545688627.6966486,0.2
lsxp-ZheYiFeng-DingJunShan.xml_5,三通鼓刀出鞘四通（呃）鼓把兵交。,2548245853.4745369,0.0
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,2549895775.454658,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,2564073885.5094676,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_3,满门的家着血染红。,2584405523.3273344,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_10,我好（呃）比哀哀长空雁，,2592910466.3455777,0.0
lseh-ZiNaRi-HongYangDong.xml_2,我前番命孟良骸骨搬（呐）请，,2605228043.4792175,0.0
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,2610007846.6062655,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_0,听他言听得我心（呐）惊胆怕，,2623982073.0267811,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_0,听他言吓得我心（呐）惊胆怕，,2623982073.0267811,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,2629815554.0936298,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_5,靠山近水把营收。,2635943466.1148973,0.0
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,2638673146.7411876,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,2646176858.0340762,0.2
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,2646459184.9063249,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_8,一路上秋毫无犯军威壮，,2651171398.9332466,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_20,若是真心来救我，,2657464643.0825391,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_4,若是真心来救我，,2657464643.0825391,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_35,父母的冤仇化尘烟，,2657535083.4345651,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_4,此一番领（呃）兵去镇守，,2659555117.3915253,0.0
lsxp-WoBenShi-KongChengJi-1.xml_8,闲无哇事在敌楼哇我亮（呃）一亮琴哪音，,2677366283.1281581,0.0
lsxp-JiangShenEr-SanJiaDian.xml_8,实难舍街坊四邻与我的好朋友，,2679063063.5531034,0.0
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,2682689724.5348659,0.1
lsxp-WeiCengKai-QiYuanBao.xml_9,望求太爷与我作主张（啊）。,2684583375.1753249,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_0,深宫无（哇）处不飞花，,2697008266.303772,0.2
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,2699368114.2026653,0.0
lsxp-DaHeYi-SiLangTanMu.xml_4,上面（哪）坐的同胞人。,2704936112.857832,0.1
lsxp-JiangShenEr-SanJiaDian.xml_15,叫一声解差把店役。,2736510082.6142459,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_13,我好（呃）比波浪中失舵的舟船（喏）。,2757681306.3425403,0.0
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,2768808964.8177471,0.2
lsxp-ZheYiFeng-DingJunShan.xml_4,头通（呃）鼓紧战袍，,2773066436.7323866,0.0
lseh-WeiKaiYan-RangXuZhou.xml_2,二犬子（呃）皆年幼（哇）难当（呃）重任，,2776714135.9472432,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_37,我不杀平王我的心怎甘（哪）。,2778743562.7013168,0.2
