我这里出帐外且散愁情,0,我这里出帐外且散愁情。
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,11972954.66538622,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,11988698.261208778,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,11991220.86148818,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,12005085.017387172,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_3,乾坤分外明，,12010326.338070063,0.1
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,12023994.333502617,0.1
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_1,见玉兔（哇）玉兔又早东升。,12046849.657948302,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,12060558.860766619,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,12066434.616790203,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,12121734.611278577,0.1
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,12137261.813278155,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,12165129.455235088,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,12168632.775160823,0.1
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_6,奴似嫦娥离月宫。,12177852.046437094,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,12201319.042309303,0.1
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,12209086.052527485,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,12231789.184815712,0.0
daxp-ZhiJianTa-WangJiangTing.xml_9,相公你为何不歇息？,12243479.489651378,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,12249861.853523368,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,12262328.942233667,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,12354544.69817397,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,12394111.701486373,0.1
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,12411097.53106752,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,12425956.389331913,0.0
daxp-ZheCaiShi-SuoLinNang.xml_3,残生一线付惊涛。,12474180.789768446,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,12478181.369642871,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,12498471.460279088,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,12509501.244794255,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,12523747.067153493,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,12538412.388801338,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,12545863.240532022,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,12570913.983643094,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,12576935.26826085,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,12583797.559044477,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,12630955.570928682,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,12633311.829069857,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,12634366.635893146,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,12663077.075634124,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,12682881.19420927,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,12701085.524229584,0.1
daxp-ZhiJianTa-WangJiangTing.xml_1,长吁短叹语声低。,12734492.688655693,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_5,恰便似嫦娥离月宫，,12831103.368106106,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,12847516.257442949,0.1
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,12971020.40021627,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,12980652.721915694,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,12995065.141308188,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,13033464.851271665,0.0
daxp-GuanShiYin-TianNvSanHua.xml_6,满眼中清妙景灵光万丈，,13050617.751103319,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,13052279.298559176,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,13092614.4640099,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,13160218.869686186,0.1
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,13174318.845237454,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,13175767.359386131,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,13195678.794883708,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,13221835.102288365,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,13233205.327279441,0.1
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,13290985.558144366,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,13300808.999484845,0.0
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,13352675.686227161,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,13365790.101898907,0.1
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,13377012.985071722,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,13462013.706464104,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,13501991.397795195,0.1
daxp-GuanShiYin-TianNvSanHua.xml_3,白鹦鹉与仙鸟在灵岩神岘上下飞翔；,13514224.080008153,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,13567583.145252334,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,13571310.988292012,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,13595648.712222381,0.1
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,13610064.440623233,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,13615949.657762548,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,13623869.468826814,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,13654090.663450178,0.1
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,13706113.841194667,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,13739274.330171868,0.2
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,13742487.999627056,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_1,算当初曾经得几晌温存。,13756907.797032025,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,13789826.723683896,0.1
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,13805039.23307376,0.1
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,13823137.336687332,0.2
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,13867316.008251727,0.0
daxp-ZhiJianTa-WangJiangTing.xml_5,隐情不敢实告妻。,13870477.150508305,0.1
daxp-JiaoZhangSheng-HongNiang.xml_5,听号令且莫要惊动了她。,13896510.281162182,0.1
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,13984284.055002935,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,14022696.919080855,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,14046316.614914253,0.0
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,14055291.836644435,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,14056553.277276248,0.1
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,14062769.57924366,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,14117356.608503411,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,14216803.080503294,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,14221160.053635221,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,14279934.860881627,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,14289923.201485367,0.2
daspd-DuShouKong-WangJiangTing.xml_2,孀居愁苦泪洗面，,14295074.311681481,0.1
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,14375969.421969168,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,14415362.972133512,0.0
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,14427852.453596899,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,14453267.138025712,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,14459710.853559511,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,14475677.08066166,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,14492409.672540743,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,14515836.28098404,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_4,原来是不耐烦已经睡困，,14541885.261602867,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,14543755.468321953,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,14545690.507416299,0.1
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,14578045.582486231,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,14600278.543987673,0.1
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,14625966.230500778,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,14630426.891795022,0.1
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,14645348.539023915,0.1
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,14698276.295542194,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,14736437.342542641,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,14798702.856546367,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,14814487.945417417,0.0
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,14843629.779003786,0.1
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_2,那冰轮离海岛，,14850623.666994898,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,14872032.00440174,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,14935524.355370551,0.1
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,15033212.504697131,0.2
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,15113880.299116855,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,15176449.13119128,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,15186775.652067991,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,15193105.261004431,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,15235770.935211148,0.2
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,15307573.845872533,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,15317990.266318802,0.1
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,15335369.187545504,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,15366204.747441795,0.1
daxp-JiaoZhangSheng-HongNiang.xml_0,叫张生隐藏在棋盘之下，,15387988.974733299,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,15417046.373229241,0.0
daxp-ZhiJianTa-WangJiangTing.xml_0,只见他一封书信握手里，,15438029.013480833,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,15440922.436024163,0.1
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,15475944.816424942,0.1
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,15475944.816424942,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,15529895.236715455,0.3
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,15536189.263106601,0.1
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,15558301.173363073,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,15579142.517806029,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,15639207.925123706,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,15646572.402902184,0.1
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,15700457.172157045,0.0
daxp-ErTingDe-SuoLinNang.xml_24,忙把梅香低声叫，,15712120.309215711,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,15717347.695353547,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,15774039.146980096,0.1
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,15842976.93333861,0.0
daeh-TanHongYan-HuoXiaoYu.xml_1,美满姻缘付东流。,15865380.879358832,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,16050047.855724042,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,16139698.32779518,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,16368767.145941548,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,16467935.661349289,0.2
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,16573457.489577662,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,16598671.473544626,0.1
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,16603468.362498386,0.1
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,16657923.03693899,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,16674455.544899346,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,16727630.18387497,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,16805461.093787421,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,16834905.853320602,0.0
daxp-QiaoLouShang-HuangShanLei.xml_3,不知他在荒山何处安身。,16864934.053814888,0.0
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,16912383.928373843,0.0
daxp-GuanShiYin-TianNvSanHua.xml_0,观世音满月面珠开妙相，,16954891.321837887,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,16966911.533252794,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,17007637.956547126,0.1
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,17118437.648604594,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,17369948.379956212,0.0
daxp-ChunQiuTing-SuoLinNang.xml_26,忙把梅香低声儿叫，,17415847.943793468,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,17595305.923454933,0.0
daeh-SunShangXiang-BieHuangGong.xml_9,叹一声不由人珠泪涟涟。,17735113.906952284,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,18092792.165530071,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,18312158.011962593,0.1
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,18342370.387347724,0.1
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,18533777.577127311,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,18534499.03392899,0.0
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,18610432.028617639,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,18679638.70149513,0.0
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,18779937.570856079,0.0
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,18820174.400524292,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,19143801.479769878,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,19276355.350963771,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,19341905.829002455,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,19377911.680401061,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,19417136.871329583,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,19610581.015809808,0.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,19736311.237438697,0.1
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_3,发奋自强日夜读诗文。,19744203.283018935,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_2,父道那薛平贵是那化郎模样，,19752497.392287951,0.0
daxp-XiShiNv-XiShi.xml_3,每日里浣纱去又傍清溪。,19805128.635945395,0.1
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,20031091.092198275,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,20062413.797873128,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,20090738.344418999,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,20126898.327271029,0.1
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,20357078.442083575,0.1
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,20518900.234579455,0.1
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,20645948.904541001,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_10,但愿得令公令婆别无异见，,20654479.626032591,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,20692597.639357541,0.0
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,20696014.760095481,0.0
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,20706327.947832663,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,20965542.833130401,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,21290001.279749118,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,21643356.652075414,0.0
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,21978675.046993103,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,22624800.466990691,0.0
daxp-XiRiLi-LongFengChengXiang.xml_1,今朝仙女会襄王。,22741133.311154839,0.0
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,23288525.365129322,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,24307595.007629704,0.1
daxp-ChunQiuTing-SuoLinNang.xml_15,莫不是强婚配鸦占鸾巢？,24976156.144506972,0.0
daxp-ErTingDe-SuoLinNang.xml_3,莫不是强婚配鸦占鸾巢。,25470433.862028889,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,25659744.619991209,0.0
daxp-GuanShiYin-TianNvSanHua.xml_7,催祥云驾瑞彩速赴佛场。,25719407.674496539,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,25839523.619204566,0.1
daxp-ZheCaiShi-SuoLinNang.xml_0,这才是人生难预料，,25892186.39878545,0.1
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,26298898.052944008,0.2
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,26461469.283701889,0.1
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,27612609.553718481,0.1
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,28290411.807870191,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,28924811.415571865,0.1
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,28924811.415571865,0.1
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,29419495.823863354,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_1,今朝仙女会襄王。,29584411.012447197,0.0
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,29643202.916490689,0.0
daxp-WoDeNiang-XinAnYi.xml_2,这几日身不爽心中烦闷，,30024032.891963411,0.1
daxp-ErDeFu-HongNiGuan.xml_6,奴本当把关印付他执掌，,31664134.572372139,0.0
sdxp-DangNianHan-SanJiZhang.xml_19,非是女儿言不逊，,31937818.697144095,0.0
daxp-DiTouLi-NvQiJie.xml_0,低头离了洪洞县，,32039918.906939078,0.0
sdxp-DangNianHan-SanJiZhang.xml_15,未央宫斩的是韩信，,32847962.152569462,0.0
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,35584022.856349602,0.0
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,35584022.856349602,0.0
daxp-QiaoLouShang-HuangShanLei.xml_10,我不免引寒机伴奴坐等，,40001947.788221635,0.1
lseh-XuMaoGong-QinQiongFaPei.xml_3,缘何不救我出笼牢。,2285354824.3894081,0.2
lsxp-JiangShenEr-SanJiaDian.xml_13,娘想儿来泪双流。,2391362824.2827463,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_12,无奈何我只得双（呃）膝跪，,2475094624.6978545,0.1
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,2605209097.874505,0.0
sdxp-SuLongWei-WuJiaPo.xml_18,我与你露水的夫妻就过几年（呐）。,2684025872.5755,0.1
lsxp-ZouYingLong-DaYanSong.xml_5,他言道严嵩老贼害他的举家一满门。,2696964422.8278747,0.0
sdxp-WoHeNi-SiLangTanMu.xml_6,有一桩心腹事不敢明言。,2709942982.4263096,0.0
lsxp-YiShiWu-YuCangJian.xml_1,叹光明一去不回还（呐）；,2744075319.8640418,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_11,反将我主贬汉王。,2765140474.4957886,0.1
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,2834642002.6405721,0.0
sdxp-DangNianHan-SanJiZhang.xml_6,句句话儿伤父心。,2868778368.5461698,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_15,扬尘舞蹈见大王。,2875706905.473485,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_1,拔剑斩蛇天下扬。,2894965389.6551967,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_19,安眠好似并底之蛙，,2897754041.4720488,0.0
lsxp-WeiCengKai-QiYuanBao.xml_3,姓刘名安字世昌。,2902285763.2640095,0.0
lsxp-DaHeYi-SiLangTanMu.xml_13,十五年前沙滩会，,2911227235.4795356,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_30,朝臣待漏（哇）五更寒，,2916385030.3511682,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,2923867734.7871003,0.0
lsxp-ZouYingLong-DaYanSong.xml_11,我本当金（哪）殿奏一本怎奈我官卑职小不能够参大臣。,2923881611.1618786,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_19,叫人难解巧机关，,2924955104.1239877,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_14,朝臣待漏五更寒。,2929747116.7965727,0.0
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,2936053272.0384517,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_27,鸡鸣犬吠五更（哪）天，,2941922115.6466856,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_11,鸡鸣犬吠五更（呃）天，,2973487144.0557532,0.0
sdxp-WoHeNi-SiLangTanMu.xml_4,誓不忘贤公主恩重如山。,3002524774.6242862,0.0
lseh-ZenNengGou-BaDaChui.xml_3,倒不如上公安观看古今。,3022818577.3550849,0.0
lseh-ZiNaRi-HongYangDong.xml_7,去了我左右膀难以飞行。,3078042336.2676673,0.1
lseh-YiLunMing-ZhuoFangCao-1.xml_15,悔不该弃县今抛却了乌（哇）纱，,3111496637.2808552,0.0
lsxp-ZheYiFeng-DingJunShan.xml_1,天助黄忠成功劳。,3237909065.9415607,0.0
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,3250790989.8394256,0.1
lseh-YiLunMing-WenZhaoGuan-2.xml_10,我好（呃）比哀哀长空雁，,3266397844.9722214,0.1
lseh-NiangZiBu-SouGuJiuGu.xml_9,来年必定降麒麟。,3289423305.412653,0.0
lsxp-ZouYingLong-DaYanSong.xml_10,他本是我朝中上欺天子下压臣谋朝篡位卖国的奸贼他名叫严嵩，,3299001353.1843781,0.1
lsxp-ZouYingLong-DaYanSong.xml_1,在朝房来了我这保国忠。,3307508421.9402561,0.2
lsxp-HenPingWang-WenZhaoGuan.xml_0,恨平王无道乱楚宫（兀），,3318892800.9335752,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_1,诬杀赵家一满门。,3323095784.8373241,0.0
